celltype,condition,gene,bb_mu
Cardiomyocyte,F1_Aged,Cpsf7,0.56249999983679
Cardiomyocyte,F1_Aged,Crtc3,0.568760611205433
Cardiomyocyte,F1_Aged,Cry1,0.689189189149024
Cardiomyocyte,F1_Aged,Cstf3,0.568356374703539
Cardiomyocyte,F1_Aged,Ctsh,0.37037037037037
Cardiomyocyte,F1_Aged,Cul4a,0.447284345071257
Cardiomyocyte,F1_Aged,Cux1,0.534379172229405
Cardiomyocyte,F1_Aged,Cyp27a1,0.620370370362389
Cardiomyocyte,F1_Aged,Cyp2d22,0.0283018867956216
Cardiomyocyte,F1_Aged,Cyrib,0.540789473680748
Cardiomyocyte,F1_Aged,D630024D03Rik,0.869565217391304
Cardiomyocyte,F1_Aged,D830024N08Rik,0.547249647389504
Cardiomyocyte,F1_Aged,Dach1,0.58094262293668
Cardiomyocyte,F1_Aged,Dct,0.7545454545437
Cardiomyocyte,F1_Aged,Dctn5,0.407407407252045
Cardiomyocyte,F1_Aged,Ddhd2,0.428571428571435
Cardiomyocyte,F1_Aged,Ddi2,0.575883575779739
Cardiomyocyte,F1_Aged,Ddx10,0.394285714301203
Cardiomyocyte,F1_Aged,Decr1,0.438888889064539
Cardiomyocyte,F1_Aged,Dennd2a,0.433333333333333
Cardiomyocyte,F1_Aged,Dennd5b,0.452506596307261
Cardiomyocyte,F1_Aged,Dlc1,0.486784017882136
Cardiomyocyte,F1_Aged,Dld,0.461538461538832
Cardiomyocyte,F1_Aged,Dnm2,0.456766917293569
Cardiomyocyte,F1_Aged,Dnttip2,0.604166666664988
Cardiomyocyte,F1_Aged,Dock1,0.442374854492246
Cardiomyocyte,F1_Aged,Dpf3,0.468583283936472
Cardiomyocyte,F1_Aged,Dpy30,0.375000000531974
Cardiomyocyte,F1_Aged,Drc3,0.573033707865168
Cardiomyocyte,F1_Aged,Drg1,0.615094339622641
Cardiomyocyte,F1_Aged,Dsc2,0.454407294832827
Cardiomyocyte,F1_Aged,Dtwd1,0.266666667902112
Cardiomyocyte,F1_Aged,Dtwd2,0.377192982456316
Cardiomyocyte,F1_Aged,Dusp1,0.372881355932204
Cardiomyocyte,F1_Aged,Dzip3,0.44881889765672
Cardiomyocyte,F1_Aged,E130307A14Rik,0.654929577464369
Cardiomyocyte,F1_Aged,Eed,0.453703703794743
Cardiomyocyte,F1_Aged,Ehmt1,0.47637292464881
Cardiomyocyte,F1_Aged,Eif4enif1,0.624309392265194
Cardiomyocyte,F1_Aged,Eif4h,0.683760681867537
Cardiomyocyte,F1_Aged,Ell,0.464912280702146
Cardiomyocyte,F1_Aged,Elp4,0.454248366013824
Cardiomyocyte,F1_Aged,Eml4,0.429530201342282
Cardiomyocyte,F1_Aged,Entpd6,0.371428571428573
Cardiomyocyte,F1_Aged,Epc1,0.479347448802535
