"gene","phi_hat","phi_trend","df","statistic","p_over","p_under","p_two","padj_over","padj_two"
"Dysf",1.44492366195855,1.5110100065259,229,218.984333101327,0.671381473683685,0.328618526316315,0.657237052632629,0.770207749749054,0.998351121080565
"Ebf1",1.77841725305737,1.67100884451043,564,600.252556423912,0.140772661537574,0.859227338462426,0.281545323075148,0.733033582556208,0.998351121080565
"Ebf3",1.53084767435036,1.46695270018305,153,159.664107879128,0.339600591541649,0.660399408458351,0.679201183083297,0.733033582556208,0.998351121080565
"Ece1",1.51586184395195,1.43543675447226,108,114.051057029677,0.326554245410304,0.673445754589696,0.653108490820609,0.733033582556208,0.998351121080565
"Ecpas",1.50307666470921,1.47065807328654,154,157.39471367939,0.40906223867872,0.59093776132128,0.81812447735744,0.733033582556208,0.998351121080565
"Eea1",1.38441289549225,1.44423500351282,113,108.319391795738,0.606895122965659,0.393104877034341,0.786209754068682,0.747024563847623,0.998351121080565
"Eeig2",1.50339767511677,1.45771863973315,125,128.916996920612,0.386955763116923,0.613044236883077,0.773911526233845,0.733033582556208,0.998351121080565
"Eepd1",1.53021885936564,1.51984738051336,241,242.644590394699,0.458150616975565,0.541849383024435,0.916301233951131,0.733033582556208,0.998351121080565
"Efna5",1.92734553192955,1.48890583619158,100,129.447107068869,0.025400016398333,0.974599983601667,0.050800032796666,0.733033582556208,0.998351121080565
"Efnb2",1.44603828478337,1.42227587911102,92,93.5370726270226,0.435733888921762,0.564266111078238,0.871467777843524,0.733033582556208,0.998351121080565
"Egfl7",1.38131343626254,1.54051453470917,319,286.033644110304,0.907646244696267,0.0923537553037333,0.184707510607467,0.930265908827346,0.998351121080565
"Egln1",1.49630302048528,1.40369777581474,75,79.9479264482406,0.3264942418498,0.6735057581502,0.6529884836996,0.733033582556208,0.998351121080565
"Egr1",1.33218604545554,1.41477810115579,65,61.2054235811746,0.610533785630595,0.389466214369405,0.77893242873881,0.748191633359637,0.998351121080565
"Ehbp1",1.56994695335122,1.39529611168689,98,110.266774299551,0.186931171285806,0.813068828714194,0.373862342571612,0.733033582556208,0.998351121080565
"Ehd1",1.41309885986418,1.39410947707358,91,92.2395252039831,0.443993190507015,0.556006809492985,0.887986381014031,0.733033582556208,0.998351121080565
"Ehd2",1.43893336180921,1.44677907278934,117,116.365522903988,0.499175560540282,0.500824439459718,0.998351121080565,0.733033582556208,0.998351121080565
"Ehd4",1.46578433975376,1.40369777581474,71,74.1403811529953,0.376180850578436,0.623819149421564,0.752361701156871,0.733033582556208,0.998351121080565
"Ehmt1",1.59767448358971,1.47677183961898,164,177.426605978832,0.224040040317234,0.775959959682766,0.448080080634467,0.733033582556208,0.998351121080565
"Eif4g3",1.4254509443167,1.49044111570148,195,186.497092178601,0.656560211255977,0.343439788744023,0.686879577488046,0.765154778802335,0.998351121080565
"Elf1",1.58423536718088,1.49902348607901,190,200.800536188866,0.281651909350092,0.718348090649908,0.563303818700183,0.733033582556208,0.998351121080565
