"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"Cd2ap",0.646788990825688,0.6329,0.2637,0.437905133463429,0.515881107176477,0.126984126984127,109
"Cd36",0.319995013712291,0.3435,0.3629,0.369302719762495,0.353566353983917,0.323809523809524,191
"Cd47",0.485294117647059,0.4954,1e-04,0.362491077998796,0.553586706463495,0.121693121693122,102
"Cdc27",0.408854166666667,0.4179,1.1093,0.789180694663652,0.561947980982951,0.120634920634921,96
"Cdc37l1",0.472222222222222,0.459,0,0.329067051743175,0.502595077029076,0.129100529100529,108
"Cdc42",0.365740740740741,0.3545,0.0043,0.239130979447224,0.362738715942394,0.250793650793651,180
"Cdc42bpa",0.483703703703704,0.4973,0.1451,0.261276472894175,0.314898266267036,0.499470899470899,315
"Cdc42ep4",0.41304347826087,0.4177,1.6172,1.0636470295003,0.686567563056792,0.107936507936508,92
"Cdc73",0.457278481012658,0.4553,0.2625,0.343573307564416,0.372500965086718,0.198941798941799,158
"Cdh2",0.883333333333333,0.8808,0.6828,0.501638063565473,0.370144535752332,0.214814814814815,142
"Cdk13",0.498679867986799,0.5007,0.2878,0.345189549706762,0.360295505585462,0.266666666666667,202
"Cdk14",0.56280637254902,0.5676,1.1214,0.644765687106953,0.334360126108019,0.410582010582011,272
"Cdk6",0.495607235142119,0.5137,0.3855,0.378917729460704,0.355143678796315,0.312169312169312,215
"Cdk8",0.455645161290323,0.4554,1.2707,0.762180846246738,0.427098212500851,0.146031746031746,124
"Cdkal1",0.468031609195402,0.4597,0.2539,0.32770462286201,0.353252193984577,0.325925925925926,232
"Cds2",0.529850746268657,0.5176,0.0792,0.282141762550677,0.384988518669067,0.17037037037037,134
"Cdyl",0.524193548387097,0.5194,4.1075,2.34048147556466,1.1923453736791,0.0761904761904762,62
"Cdyl2",0.524590163934426,0.526,1.0881,1.11565915996695,1.07288542365619,0.0825396825396825,61
"Celf1",0.482496194824962,0.4868,0.4004,0.385397638674213,0.356398660135082,0.301587301587302,219
"Celf2",0.637780071028802,0.6337,0.948,0.588582526872545,0.349121712710001,0.349206349206349,197
"Cemip2",0.512820512820513,0.5055,1.0852,0.659270707544705,0.377510127323279,0.182010582010582,130
"Cep112",0.626436781609195,0.6254,3.8891,1.96993400533457,0.753067870814327,0.102645502645503,87
"Cep170",0.437878787878788,0.4493,0.1846,0.391093954152443,0.490262832642164,0.131216931216931,110
"Cep350",0.493939393939394,0.4824,0.7845,0.601257481806155,0.463310593878601,0.136507936507936,110
"Cep85l",0.550793650793651,0.547,0.4775,0.510396165667225,0.502595077029076,0.129100529100529,105
"Cers4",0.476689976689977,0.4758,0.4981,0.435193571708371,0.375787648522585,0.186243386243386,143
"Cert1",0.489367816091954,0.4913,0.9259,0.645971537068083,0.449591860948653,0.13968253968254,116
"Cfap69",0.849056603773585,0.8427,1.5158,1.36982230232305,1.21301126308141,0.0751322751322751,53
"Cfdp1",0.599326599326599,0.6096,0.5856,0.569500234593311,0.530168691635516,0.124867724867725,99
"Cgnl1",0.865546218487395,0.859,0.1762,0.358530251814626,0.445399204604872,0.140740740740741,119
"Chaserr",0.513035381750466,0.5097,3e-04,0.242163181288137,0.369689898887414,0.217989417989418,179
"Chchd3",0.466584158415842,0.4869,2e-04,0.23571258910997,0.359895694433962,0.26984126984127,202
"Chd1",0.492690058479532,0.4916,1.0711,0.701110777574413,0.449591860948653,0.13968253968254,114
"Chd2",0.470518867924528,0.4624,0.353,0.367552283845629,0.356634854860224,0.299470899470899,212
"Chd4",0.539115646258503,0.5368,1.2381,0.822218345026026,0.537703485636417,0.123809523809524,98
"Chd6",0.485102420856611,0.4788,0.1463,0.296682821748798,0.368279563084331,0.226455026455026,179
"Chd9",0.484333333333333,0.4785,0.2754,0.333721524794656,0.349972008869705,0.344973544973545,250
"Chic2",0.535714285714286,0.5355,4.7584,2.46037763898763,0.997944780613767,0.0867724867724868,70
"Chn1",0.453626373626374,0.4515,0.1787,0.232602630070543,0.251615750327743,1.01058201058201,520
"Chordc1",0.541666666666667,0.5442,0.4726,0.584355441798632,0.618397544773778,0.114285714285714,96
"Clasp1",0.540650406504065,0.5378,1.795,0.955398536446935,0.418112031333286,0.149206349206349,123
"Clasp2",0.505116959064328,0.5099,0.4245,0.394312296887339,0.356036314779263,0.304761904761905,228
"Clec2d",0.526595744680851,0.5263,1.6492,1.01177922952033,0.588788143220711,0.117460317460317,94
"Clic4",0.218561048397561,0.223,0.2092,0.271401630597054,0.2931847571319,0.631746031746032,367
"Clint1",0.55140562248996,0.5425,0.2257,0.327209461675963,0.368851917799754,0.223280423280423,166
"Clk1",0.534037558685446,0.5239,0.2286,0.338292682749059,0.384097690785396,0.171428571428571,142
"Clock",0.564874551971326,0.5713,0.7364,0.636808833108222,0.545507357767291,0.122751322751323,93
"Clstn2",0.989583333333333,0.9844,0,0.309986962931177,0.47345342138355,0.134391534391534,96
"Cltc",0.502100840336134,0.495,0.3869,0.418920119449013,0.415428662438458,0.15026455026455,119
"Cmip",0.590361445783133,0.5883,1.9524,1.24389490641024,0.767450153723913,0.101587301587302,83
"Cmss1",0.423333333333333,0.4152,1.2299,0.989049343400087,0.7972660304864,0.0994708994708995,75
"Cnbp",0.617647058823529,0.6192,3e-04,0.906622696688051,1.38454106540822,0.0666666666666667,51
"Cnot1",0.493399339933993,0.4974,0.3449,0.478095171302171,0.530168691635516,0.124867724867725,101
"Cnot2",0.469791666666667,0.4656,0.7109,0.512783990689411,0.370870081779627,0.20952380952381,160
"Cnot4",0.567991631799163,0.5709,0.6608,0.479229275354731,0.348678846558459,0.351322751322751,239
"Cnot6l",0.535,0.5314,4.1674,2.11459460298521,0.812598823626073,0.0984126984126984,80
"Cobll1",0.546151458721291,0.539,0.2021,0.240551132767732,0.25018376344725,1.02751322751323,537
"Cog5",0.464506172839506,0.4752,1.2882,0.799176836348898,0.47345342138355,0.134391534391534,108
"Col25a1",0.336111111111111,0.3273,1.9993,0.995597966717497,0.361015961166524,0.261375661375661,156
"Col3a1",0.4375,0.4379,43.788,17.305956847873,1.03492475898468,0.0846560846560847,64
