"","AR","N","log2FC","llr_mean","pval_mean"
"Sema3d",0.422448979591837,28,-0.394859617341214,0.145115871766492,1
"Sema5a",0.263748079877112,31,-1.16558606571797,-2.32642288540823,0.0310021107112068
"Senp6",0.487037037037037,18,-0.0418201756946269,-0.0263402317500478,0.818463028730459
"Septin7",0.429761904761905,20,-0.331205908475373,0.446721663363704,1
"Serinc3",0.422077922077922,11,-0.536052900240209,-0.559713367619555,0.29004192615204
"Sesn1",0.565909090909091,11,0.719892080807264,-0.622684871143605,0.264438677571614
"Setbp1",0.523751686909582,19,-0.174029399775048,-0.0739017585490132,0.700643295374054
"Setd5",0.516666666666667,23,0.42449782852791,-0.310028394956362,0.431026183260732
"Sf3b1",0.687060041407867,23,0.584962500721156,-1.57958581306864,0.0755014857095698
"Sfpq",0.454545454545455,11,-0.0740005814437772,-0.0270218175772357,0.81617075687792
"Sgcg",0.787878787878788,11,1.26303440583379,-1.61089466977915,0.0726641594620721
"Sgk3",0.643939393939394,11,0.39231742277876,0.127518239431083,1
"Sh3d19",0.303030303030303,11,-0.736965594166206,2.87484300293005,1
"Sh3rf1",0.567765567765568,14,0,0.13596966449823,1
"Shb",0.479824561403509,19,0.31315788525963,-0.0331129233324035,0.796913360282718
"Shld1",0.371513605442177,14,-0.277533975528909,-0.432938042439034,0.352099518355646
"Shroom3",0.420645645645646,37,-0.34645041402143,0.432967569215322,1
"Sik2",0.661931818181818,24,0.928446738974966,-2.6255290494496,0.0219334297414489
"Sik3",0.471259593581022,42,0.0914230277635946,-0.000274441492706501,0.981308669458802
"Slain2",0.405042016806723,17,-0.70781924850669,-1.42104235011562,0.0918250100119592
"Slc16a10",0.525,10,0.289506617194984,0.31792665461694,1
"Slc20a2",0.82034632034632,11,1.50901364748786,-4.3435160801746,0.00320482048104663
"Slc25a12",0.670995670995671,11,0.476438043942987,-0.351190523244441,0.401984782899376
"Slc25a13",0.374040731995277,22,-0.562936194391157,-1.76049774617571,0.0605960409149114
"Slc25a3",0.527083333333333,16,0.215728691055437,-0.0441026819565806,0.766471182594672
"Slc25a4",0.463419913419913,11,0.199308808223407,0.214245569124799,1
"Slc2a13",0.233882783882784,39,-1.82597060022495,-14.571772881945,6.72092649045952e-08
"Slc38a1",0.852380952380952,10,1.71620703399941,-6.1357814560621,0.000459912932632782
"Slc38a2",0.425595238095238,16,0.158697746019058,0.161508606167416,1
"Slc39a8",0.630006105006105,12,0.55019708256048,-1.06284890683992,0.14484679945987
"Slc44a1",0.607142857142857,14,0.337034987277571,0.321328036472678,1
"Slc4a4",0.453265306122449,35,-0.499571009490511,-1.41515059972272,0.0925010094670577
"Slc6a6",0.388888888888889,15,-0.91253715874966,-1.38504346952174,0.0960409448455321
"Slc8a1",0.58306455392775,45,0.32920132979954,-3.02203307957369,0.013953111187783
"Slco2a1",0.489583333333333,16,-0.400537929583729,-0.2760244294182,0.457481737944512
"Slco3a1",0.39433933693193,27,-0.475733430966399,-0.892574352435929,0.181518364004258
"Slit3",0.472280467382635,50,-0.247927513443585,-0.241586066354813,0.486988973406434
"Slk",0.503654970760234,19,0.342887713523008,0.472185072017204,1
"Slmap",0.525340136054422,28,0.06054154193505,0.0142629294283054,1
"Sltm",0.55328798185941,21,0.101879614019213,-0.011046544886014,0.881839725113866
"Smad7",0.511904761904762,12,4.44089209850063e-16,0.198903107963041,1
"Smap1",0.37987012987013,11,-0.688055993685259,-0.966201182455205,0.164495853585201
"Smc5",0.160714285714286,14,-2.32192809488736,-6.45740054067105,0.000325994046076442
"Smchd1",0.472222222222222,12,0.125530882083859,0.0165427676818624,1
"Smg1",0.621513605442177,28,0.332575339086871,-0.599985671932544,0.273327405805131
"Smg6",0.664197530864198,18,1,-1.99701841752257,0.0456615428007046
"Smim14",0.53974358974359,13,0.275634442613427,-0.105741180431945,0.64560801757753
"Smpd3",0.638333333333333,10,0.719892080807264,-0.330473606720595,0.416225740382155
"Smurf2",0.340136054421769,14,-0.678071905112637,-1.40485830232501,0.0936949260807281
"Smyd1",0.508333333333333,10,0,0.121162563088106,1
"Smyd3",0.514316239316239,39,-0.265894059973035,0.0192701499651946,1
"Snd1",0.541666666666667,33,0.385290155884792,-0.348022088710287,0.404116108981034
"Snrk",0.420833333333333,10,4.44089209850063e-16,0.855711942538619,1
"Snta1",0.8,10,1.41503749927884,-2.4947678268113,0.0255010510112663
"Sntb2",0.819444444444444,24,1.61005348168399,-5.19661738658385,0.00126477854371971
"Snx9",0.569444444444444,12,-0.222392421336448,0.662422326925231,1
"Socs2",0.483333333333333,15,-0.111031312388744,-0.0127429919261814,0.873162066395177
"Son",0.463206845238095,32,0.0374747054186632,-0.0158135469627112,0.85884857003559
"Sorbs1",0.50853945235434,33,-0.0561118795720321,0.0271913435428814,1
"Sorbs2",0.364015873015873,25,-0.492768802511409,-3.98875281281114,0.00473621558253446
"Sorbs2os",0.359755440637794,17,-0.434402824145774,-1.15419938422705,0.12867654433168
"Sos2",0.409090909090909,11,0.0671141958585366,0.67877982929349,1
"Sox5",0.673389355742297,17,0.713695814843359,-1.47719058206771,0.0856450877304216
"Sox6",0.48494623655914,31,0.0740005814437768,0.112303104672925,1
"Spag9",0.438153988868275,35,-0.144389909335175,-0.331747657284957,0.415328671145185
"Sparc",0.389285714285714,14,-0.559427408614018,-0.90826591104269,0.177726658667365
"Spop",0.543877551020408,14,0.206450877467426,0.331839054278895,1
"Sppl2a",0.348484848484849,11,-0.678071905112638,-0.517913290940264,0.308794088937605
"Sptan1",0.565384615384615,26,0.405992359675836,-0.575114437888608,0.283501243035904
"Sptbn1",0.504157403887296,49,-0.174874217414046,0.605807005315995,1
"Sptlc2",0.533333333333333,10,0.53051471669878,-0.42410334329238,0.357060152911923
"Srek1",0.634401709401709,26,0.838248930003387,-2.8174649730297,0.0176060489061261
"Srgap2",0.504166666666667,16,-0.565597175854226,-0.143377908505499,0.592307019003071
"Srpk2",0.669047619047619,14,0.540568381362703,-0.276747162909825,0.456893419188405
"Srsf2",0.49265873015873,12,-0.23703919730085,-0.109033759609058,0.640516333108974
"Ssbp2",0.373039215686275,34,-0.443606651475615,-0.981903298471487,0.16110679421794
"Ssbp3",0.512820512820513,13,0.15200309344505,0.021459105028697,1
