gene,condition
Usp7,F1_Aged
Utp25,F1_Aged
Vav2,F1_Aged
Vipas39,F1_Aged
Vkorc1l1,F1_Aged
Vmp1,F1_Aged
Vps13b,F1_Aged
Vps4b,F1_Aged
Vps50,F1_Aged
Wdpcp,F1_Aged
Wdr12,F1_Aged
Wdr4,F1_Aged
Wdr43,F1_Aged
Wdr47,F1_Aged
Wdr7,F1_Aged
Wipf3,F1_Aged
Wwp1,F1_Aged
Yaf2,F1_Aged
Ylpm1,F1_Aged
Ypel5,F1_Aged
Ythdc2,F1_Aged
Ywhaz,F1_Aged
Zbtb10,F1_Aged
Zbtb41,F1_Aged
Zdhhc13,F1_Aged
Zdhhc8,F1_Aged
Zfand5,F1_Aged
Zfhx3,F1_Aged
Zfp112,F1_Aged
Zfp113,F1_Aged
Zfp142,F1_Aged
Zfp384,F1_Aged
Zfp407,F1_Aged
Zfp410,F1_Aged
Zfp612,F1_Aged
Zfp641,F1_Aged
Zfp644,F1_Aged
Zfp655,F1_Aged
Zfp874b,F1_Aged
Zfp91,F1_Aged
Zfyve1,F1_Aged
Zgpat,F1_Aged
Znrf3,F1_Aged
Zranb2,F1_Aged
0610043K17Rik,F1_Young
1110038F14Rik,F1_Young
1110059E24Rik,F1_Young
1810024B03Rik,F1_Young
1810062O18Rik,F1_Young
2310015A10Rik,F1_Young
2310039L15Rik,F1_Young
2810013P06Rik,F1_Young
3110056K07Rik,F1_Young
3110082I17Rik,F1_Young
4930432B10Rik,F1_Young
4930551O13Rik,F1_Young
4930558N01Rik,F1_Young
4931414P19Rik,F1_Young
5830418P13Rik,F1_Young
A630072M18Rik,F1_Young
AU040320,F1_Young
Aasdhppt,F1_Young
Abca1,F1_Young
Abca3,F1_Young
Abca5,F1_Young
Ablim2,F1_Young
Ablim3,F1_Young
Abraxas2,F1_Young
Acaca,F1_Young
Acad10,F1_Young
Acadsb,F1_Young
Adat1,F1_Young
Agl,F1_Young
Ago1,F1_Young
Ago3,F1_Young
Ahi1,F1_Young
Akap10,F1_Young
Akap7,F1_Young
Alas1,F1_Young
Aldh7a1,F1_Young
Alkbh3,F1_Young
Ammecr1l,F1_Young
Anapc16,F1_Young
Ank,F1_Young
Ankrd13c,F1_Young
Ankrd9,F1_Young
Anp32b,F1_Young
Anxa6,F1_Young
Ap1g1,F1_Young
Ap2a1,F1_Young
Ap3b1,F1_Young
Apba3,F1_Young
App,F1_Young
Arfrp1,F1_Young
Arglu1,F1_Young
Arhgap42,F1_Young
Arid4a,F1_Young
Armc8,F1_Young
Armh3,F1_Young
Arpp19,F1_Young
Arv1,F1_Young
Asah1,F1_Young
Asb4,F1_Young
Asb5,F1_Young
Ascc3,F1_Young
Atg2b,F1_Young
Atg9a,F1_Young
Atosb,F1_Young
Atp2b1,F1_Young
Atp5mf,F1_Young
Atp5pf,F1_Young
Atp6v0d1,F1_Young
Atp6v1a,F1_Young
Atxn2,F1_Young
B3galt1,F1_Young
B3gat3,F1_Young
B3gntl1,F1_Young
BC004004,F1_Young
Bak1,F1_Young
Bcap29,F1_Young
Bend7,F1_Young
Bhlhe41,F1_Young
Birc2,F1_Young
Bmper,F1_Young
Bnip3,F1_Young
Bnip3l,F1_Young
Bphl,F1_Young
Brd1,F1_Young
Brd8,F1_Young
Btrc,F1_Young
C87436,F1_Young
C920021L13Rik,F1_Young
Cables1,F1_Young
Cadm1,F1_Young
Calr,F1_Young
Camk2g,F1_Young
Camsap1,F1_Young
Canx,F1_Young
Capn15,F1_Young
Capn7,F1_Young
Capns1,F1_Young
Carmn,F1_Young
Carnmt1,F1_Young
Cars1,F1_Young
Cblb,F1_Young
Ccdc117,F1_Young
Ccdc59,F1_Young
Ccdc80,F1_Young
Ccnh,F1_Young
Ccpg1,F1_Young
Cct6a,F1_Young
Cdc27,F1_Young
Cdc42ep3,F1_Young
Cdc73,F1_Young
Cdin1,F1_Young
Cdk13,F1_Young
Cdk14,F1_Young
Cdkal1,F1_Young
Cdkl1,F1_Young
Cdv3,F1_Young
Cep128,F1_Young
Cep20,F1_Young
Cep290,F1_Young
Cep57l1,F1_Young
Cers5,F1_Young
Chd2,F1_Young
Chtop,F1_Young
