gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young,dir_Aged,dir_Young,consistency
Celf2,0.6064,1.8225362005027098e-106,0.6195,8.14089424946962e-129,above,above,consistent_above
Cenpa,0.6658,2.5964402254255298e-18,0.6902,1.1525832889798401e-17,above,above,consistent_above
Cep112,0.4152,0.00278673083412016,0.4076,5.5454646877242e-4,below,below,consistent_below
Cep120,0.3732,3.3141952636601604e-9,0.4271,0.00412603023902458,below,below,consistent_below
Cep126,0.328,7.486436298815421e-9,0.3488,1.02411236963044e-5,below,below,consistent_below
Cep162,0.3432,1.5482588079356e-4,0.3634,0.00350519750801839,below,below,consistent_below
Cep170,0.4234,0.00981907561623593,0.4255,0.0708597682909494,below,below,consistent_below
Cep192,0.3976,0.00169310554156347,0.431,0.0126753047281483,below,below,consistent_below
Cep43,0.3092,6.829481229705529e-30,0.3302,3.72305824762517e-15,below,below,consistent_below
Cep68,0.4338,1.4818383577529e-4,0.4375,7.379813962378e-4,below,below,consistent_below
Cep85,0.5165,0.0673321591357523,0.5425,2.823142343976e-4,above,above,consistent_above
Cers4,0.5962,1.5795930209564e-4,0.579,0.00224374147571326,above,above,consistent_above
Ces1d,0.4404,5.53484570791328e-5,0.3954,2.9601808781233796e-11,below,below,consistent_below
Cfap20dc,0.3727,0.0396634550273147,0.3045,1.6820167396189e-4,below,below,consistent_below
Cfap96,0.8272,6.961718490948359e-19,0.7959,2.5971298275088298e-11,above,above,consistent_above
Cfl2,0.545,0.00127438762654779,0.5343,0.00613296230420025,above,above,consistent_above
Chac2,0.4319,0.00813251481207231,0.4208,0.00269327555250366,below,below,consistent_below
Chd6,0.5148,0.0367163124415144,0.5205,0.0169386046626783,above,above,consistent_above
Chd9,0.5332,7.665105067866e-4,0.5279,3.2518329977613e-4,above,above,consistent_above
Chid1,0.3904,0.0132838217623293,0.4276,0.0149554980115632,below,below,consistent_below
Chmp3,0.5663,0.0340331748694094,0.5849,9.454491193979e-4,above,above,consistent_above
Chmp4c,0.3324,8.60400977420787e-22,0.3202,4.04866521957725e-23,below,below,consistent_below
Chp1,0.613,1.34769413442478e-10,0.6017,5.3376159471885e-6,above,above,consistent_above
Ciapin1,0.5455,0.0437679100793678,0.5708,0.0017956059936337,above,above,consistent_above
Cilk1,0.3971,8.78803212863352e-6,0.4213,8.0220979817421e-4,below,below,consistent_below
Cirbil,0.3674,1.1456379293774e-13,0.3497,4.0320189240390094e-11,below,below,consistent_below
Cisd2,0.7938,3.2945723814202697e-77,0.8112,2.4552066092955596e-84,above,above,consistent_above
Cish,0.3935,1.28830883291371e-8,0.3887,1.81980949530884e-17,below,below,consistent_below
Ckmt2,0.4721,1.0247151434628e-7,0.462,7.79345142474843e-17,below,below,consistent_below
Clec2d,0.6419,8.171934578317101e-10,0.5815,5.44035136838229e-5,above,above,consistent_above
Clic4,0.262,1.11846133746846e-273,0.218,0,below,below,consistent_below
Clic5,0.5406,2.12888560606335e-6,0.5272,0.0168976609855401,above,above,consistent_above
Clip1,0.5517,1.51293921927027e-20,0.5405,4.0096969230373597e-13,above,above,consistent_above
Clpp,0.3715,8.42387420737248e-9,0.3523,4.4693988790572595e-11,below,below,consistent_below
