"","converged","iter","deviance","df_resid","phi_hat","mu_weighted","pmin","pmax","m_eff","theta_map","terms","rank","p_model","error","coef_X.Intercept.","se_X.Intercept.","stat_X.Intercept.","p_X.Intercept.","coef_sexM","se_sexM","stat_sexM","p_sexM"
"Pkd2",TRUE,3,341.396265014006,240,1.42248443755836,0.546763146827891,0.528089887635024,0.571428571284141,1.28519155668621,998.999999999999,"sex",2,0.456737938281707,FALSE,0.112477983404919,0.153073610738072,0.734796695933322,0.463180677325433,0.175204088457105,0.235250807928735,0.744754460142728,0.457148811336734
"Pkia",TRUE,3,209.446090008381,121,1.73095942155687,0.414984788500447,0.382352943371955,0.482758620690393,1.30020299666908,998.999999999999,"sex",2,0.27765360914359,FALSE,-0.479573070965258,0.230761686137638,-2.07821791819989,0.03980336997755,0.410580199481261,0.376597454631301,1.0902362573938,0.277775471063931
"Pkig",TRUE,4,266.283912863618,170,1.56637595802128,0.507320504070183,0.420454545454546,0.5748031496063,1.24982131611948,998.999999999999,"sex",2,0.0390781731027238,FALSE,0.301475394584119,0.192502940484563,1.56608202360574,0.119188962375041,-0.622383114664219,0.301162034794427,-2.06660549059265,0.0402876248842224
"Pkn2",TRUE,3,167.530088439107,119,1.40781586923619,0.395595483881087,0.356164384023276,0.432432432432465,1.21389443074214,998.999999999999,"sex",2,0.357098150562576,FALSE,-0.271933715483508,0.240256631085978,-1.13184686830223,0.259974462465065,-0.320117346191945,0.346914016815883,-0.922757025300136,0.358000992652261
"Pla2r1",TRUE,4,102.345141622805,118,0.867331708667836,0.86389536389535,0.858974358974336,0.870370370370368,1.09753077063518,0,"sex",2,0.856986400308732,FALSE,1.8067973465924,0.338657755256943,5.33517192075393,4.67517445315634e-07,0.0974401060623228,0.540883609223249,0.180149859231738,0.857343935895887
"Plcb4",TRUE,3,177.026278551919,117,1.51304511582836,0.471770930877925,0.433333333831652,0.523809523802108,1.28614753029461,998.999999999999,"sex",2,0.296032815221221,FALSE,-0.268263984565329,0.223647314965104,-1.19949566399751,0.232758737494784,0.363574164339922,0.346934153108004,1.04796302434583,0.296815665274097
"Plce1",TRUE,3,790.243260365321,498,1.58683385615526,0.464927902331635,0.429213483196812,0.490721649484567,1.8606153648207,2.14343860918809,"sex",2,0.0824310636614262,FALSE,-0.0371176629563788,0.0981520270956977,-0.378165016604184,0.705469152434994,-0.247943175808398,0.142634434589766,-1.73831218612471,0.0827738890507851
"Plcl1",TRUE,3,2154.74525415494,897,2.40216862224631,0.427720950737591,0.420046499934681,0.439075630252106,7.48235437825252,0.276007352799758,"sex",2,0.271178958126306,FALSE,-0.322582508746072,0.0460994700232647,-6.99753182809426,5.09712974298105e-12,0.0776681023106537,0.0705286719329115,1.10122734743302,0.271093132039354
"Pld1",TRUE,4,196.532313229139,141,1.39384619311446,0.490933340691888,0.409523809523809,0.661290322580646,1.17263870433856,998.999999999999,"sex",2,0.00241987944427654,FALSE,-0.36593426935153,0.203364940836716,-1.79939702411805,0.0740943935841552,1.03498389833242,0.342013046074111,3.02615327167417,0.00294495801948973
"Plekha2",TRUE,4,133.196511090634,88,1.51359671693903,0.40257394445699,0.333333333333336,0.511627906976744,1.13836811495039,998.999999999999,"sex",2,0.0933700159671572,FALSE,-0.693147180559935,0.293029818189493,-2.36544930765953,0.0202050935544396,0.739667196194829,0.438662930673461,1.68618578063856,0.0953025478236091
"Plekhg1",TRUE,3,110.383988008837,75,1.47178650678449,0.546892074885579,0.543478260851046,0.551020408136641,1.23400350934232,998.999999999999,"sex",2,0.943290038881244,FALSE,0.174353387070135,0.306091668418618,0.569611672120671,0.570643319211653,0.0304410254682617,0.426498842651032,0.0713742276041039,0.943289906813668
"Plekhg2",TRUE,4,181.079207855519,146,1.24026854695561,0.402060867481428,0.4,0.41025641025641,1.44552990678654,1.17054932868763,"sex",2,0.902498210306104,FALSE,-0.362905493689369,0.313126443268578,-1.15897427857313,0.248358746927944,-0.0425596144187965,0.346519964125078,-0.12282009357312,0.902418468064592
"Plekhg3",TRUE,4,261.476751092236,180,1.45264861717909,0.606330231907375,0.556818181818181,0.630434782608695,1.23962067210102,998.999999999999,"sex",2,0.29272347820952,FALSE,0.534082485930256,0.183917871915043,2.90391836513291,0.00414677820439532,-0.305823833949278,0.289668113720521,-1.05577320893643,0.292486816834308
"Plekhh2",TRUE,4,250.656619953497,164,1.52839402410669,0.53623374505724,0.507692307692308,0.594594594594487,1.22931016245226,998.999999999999,"sex",2,0.257395726988039,FALSE,0.0307716586667545,0.185182900384185,0.166169006981286,0.868228631084163,0.352220593588904,0.311059744913728,1.13232457541747,0.259150835363395
"Plekhm2",TRUE,3,159.632160234767,101,1.58051643796799,0.50000000000073,0.484375000001393,0.517241379310344,1.18446609962386,998.999999999999,"sex",2,0.735053729674139,FALSE,0.0689928714869489,0.280787011800792,0.245712474535314,0.806403430967255,-0.131513228462704,0.387654584330754,-0.339253639137914,0.735123044509896
"Plod2",TRUE,3,148.958160726915,94,1.58466128432888,0.445107794970923,0.400000001433162,0.477611940314308,1.21815837663622,998.999999999999,"sex",2,0.438610485961724,FALSE,-0.0896121586263575,0.263168343208274,-0.340512682999405,0.73423029444188,-0.315852943510298,0.407101103471236,-0.775858726043995,0.439780090587711
"Plxdc1",TRUE,4,253.542045531168,167,1.518215841504,0.445708525904454,0.361111111111111,0.510948905109489,1.22942074845721,998.999999999999,"sex",2,0.0512585462165596,FALSE,0.0438026226583929,0.180732178478155,0.242362057643693,0.808797017475326,-0.614347481126005,0.316197863052254,-1.94292104062854,0.0537073966814654
"Plxdc2",TRUE,3,1045.90998224302,547,1.91208406260149,0.531379493927744,0.522281639897927,0.538961038952585,2.14400288335234,3.93277294032699,"sex",2,0.630902533609802,FALSE,0.156160730721258,0.0962919538537426,1.62174225853232,0.105434765599186,-0.0669751023383777,0.139325594095168,-0.48070925355344,0.630915357478493
"Pnisr",TRUE,4,233.077482702746,179,1.30210884191478,0.637743240277803,0.581632653061225,0.669354838709677,1.21890398605752,998.999999999999,"sex",2,0.179346865165741,FALSE,0.705268541092289,0.190227908040696,3.70749249338014,0.000278968273152706,-0.375789339962046,0.278982093146098,-1.34700165062297,0.179682522897216
"Postn",TRUE,6,18.0460332342226,54,0.334185800633751,0.970588235294036,0.970588235293982,0.970588235294104,1.21428571428574,0,"sex",2,NA,FALSE,3.49650756146174,1.13904227374966,3.06969077622682,0.00334959972692766,4.27196516705004e-12,1.61084985690596,2.65199462801296e-12,0.999999999997894
"Pou2f1",TRUE,4,139.895767731905,96,1.45724758054068,0.489538661468486,0.4,0.592592592592593,1.16323444566451,998.999999999999,"sex",2,0.0502292824641656,FALSE,-0.405465108108165,0.27376611140299,-1.48106391265978,0.141864314899427,0.780158557549578,0.397153909908312,1.96437335271278,0.0523784442951864
