"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"Adgrf5",0.5018,0.499581430745814,146,2e-04,0.11333354854597,0.172982106479211,0.0114047632722492,-0.219844781743433,0.507272327900271,1
"Adgrg6",0.3268,0.298754789272031,87,0.3483,0.241050859932001,0.166151013402809,-0.955145764215739,-4.56892760943197,0.00250374429430421,1
"Adgrl2",0.4426,0.452798982188295,131,0.5173,0.308231642869302,0.170738462542381,-0.432315490710679,0.113088342099658,1,1
"Adgrl4",0.5905,0.6121346205417,113,0.1288,0.16107408365176,0.171309817097455,0.462343214057201,-0.458929167383872,0.338037932658063,1
"Adh6b",0.7338,0.753623188405797,23,0.6241,0.477499477128913,0.367322868068226,1.41503749927884,-1.43504553414108,0.0902397634923674,1
"Adipor2",0.6369,0.662745098039216,68,0.4291,0.269887068418039,0.163329515830486,0.648527629498622,-2.83329343218253,0.0172910672234602,1
"Adk",0.4719,0.477820512820513,130,0.7111,0.382032064014772,0.171052305771895,-0.224560258019158,-0.0899216123370792,0.671508005393496,1
"Adss2",0.4702,0.46969696969697,33,0.9608,0.598204103417356,0.356393067286108,-0.192645077942396,0.0215177986444317,1,1
"Afap1l1",0.6056,0.604326923076923,104,1.5716,0.703905750042007,0.163570715564158,0.60334103003601,-2.25901147846528,0.033539567294079,1
"Aff1",0.4003,0.402435064935065,154,0.3667,0.253099538380975,0.173881361620542,-0.615519967697126,0.237568617899569,1,1
"Afg1l",0.4328,0.431372549019608,51,0.6273,0.368903435114029,0.199604513230826,-0.357552004618083,-0.0978794545625021,0.658166133392892,1
"Agap1",0.5374,0.536950904392765,129,0.5895,0.335402903255955,0.170362034239595,0.217591435072627,-0.380152440556984,0.383233127729999,1
"Agfg1",0.4416,0.44758064516129,62,1e-04,0.123828987916227,0.189070140877384,-0.338801913451759,0.0214828386878025,1,1
"Agmo",0.79,0.771717171717172,33,0.2505,0.261164388840357,0.253595076555504,1.96962635095648,-1.84458831287138,0.054766645509866,1
"Ago3",0.4395,0.421474358974359,104,0.3029,0.224130359484191,0.166639769052188,-0.295455883526171,-0.709226392897094,0.2336582348717,1
"Agps",0.439,0.44047619047619,42,0.771,0.481537555372721,0.288288359572603,-0.383328639551505,0.00527836490933709,1,1
"Ahnak",0.5114,0.52921686746988,166,5e-04,0.113746711000708,0.173439143268415,0.0655883416275769,-0.173995780052735,0.555252266966234,1
"Ahsg",0.7344,0.75792349726776,61,0.5406,0.310274911216757,0.160345214398394,1.30256277002043,-1.25362133048558,0.113324058194148,1
"Aig1",0.6316,0.638513513513513,74,1.0367,0.498768404237409,0.160499609405269,0.834940753729504,-3.66323081807296,0.00679466851285639,1
"Airn",0.8432,0.851685952935953,260,0.7528,0.392351578526436,0.162627644269376,2.31647366479525,3.51277335412669,1,1
"Akap10",0.5659,0.578205128205128,65,0.5005,0.297876528127878,0.164666750627312,0.280107919192735,-0.0167314985510387,0.854853775159797,1
"Akap13",0.4881,0.501366582135813,169,0.1279,0.163060258211659,0.174865367708607,-0.0726037489568399,-0.127995197616713,0.612888286758555,1
"Akt3",0.5266,0.521003401360544,196,0.095,0.15107100958609,0.175635788641155,0.170800688899176,-0.143129274990685,0.592628176288677,1
"Alcam",0.1828,0.17760101010101,30,1.3753,0.627623223080694,0.160915869385247,-0.802553935793783,-0.0302813182366819,0.805608870517764,1
"Ambra1",0.5553,0.568253968253968,105,0.6169,0.341789052684822,0.164223813133951,0.215728691055437,-0.241076098664394,0.487449073606688,1
