"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"Rapgef5",0.3522705453149,0.3335,0.2568,0.212378011709013,0.175428016550233,1.51351351351351,248
"Rapgef6",0.650401606425703,0.6257,0.25,0.199769795748131,0.160115068039312,0.3,83
"Raph1",0.595238095238095,0.5947,0.6061,0.338949594109216,0.166151013402809,0.389189189189189,98
"Rasa1",0.40625,0.4044,0.1936,0.180758349459567,0.163790252407912,0.356756756756757,96
"Rasa2",0.465608465608466,0.4599,0.2855,0.23220873475167,0.189070140877384,0.208108108108108,63
"Rasa3",0.591503267973856,0.573,0.5848,0.363286604848787,0.215675741139047,0.183783783783784,51
"Rasal2",0.526788562314878,0.5367,0.0868,0.14790231227443,0.175552131613813,1.45405405405405,209
"Rasgef1b",0.568592683592684,0.5766,0.3246,0.23836891570609,0.175800790588435,1.21081081081081,185
"Rasgrf2",0.488541666666667,0.5017,0.4305,0.268356342077229,0.160179586465955,0.302702702702703,80
"Rasip1",0.365196078431373,0.3737,0.8269,0.428700727155282,0.175166910608501,0.227027027027027,68
"Rb1",0.462044817927171,0.4517,0.0518,0.130361759055166,0.169061859996923,0.451351351351351,119
"Rb1cc1",0.509950248756219,0.504,1.7546,0.787124150548555,0.184532952604494,0.213513513513514,67
"Rbbp6",0.484126984126984,0.4788,1.3811,0.646735480561096,0.186742657310314,0.210810810810811,63
"Rbfox2",0.438985507246377,0.4585,4e-04,0.110157791801347,0.16801566734459,0.424324324324324,115
"Rbm25",0.459466666666667,0.4611,0.1526,0.169875652938603,0.170948747254892,0.545945945945946,125
"Rbm33",0.53448275862069,0.5435,0.3451,0.2699826810786,0.212195548234049,0.186486486486486,58
"Rbm39",0.464156314699793,0.4797,0.09,0.148880690175708,0.175190440795031,0.918918918918919,184
"Rbm5",0.497942386831276,0.5,0.0807,0.135855941201039,0.16069130752772,0.275675675675676,81
"Rbm6",0.483573141486811,0.4678,0.0036,0.113577698308501,0.171383004549851,0.583783783783784,139
"Rbms1",0.547076172169456,0.553,0.0548,0.132820613586274,0.171077350484102,2.09189189189189,268
"Rbms2",0.53494623655914,0.5404,1e-04,0.128878736682123,0.196782790492496,0.2,62
"Rbms3",0.523041310541311,0.5175,0.1741,0.180282291341945,0.174373152976264,0.791891891891892,156
"Rbpj",0.525813932130229,0.543,1.1271,0.534675160614716,0.16290919531221,0.345945945945946,61
"Rbpms",0.48682563781248,0.4922,0.0575,0.13689796165747,0.175738820104843,1.32972972972973,228
"Rc3h2",0.46078431372549,0.4456,0.2593,0.249677014754353,0.230946027201482,0.172972972972973,51
"Rcor1",0.5,0.4742,0.2393,0.227614528817202,0.208849257013473,0.189189189189189,53
"Rcsd1",0.551160337552743,0.5495,0.3684,0.244690929599983,0.160052613142374,0.291891891891892,79
"Rdx",0.603638234781092,0.5991,0.4179,0.273432272236423,0.175240223795763,0.92972972972973,175
"Reep3",0.574074074074074,0.5643,0.3574,0.243069112681078,0.163955558101567,0.254054054054054,72
