"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"Gas6",0.527173913043478,92,-68.2922712746881,-68.1744809191621,-0.117790355525983,0.627416338826993,0.97460324568778
"Gask1b",0.415750915750916,52,-42.1567050438387,-41.9913177413943,-0.16538730244438,0.565203328261299,0.967730651348646
"Gatad2b",0.538513513513514,74,-59.1197529651851,-58.8274419902835,-0.292310974901568,0.444506345389168,0.967730651348646
"Gbe1",0.669398907103825,61,-46.5539485719656,-45.8117153202455,-0.742233251720101,0.223077001865012,0.967730651348646
"Gbf1",0.530208333333333,80,-62.2305205569462,-62.0678364459911,-0.162684110955048,0.568399260038129,0.967730651348646
"Gcnt2",0.605263157894737,57,-45.2440800807054,-44.916931084734,-0.327148995971392,0.418580213641772,0.967730651348646
"Gda",0.292549019607843,85,-69.8166736859747,-69.6961241956316,-0.120549490343066,0.623413497404075,0.97398475497117
"Gdi2",0.604166666666667,60,-44.8331977817247,-44.7135789236579,-0.119618858066715,0.624757219174682,0.97398475497117
"Ghr",0.561865342163355,151,-150.451864948985,-147.457032100861,-2.99483284812376,0.0143899292682165,0.342741951661156
"Gigyf2",0.43452380952381,56,-45.0553002153236,-45.0553276520219,2.74366982537799e-05,1,1
"Gimap6",0.420833333333333,48,-37.3604746084893,-36.8524273944279,-0.508047214061428,0.313447216493737,0.967730651348646
"Git2",0.494252873563218,58,-45.2022392245941,-44.9595288060495,-0.24271041854464,0.48597710616163,0.967730651348646
"Gli3",0.467741935483871,31,-27.3722229249001,-26.77168480006,-0.60053812484005,0.273106676734572,0.967730651348646
"Glis3",0.486044015029522,69,-78.8792735606773,-74.2478588174358,-4.63141474324154,0.00233851454951534,0.114879527244941
"Gls",0.458709150326797,170,-160.863512244101,-160.755882128327,-0.107630115774214,0.642675361786627,0.983725091264438
"Glud1",0.616858237547893,87,-67.0244957369609,-66.981391968624,-0.0431037683369766,0.769055016583147,0.994759090870903
"Glul",0.627659574468085,47,-38.9811258078295,-38.6449138859563,-0.336211921873172,0.412207819081542,0.967730651348646
"Gm12216",0.25,83,-55.5633078224791,-55.5635998704689,0.000292047989830735,1,1
"Gm12353",0.716666666666667,30,-21.3562278020895,-20.5297530226988,-0.826474779390701,0.198557955362124,0.967730651348646
