gene,pvalue_hom,cell_type,condition
Atad2b,1,B_cell,F1_Young
Atxn1,0.0147951852239757,B_cell,F1_Young
BC035044,0.00269979606326019,B_cell,F1_Young
BE692007,0.134851943454013,B_cell,F1_Young
Bach2,0.464432812271245,B_cell,F1_Young
Bank1,0.0431549636485711,B_cell,F1_Young
Baz1a,0.738882680363527,B_cell,F1_Young
Baz2b,0.781511294998713,B_cell,F1_Young
Bcar3,0.117524868096647,B_cell,F1_Young
Bcl11a,0.563702861650773,B_cell,F1_Young
Bcl2,0.102470434859749,B_cell,F1_Young
Birc6,0.964131728587598,B_cell,F1_Young
Brip1os,0.365712296281513,B_cell,F1_Young
Brwd1,0.763024600552995,B_cell,F1_Young
Btla,0.49129712780324,B_cell,F1_Young
Camk1d,0.0253473178045593,B_cell,F1_Young
Camk2d,0.466854270822725,B_cell,F1_Young
Ccnd3,0.808365178314736,B_cell,F1_Young
Cd55,0.0577795701714431,B_cell,F1_Young
Cd74,0.239316540249132,B_cell,F1_Young
Cd79a,0.563702861650773,B_cell,F1_Young
Cdk13,0.28504940740261,B_cell,F1_Young
Celf2,0.415718991811699,B_cell,F1_Young
Cep170,0.212739032257148,B_cell,F1_Young
Cmah,0.763023562156684,B_cell,F1_Young
Cmip,0.0522036353413147,B_cell,F1_Young
Cnot2,0.438578027689093,B_cell,F1_Young
Cog5,0.563702861650773,B_cell,F1_Young
Crlf3,0.80836515591451,B_cell,F1_Young
Csnk1g3,0.24821307898992,B_cell,F1_Young
Cyrib,0.297146530348467,B_cell,F1_Young
Cyth1,0.33901424579854,B_cell,F1_Young
Dennd4a,0.159895903496464,B_cell,F1_Young
Dennd5b,0.763024600552995,B_cell,F1_Young
Dmxl1,1,B_cell,F1_Young
Dock10,0.781511294998713,B_cell,F1_Young
Dock2,0.959775722785611,B_cell,F1_Young
Ebf1,0.545612990951039,B_cell,F1_Young
Ecpas,0.763024617680466,B_cell,F1_Young
Eif4g3,0.563702861650773,B_cell,F1_Young
Elf1,0.763024600552995,B_cell,F1_Young
Elmo1,0.819015208462794,B_cell,F1_Young
Eml4,0.0955807045456293,B_cell,F1_Young
Faf1,0.24821307898992,B_cell,F1_Young
Fbxl17,0.781511294998713,B_cell,F1_Young
Fchsd2,0.669771065804628,B_cell,F1_Young
Fli1,0.515006243669627,B_cell,F1_Young
Fndc3a,0.403365811013919,B_cell,F1_Young
Foxo1,0.165517858697466,B_cell,F1_Young
Foxp1,0.355038274508034,B_cell,F1_Young
Fry,0.330534531485145,B_cell,F1_Young
Fryl,0.796253414737639,B_cell,F1_Young
Gm20559,0.803151331357706,B_cell,F1_Young
Gm30211,0.00745453304047195,B_cell,F1_Young
Gm47782,0.0143058784354296,B_cell,F1_Young
H2-Ab1,0.0832645156964289,B_cell,F1_Young
