celltype,condition,chromosome,n_underdisp
Lymphatic_EC,F1_Aged,15,1
Lymphatic_EC,F1_Aged,19,1
Lymphatic_EC,F1_Aged,4,1
Lymphatic_EC,F1_Aged,7,1
Lymphatic_EC,F1_Young,15,1
Lymphatic_EC,F1_Young,5,1
Lymphatic_EC,F1_Young,6,1
Lymphatic_EC,F1_Young,7,1
Mesothelial,F1_Aged,6,5
Mesothelial,F1_Aged,5,3
Mesothelial,F1_Aged,10,2
Mesothelial,F1_Aged,11,2
Mesothelial,F1_Aged,16,2
Mesothelial,F1_Aged,2,2
Mesothelial,F1_Aged,4,2
Mesothelial,F1_Aged,15,1
Mesothelial,F1_Aged,7,1
Mesothelial,F1_Aged,8,1
Mesothelial,F1_Young,6,7
Mesothelial,F1_Young,10,2
Mesothelial,F1_Young,11,2
Mesothelial,F1_Young,15,2
Mesothelial,F1_Young,18,2
Mesothelial,F1_Young,4,2
Mesothelial,F1_Young,5,2
Mesothelial,F1_Young,1,1
Mesothelial,F1_Young,17,1
Mesothelial,F1_Young,2,1
Mesothelial,F1_Young,7,1
Mesothelial,F1_Young,8,1
Mesothelial,F1_Young,9,1
Myeloid,F1_Aged,10,5
Myeloid,F1_Aged,1,2
Myeloid,F1_Aged,19,2
Myeloid,F1_Aged,5,2
Myeloid,F1_Aged,12,1
Myeloid,F1_Aged,14,1
Myeloid,F1_Aged,15,1
Myeloid,F1_Aged,18,1
Myeloid,F1_Aged,2,1
Myeloid,F1_Aged,3,1
Myeloid,F1_Aged,4,1
Myeloid,F1_Aged,6,1
Myeloid,F1_Aged,7,1
Myeloid,F1_Aged,8,1
Myeloid,F1_Young,10,3
Myeloid,F1_Young,7,2
Myeloid,F1_Young,1,1
Myeloid,F1_Young,11,1
Myeloid,F1_Young,15,1
Myeloid,F1_Young,16,1
Myeloid,F1_Young,18,1
Myeloid,F1_Young,19,1
Myeloid,F1_Young,2,1
Myeloid,F1_Young,3,1
Myeloid,F1_Young,4,1
Myeloid,F1_Young,5,1
Myeloid,F1_Young,6,1
Pericytes,F1_Aged,3,4
Pericytes,F1_Aged,17,3
Pericytes,F1_Aged,9,3
Pericytes,F1_Aged,18,2
Pericytes,F1_Aged,19,2
Pericytes,F1_Aged,2,2
Pericytes,F1_Aged,5,2
Pericytes,F1_Aged,10,1
Pericytes,F1_Aged,13,1
Pericytes,F1_Aged,15,1
Pericytes,F1_Aged,16,1
Pericytes,F1_Aged,4,1
Pericytes,F1_Aged,8,1
Pericytes,F1_Young,17,2
Pericytes,F1_Young,9,2
Pericytes,F1_Young,10,1
Pericytes,F1_Young,11,1
Pericytes,F1_Young,15,1
Pericytes,F1_Young,18,1
Pericytes,F1_Young,19,1
Pericytes,F1_Young,2,1
Pericytes,F1_Young,3,1
Pericytes,F1_Young,4,1
Pericytes,F1_Young,6,1
Pericytes,F1_Young,7,1
Smooth_Muscle,F1_Aged,17,1
