gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
Myo10,F1_Aged,0.0296805508336956,0.663106796116505,shared,0.00524549910704284,0.689041095890411,Pericytes
Myom1,F1_Aged,7.7761679273799e-4,0.228915662650602,shared,0.00277674496020454,0.240740740740741,Pericytes
Nbea,F1_Aged,8.82859656673014e-5,0.351670551670552,shared,8.76119313418668e-6,0.315259009009009,Pericytes
Ndfip1,F1_Aged,0.0351261357695647,0.378156996587031,shared,0.0258954715896935,0.355477855477855,Pericytes
Nrxn1,F1_Aged,1.35317579755529e-285,0.956692719081854,shared,7.53608523819781e-126,0.956273419680678,Pericytes
Nt5dc1,F1_Aged,3.78178647211584e-5,0.275897435897436,shared,0.034974235780521,0.328804347826087,Pericytes
Ntm,F1_Aged,0.0215004570408835,0.617897091722595,shared,0.00928770973559856,0.692045454545455,Pericytes
Opcml,F1_Aged,4.4315547338171605e-68,0.927035330261137,shared,8.63287697432848e-42,0.935114503816794,Pericytes
Or5m3b,F1_Aged,1.02438600961054e-86,0.995215311004785,shared,7.929759348394159e-70,1,Pericytes
Osbpl3,F1_Aged,4.46277216851363e-8,0.258049242424242,shared,0.00419856175530307,0.32449494949495,Pericytes
Pakap,F1_Aged,1.44859358865055e-5,0.581220316326699,shared,1.2372288026307e-4,0.578753638075672,Pericytes
Parva,F1_Aged,0.00198184597654097,0.355011261261261,shared,0.00205276666405987,0.345751633986928,Pericytes
Pde7b,F1_Aged,2.1866676234929e-29,0.181409354192605,shared,6.71062403386646e-20,0.175422871851443,Pericytes
Pid1,F1_Aged,0.0109180681227507,0.540107838171218,shared,0.00798159166748757,0.561975687710982,Pericytes
Pitpnc1,F1_Aged,1.5891287190295597e-11,0.256073778195489,shared,7.23012666133088e-13,0.224908424908425,Pericytes
Plcl1,F1_Aged,1.4028463721199199e-11,0.433814114163933,shared,2.6867197534981e-4,0.448129183186958,Pericytes
Plekhg3,F1_Aged,0.0460237668873816,0.601007326007326,shared,0.0691834330115365,0.600508905852417,Pericytes
Plxdc2,F1_Aged,0.0709136673686883,0.539337224360233,shared,0.099014523659672,0.548048073644732,Pericytes
Pnisr,F1_Aged,0.00253291556826847,0.624309392265193,shared,0.00724054880664937,0.663716814159292,Pericytes
Prkg1,F1_Aged,6.32606632272601e-293,0.136393161480738,shared,4.543574636713559e-205,0.131538853113197,Pericytes
Rapgef5,F1_Aged,9.27958609123187e-6,0.330792127625461,shared,8.771262685049e-4,0.353684981684982,Pericytes
Rb1,F1_Aged,0.0242970005223001,0.363711001642036,shared,0.0171585777353161,0.355119825708061,Pericytes
Rmdn1,F1_Aged,5.32425155554041e-5,0.678907721280603,shared,0.00719143862916358,0.645299145299145,Pericytes
Rnf169,F1_Aged,0.0821255360854338,0.658878504672897,shared,0.0998221816247404,0.613888888888889,Pericytes
Ror1,F1_Aged,1.29615513658427e-13,0.68634290164664,shared,0.00286868670177451,0.618256997455471,Pericytes
Ror2,F1_Aged,5.9790672607475e-4,0.307855626326964,shared,0.00443102601605122,0.315315315315315,Pericytes
Rora,F1_Aged,1.96806801297243e-8,0.567579210111678,shared,0.00102339226857116,0.549195519368787,Pericytes
Scn3a,F1_Aged,1.5344529871244e-4,0.67258382642998,shared,0.00330897837514711,0.665333333333333,Pericytes
Serpini1,F1_Aged,1.3401611630326398e-55,0.83047611541464,shared,5.83868070722029e-32,0.829097909790979,Pericytes
Sgip1,F1_Aged,0.00367915754492243,0.595255731922399,shared,1.8086351997342e-6,0.699459459459459,Pericytes
Slc16a7,F1_Aged,5.91991555305486e-16,0.0769230769230769,shared,1.0400027057907e-16,0.0396825396825397,Pericytes
Slc8a1,F1_Aged,1.9684486190846402e-15,0.309841685365246,shared,9.48779301866467e-10,0.310040915670055,Pericytes
Slit2,F1_Aged,1.49462110550495e-19,0.0378787878787879,shared,2.16140875219434e-6,0.112727272727273,Pericytes
Spon1,F1_Aged,5.04866293376322e-6,0.714147286821705,shared,1.83294277824198e-8,0.781446540880503,Pericytes
Ssh2,F1_Aged,0.00262956098056289,0.551132246376812,shared,0.0771154289418683,0.550916230366492,Pericytes
Stk39,F1_Aged,1.39861770806011e-9,0.733416252072968,shared,0.0148994982944723,0.610136452241715,Pericytes
Stxbp6,F1_Aged,2.24342233049641e-7,0.320552147239264,shared,5.4318900588419e-4,0.326737588652482,Pericytes
