"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"Cmip",0.5274,0.508684405025868,41,0.1067,0.100878524144019,0.0921891325426315,0.172836596862215,0.0319812643600912,1,1
"Cnot4",0.5609,0.555555555555556,24,3e-04,0.0470520621701141,0.0716901829544877,0.3536369546147,-0.210546793348183,0.51639186959585,1
"Colec12",0.4596,0.439114357864358,28,0.5993,0.2873990866724,0.0913602050443114,0.0250909809628306,0.472721838585592,1,1
"Cped1",0.5726,0.588461538461538,26,0.3023,0.169385063576918,0.0833734537698132,0.478047296804644,-0.0555749205625098,0.738838836435438,1
"Cpne8",0.4461,0.404761904761905,21,0.1116,0.0903994582020771,0.0733421058273058,-0.222392421336448,-0.157051719750154,0.575172999354922,1
"Crebbp",0.5326,0.556565656565657,33,0.1869,0.128581502023844,0.0879848140910842,0.0489096004809462,-0.42994535333558,0.353769278343262,1
"Csnk1a1",0.5311,0.522222222222222,30,1e-04,0.0519830059934213,0.0793373778206188,0.176877762084079,-0.0360306380472366,0.788358872227422,1
"Ctsc",0.6896,0.6375,24,0.2047,0.134583208260298,0.0868274200828946,1.32192809488736,-1.07466981795678,0.142631225202012,1
"Cul3",0.4309,0.420289855072464,23,0.1403,0.100238160175313,0.0717230833077608,-0.415037499278844,-0.414139032375029,0.362770917551155,1
"Cux1",0.4591,0.435897435897436,26,1e-04,0.0510639162866193,0.0779336214750965,-0.241008099503795,-0.130169566796287,0.609887261197877,1
"Cyfip1",0.3605,0.34375,24,0.7669,0.344061427182136,0.0806944864495152,-0.70626879694329,-0.404452545411836,0.368444159026955,1
"Cyrib",0.4066,0.382266009852217,29,0.0686,0.0799861725993492,0.0823775476167393,-0.514573172829758,0.00445814852597337,1,1
"Cyth1",0.5279,0.499479166666667,32,0.1827,0.120151518896812,0.0775454198617315,0.192645077942396,-0.63742689015195,0.258858085104107,1
"Cyth3",0.502,0.464965986394558,14,0.1934,0.120402717137338,0.0717230833077608,0,-0.0883670390889648,0.6741950765946,1
"Cyyr1",0.4616,0.374242424242424,22,1e-04,0.0501548281607243,0.0765451408774796,-0.222392421336448,-0.115893721767403,0.630201621790813,1
"Dab2",0.4327,0.408333333333333,30,0.0489,0.070004779720995,0.078558633560533,-0.357552004618084,-0.00529374416044703,0.918045892252711,1
"Dach1",0.5191,0.529271708683473,17,0.2451,0.145020980676966,0.0793373778206188,0.176877762084079,-0.721217164282539,0.229745819074695,1
"Dapk1",0.3649,0.432777777777778,30,0.0435,0.0711065825642601,0.0833734537698132,-0.841302253980942,-0.136571878914125,0.601230666791728,1
"Dclre1c",0.3931,0.382575757575758,22,0.4005,0.202199124684918,0.0765354631020977,-0.559427408614019,-0.0804703179253714,0.688291968860194,1
"Dcn",0.5284,0.549608925695882,18,0.1975,0.126690071335335,0.0789479689528346,-0.158697746019058,-0.341384865762944,0.408634605594482,1
"Ddx5",0.278,0.295454545454545,22,2e-04,0.0543211342275458,0.082850479010205,-1.37851162325373,-0.27490867446928,0.458392334855084,1
"Dennd1a",0.4999,0.527417027417027,33,1e-04,0.0499374547007771,0.0762131391463202,0,-0.108212458609842,0.641777558727469,1
"Dennd1b",0.4851,0.484615384615385,26,0.2409,0.141591529748209,0.0765354631020977,-0.0614005446641434,-0.528016589920881,0.304121671476202,1
"Dennd4a",0.5094,0.475308641975309,27,1e-04,0.0552239324788357,0.0842873528726751,0.0544477840223765,-0.125929196121437,0.615769555574057,1
