"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"Mkln1",0.468824940047962,139,-117.572762429956,-117.53666201111,-0.0361004188452654,0.788158908216742,0.999997774956151
"Mllt10",0.521248025276461,211,-174.300026470917,-172.712683032723,-1.58734343819478,0.0747875455313711,0.745945454138708
"Mllt3",0.555749128919861,41,-36.8538957255246,-34.1538689808207,-2.70002674470392,0.0201361344170313,0.471468609930059
"Mlxip",0.581229773462783,103,-80.0919313881913,-79.9349037674438,-0.157027620747556,0.575202323001935,0.999997774956151
"Mnat1",0.418439716312057,47,-37.6053644010088,-37.5836226520502,-0.021741748958604,0.834817525131608,0.999997774956151
"Mob3b",0.497747747747748,74,-59.1428529723564,-56.5560135197875,-2.58683945256896,0.0229316025668176,0.479084561733783
"Mon2",0.533333333333333,180,-155.920100941587,-155.794997428894,-0.125103512693414,0.616929342239588,0.999997774956151
"Morc3",0.465408805031447,106,-77.885310987085,-77.8739340636456,-0.0113769234393857,0.880098947535198,0.999997774956151
"Mpp7",0.983870967741935,31,-4.47318504006814,-4.43616988818319,-0.0370151518849466,0.785556582985698,0.999997774956151
"Mrc1",0.53812729288463,402,-540.310380125561,-539.330209249573,-0.980170875988847,0.161476773427661,0.999997774956151
"Mrps28",0.565500685871056,81,-72.1766102881977,-69.9947815627743,-2.18182872542344,0.0367134019499498,0.587194114516864
"Mrps6",0.532520325203252,41,-32.5788027925149,-32.3304007632094,-0.248402029305417,0.480907767164503,0.999997774956151
"Mrtfa",0.490112994350282,118,-97.229178805793,-96.4111202101654,-0.818058595627534,0.200859038460385,0.999997774956151
"Ms4a4a",0.482135136804398,257,-265.569882760077,-265.149648407937,-0.420234352140369,0.35926275557527,0.999997774956151
"Ms4a6b",0.480144247480014,274,-263.784059465397,-263.7814028697,-0.00265659569771515,0.941892345395684,1
"Ms4a6c",0.488326585695007,247,-222.27443837112,-222.239666473505,-0.0347718976144336,0.792002174980145,0.999997774956151
"Ms4a6d",0.397154471544715,205,-183.851911238362,-181.996827608991,-1.85508362937048,0.0540819713362488,0.657643019459899
"Ms4a8a",0.024390243902439,82,-9.83099743171793,-9.64074842111473,-0.1902490106032,0.537336824300205,0.999997774956151
"Msi2",0.506666666666667,75,-63.6312381698007,-62.4020149810869,-1.22922318871387,0.116894351569748,0.912720543064802
"Msr1",0.453550295857988,169,-153.290475795154,-151.127425305926,-2.16305048922808,0.0375321264814229,0.589560343341822
"Msrb3",0.511111111111111,30,-26.0872671368891,-25.8020326278062,-0.285234509082926,0.450072601242874,0.999997774956151
"Mtcl2",0.561224489795918,49,-38.8295930987385,-38.391376587976,-0.438216510762459,0.349180510775149,0.999997774956151
"Mtdh",0.358974358974359,52,-38.7441493885295,-38.6958674458137,-0.0482819427157963,0.75599273472754,0.999997774956151
"Mtmr10",0.666666666666667,68,-49.8893833952615,-48.8488875371303,-1.04049585813123,0.149143250346342,0.999997774956151
"Mtmr12",0.470149253731343,67,-50.6134896420481,-50.5820398448091,-0.0314497972390413,0.801970353182088,0.999997774956151
"Mtmr3",0.550882352941176,170,-143.833680902548,-143.412984063095,-0.420696839453683,0.358998481965991,0.999997774956151
"Mtr",0.489316239316239,78,-62.0954760459874,-62.0834466014668,-0.0120294445206284,0.876735165588272,0.999997774956151
"Mtss1",0.411731601731602,275,-266.202733074949,-266.061367878254,-0.141365196694835,0.594917179238378,0.999997774956151
"Mtus1",0.538557213930348,67,-56.9839508119084,-56.8035461257281,-0.180404686180268,0.548057074101744,0.999997774956151
"Mycbp2",0.551869787463008,177,-155.68576827829,-155.6634261638,-0.0223421144907547,0.83258573336835,0.999997774956151
