gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
2810449D17Rik,F1_Aged,0.00180359003409426,0.758974358974359,shared,3.6206145812663e-4,0.781767955801105,Cardiomyocyte
3222401L13Rik,F1_Aged,8.476523206436101e-10,0.404060471398074,shared,4.18209494119765e-6,0.414662658650635,Cardiomyocyte
3300002I08Rik,F1_Aged,0.0733490320162749,0.389795918367347,shared,1.9968124590762e-4,0.307453416149068,Cardiomyocyte
4631405J19Rik,F1_Aged,2.2377127495612e-4,0.287790697674419,shared,0.0082008216144507,0.328703703703704,Cardiomyocyte
4732440D04Rik,F1_Aged,1.78863301849243e-90,0.316263475087004,shared,3.0305871076473403e-63,0.342457468375155,Cardiomyocyte
4732471J01Rik,F1_Aged,0.00119848695119838,0.345833333333333,shared,0.00186008660495207,0.354948805460751,Cardiomyocyte
4833420G17Rik,F1_Aged,2.43667179605997e-15,0.888316151202749,shared,5.18529199599577e-17,0.858649789029536,Cardiomyocyte
4921504A21Rik,F1_Aged,0.00381326206183819,0.767045454545455,shared,3.50901158319381e-9,0.848,Cardiomyocyte
4930402D18Rik,F1_Aged,2.98813505620416e-6,0.832669322709163,shared,4.0824656489834e-7,0.827586206896552,Cardiomyocyte
4930412C18Rik,F1_Aged,1.0608739684094901e-14,0.962962962962963,shared,4.57289943698556e-14,0.959770114942529,Cardiomyocyte
4930447C04Rik,F1_Aged,8.22699098749269e-18,0.0487012987012987,shared,9.010117051451171e-17,0.036144578313253,Cardiomyocyte
4930481A15Rik,F1_Aged,7.101065088844291e-61,0.94767090139141,shared,6.569196468710759e-43,0.912016369047619,Cardiomyocyte
4930506C21Rik,F1_Aged,4.36640145087748e-6,0.428542914171657,shared,2.42892338132264e-8,0.415047619047619,Cardiomyocyte
4930522O17Rik,F1_Aged,2.7660771584784397e-19,0.962121212121212,shared,2.611994209518e-11,0.942857142857143,Cardiomyocyte
4930523C07Rik,F1_Aged,0.00495371745708359,0.379576107899807,shared,0.015478789837725,0.368995633187773,Cardiomyocyte
4930544I03Rik,F1_Aged,0.00729661746818955,0.840686274509804,shared,0.00134275227657572,0.9,Cardiomyocyte
4933431K23Rik,F1_Aged,1.3532504630876e-4,0.447980921562679,shared,0.0803457254345833,0.469459338695264,Cardiomyocyte
5430402O13Rik,F1_Aged,0.0277073649809338,0.390821256038647,shared,0.00632772028308553,0.39344262295082,Cardiomyocyte
5830417I10Rik,F1_Aged,4.9415289171195296e-54,0.927978883861237,shared,3.5985737502178003e-59,0.933018867924528,Cardiomyocyte
