gene,group,abs_diff
Cdk14,Overlap,0.076461146297012
Cdk19,Overlap,0.03394331414783
Cdk5rap1,Overlap,0.0410695012126271
Cdk7,ASPEN_only,0.00547987941663797
Cdkal1,ASPEN_only,0.00560476262533299
Cdkl5,ASPEN_only,0.00885165243316205
Cdkn1a,ASPEN_only,0.052671070703595
Cds1,Overlap,0.00641334655717898
Cebpb,ASPEN_only,0.017207569604532
Cecr2,ASPEN_only,0.00395232937957901
Celf1,ASPEN_only,0.00810037261098401
Celf2,Overlap,0.00334205793981401
Cenpa,Overlap,0.00715763280719406
Cenpp,ASPEN_only,0.0154684263777169
Cenpv,ASPEN_only,0.023337251287829
Cep104,ASPEN_only,0.095296199324834
Cep120,ASPEN_only,0.00299274406913203
Cep126,ASPEN_only,0.016402530402373
Cep162,ASPEN_only,0.072417611657353
Cep192,ASPEN_only,0.019811771638262
Cep43,Overlap,0.00202136924516
Cep68,ASPEN_only,0.016085562715579
Cers4,ASPEN_only,0.00307225540651901
Ces1d,ASPEN_only,0.024791434600894
Cfap20dc,Overlap,0.036384859368233
Cfap58,Overlap,0.01168926338839
Cfap61,ASPEN_only,0.0746680744353671
Cfap96,Overlap,0.023594807536326
Cgnl1,ASPEN_only,0.0606433452209311
Chd1l,ASPEN_only,0.026595329231327
Chd2,ASPEN_only,0.00410229298687403
Chd7,ASPEN_only,0.00326871042704202
Chm,ASPEN_only,0.035220553724051
Chmp4c,Overlap,0.01596710373538
Chn1,ASPEN_only,0.00682678147349802
Chp1,Overlap,0.00389950252530491
Chrm2,ASPEN_only,0.00580854435705902
Cilk1,Overlap,0.025489865550259
Cir1,ASPEN_only,0.021984110647878
Cirbil,Overlap,0.010824522486499
Cisd2,Overlap,0.0370757996539101
Cish,Overlap,0.002438205063099
Ckmt2,Overlap,0.001206789774364
Clcn3,ASPEN_only,0.024641448300629
Clcn5,Overlap,0.024058395904616
Cldnd1,ASPEN_only,0.049773039768495
Clec16a,ASPEN_only,0.00737927709735198
Clec2d,ASPEN_only,0.022106687598633
Clic4,Overlap,0.010582090226518
Clip1,Overlap,0.0122705264573231
Clns1a,ASPEN_only,0.00731400216713196
Clpp,ASPEN_only,0.00240300739966204
Cltb,ASPEN_only,0.041232475497866
Cltc,ASPEN_only,0.00909109012072001
Cluh,Overlap,0.029849332273016
Clvs1,Overlap,0.0097339958595767
Cmc1,ASPEN_only,0.00528421029135695
Cmss1,ASPEN_only,0.00169233116814005
Cmtm8,ASPEN_only,0.105667970765932
Cmya5,Overlap,0.00823358716313194
Cnih4,ASPEN_only,0.031094777254519
Cnot7,ASPEN_only,0.00672541500402701
Cnst,ASPEN_only,0.016669998509129
Cntn5,Overlap,0.0359352207338119
Cntnap5b,ASPEN_only,0.00509791779101825
Cntrob,ASPEN_only,0.052635501153881
Cobl,ASPEN_only,0.022999967610167
Cobll1,Overlap,0.00336099094120901
Cog2,ASPEN_only,0.037751294417826
Col3a1,ASPEN_only,0.01660060900997
Col4a1,Overlap,0.046028760132505
Col4a2,Overlap,0.037499613699716
Col4a5,Overlap,0.010262827156002
Col8a1,ASPEN_only,0.003647519225637
Colq,ASPEN_only,0.040739706816251
Commd1,ASPEN_only,0.01270925630097
Commd10,ASPEN_only,0.0365003548735749
Comt,Overlap,0.00404084384102899
Cops8,ASPEN_only,0.037006711738465
Coq10a,ASPEN_only,0.00215631819184603
Coq10b,Overlap,0.019741117524937
Coq2,Overlap,0.0136706879934481
Coq5,Overlap,0.00452404390164807
Corin,Overlap,0.00276991437202501
Coro6,Overlap,0.00752348278349391
Cox10,ASPEN_only,0.00337861264401701
Cox6a1,ASPEN_only,0.00685242394475899
Cox6b1,ASPEN_only,0.00853612003813303
Cox7a2,ASPEN_only,0.017792580907825
Cox7a2l,ASPEN_only,0.028567059934465
Cox7b,ASPEN_only,0.0282778065751621
Cox7c,ASPEN_only,0.000928213897331998
Cox8a,ASPEN_only,0.00201043437306603
Cp,Overlap,0.019008940061735
Cpeb3,Overlap,0.00334170232647202
Cped1,Overlap,0.020876989277376
Cpne4,Overlap,0.031312736415672
Cpne8,ASPEN_only,0.00219472439733803
