gene,bb_mu,padj_mean,padj_intercept,glm_mu,asp_sig,glm_sig,group,beta0,beta_sex,p_sex,padj_sex,abs_beta
Ddx3x,0.3725,9.17245190428742e-06,3.47327869621645e-07,0.375245789386265,TRUE,TRUE,Overlap,-0.509777059742323,0.815128140457183,5.21709602796305e-06,0.000686610755680157,0.815128140457183
Diaph2,0.4425,0.000933225262562177,0.321316093232752,0.447519093123704,TRUE,FALSE,ASPEN_only,-0.210699672101862,1.04992808993692,1.58964759004023e-05,0.001778285770725,1.04992808993692
Dmd,0.4158,1.47064157007425e-39,0.000282171873355388,0.456984341260291,TRUE,TRUE,Overlap,-0.172489030869673,1.03320305219283,2.16150865305899e-36,2.90160921586639e-33,1.03320305219283
E330011O21Rik,0.7789,0.0485376552579764,6.36966666089135e-12,0.824820216301499,TRUE,TRUE,Overlap,1.54935266095657,1.19671903736185,0.000706620309064058,0.0431166864948905,1.19671903736185
Ell2,0.4665,2.32160905703817e-05,5.39051339138486e-06,0.426726305308459,TRUE,TRUE,Overlap,-0.295220418297785,0.459360012751224,6.34547288726532e-05,0.00591539083601734,0.459360012751224
Enox2,0.4023,2.06320912524244e-07,0.0143977503887183,0.423346119529955,TRUE,TRUE,Overlap,-0.309052132040128,0.857315376197959,1.34896067771976e-05,0.00156107311531983,0.857315376197959
Exd1,0.6393,0.118239427394029,0.0777560260020118,0.595512574594711,FALSE,TRUE,GLM_only,0.386801855345852,1.30238725154623,4.79286319747182e-05,0.00459567111163298,1.30238725154623
Fgf13,0.4226,2.86826719199131e-21,0.88583311574981,0.505078475628976,TRUE,FALSE,ASPEN_only,0.0203146011113158,1.10090690359454,6.87663909898599e-41,1.53853338774647e-37,1.10090690359454
Fhl1,0.5348,0.0335085912642779,0.978059941919522,0.504134390832828,TRUE,FALSE,ASPEN_only,0.016537940253004,1.39354126710099,1.53448423715354e-08,3.32240587089502e-06,1.39354126710099
Gk,0.3685,6.52262203619132e-16,1.1523278045263e-06,0.379011100558408,TRUE,TRUE,Overlap,-0.493747712752545,1.24285330881442,8.7017358798774e-12,3.07400269609143e-09,1.24285330881442
Glis1,0.3956,1,0.0132795361639892,0.428477657829081,FALSE,TRUE,GLM_only,-0.288064980126825,1.02172443748529,1.85327935551044e-07,3.2734765879437e-05,1.02172443748529
Gm11884,0.0417,5.38741066834262e-06,1.73998229733694e-22,0.0368041897314045,TRUE,TRUE,Overlap,-3.26464503464973,-1.62475332812757,1.43440753438519e-11,4.8138716853967e-09,1.62475332812757
Gm14634,0.3583,0.0563601156892076,0.000517324825359146,0.40414521392794,TRUE,TRUE,Overlap,-0.388222736054757,0.885239270825153,3.41032513520133e-06,0.000476877131405653,0.885239270825153
Gm14902,0.6705,1,0.00450234797833801,0.715186126571608,FALSE,TRUE,GLM_only,0.92070693446884,2.24937394436959,2.3204443090137e-05,0.0025120680971129,2.24937394436959
Gm26779,0.1036,0.000368184345614758,1.40795712272087e-47,0.0955247080299929,TRUE,TRUE,Overlap,-2.24797005082864,0.997199694244912,2.792431726626e-09,6.94177842559767e-07,0.997199694244912
Gm42413,0.3983,0.762382210264848,0.0500219956534486,0.315231715547807,FALSE,TRUE,GLM_only,-0.775772536848394,-2.33682577496221,8.06967775962813e-05,0.0071267996213979,2.33682577496221
Gm47200,0.0789,1.9013841392402e-10,1.34112895387277e-42,0.0272824052027779,TRUE,TRUE,Overlap,-3.57385180198224,-1.67366988127708,5.85708656691775e-13,2.457047814822e-10,1.67366988127708
Gpcpd1,0.5015,1,0.0719124988936589,0.520117521888918,FALSE,TRUE,GLM_only,0.0805135530172142,0.32458484408922,3.42228746090945e-07,5.74259835940606e-05,0.32458484408922
Grb10,0.8158,2.66844830653594e-100,7.51609600000457e-15,0.709562626711218,TRUE,TRUE,Overlap,0.893260790933233,-0.833552108611309,0.000103415220141866,0.00867653696990256,0.833552108611309
Grm1,0.9908,0,0,0.990063009994108,TRUE,TRUE,Overlap,4.60150442906022,-0.582217180545382,5.72151562198814e-10,1.53611251419138e-07,0.582217180545382
Huwe1,0.4472,0.000138168402715021,0.284968822780832,0.463611143316152,TRUE,FALSE,ASPEN_only,-0.145813229260573,1.20189834141178,9.7395643219959e-14,4.66942540923118e-11,1.20189834141178
Ints6l,0.2945,0.00242124663461589,0.0382679246751224,0.323405584617703,TRUE,TRUE,Overlap,-0.738164786922819,2.05429650938698,0.000138503448719171,0.0114769771333713,2.05429650938698
Itgb1bp2,0.6256,1.3694449521047e-10,1.49250570726748e-06,0.685483820323791,TRUE,TRUE,Overlap,0.779089375458302,1.30007185702249,6.61748130937508e-06,0.000854164125933183,1.30007185702249
Kcnip4,0.2333,2.57517223069535e-61,4.93060053871945e-25,0.277393473663271,TRUE,TRUE,Overlap,-0.957427869619412,1.00471198523439,8.48548866672844e-09,1.96395172176142e-06,1.00471198523439
Kcnq1ot1,0.2895,1.61110830000163e-48,4.49759270716814e-05,0.382061552861787,TRUE,TRUE,Overlap,-0.480807123625228,0.687327558979856,0.000800199398676776,0.0483868321073741,0.687327558979856
Klhl40,0.4664,0.651921684957419,8.27178639651256e-05,0.359943573826035,FALSE,TRUE,GLM_only,-0.575609058571023,1.04227755318897,3.18591883914363e-05,0.0032898288074357,1.04227755318897
Lpin1,0.5368,0.0701834754072861,0.00385444745446774,0.543845394280085,TRUE,TRUE,Overlap,0.17583320508985,-0.330607918387594,0.000819626120521851,0.0486843408932979,0.330607918387594
Magi1,0.265,1.48361273898219e-243,7.81854017205864e-88,0.269936868254906,TRUE,TRUE,Overlap,-0.9949429018659,-0.477684001061946,6.48049483580491e-07,0.000103564479376006,0.477684001061946
Mecp2,0.4128,3.42380923697516e-06,0.0552373816064084,0.432618744769287,TRUE,TRUE,Overlap,-0.271174642508584,0.911178844890923,9.53355780782069e-06,0.0011634407273835,0.911178844890923
Mid1,0.3119,4.34515129737846e-40,2.55564197621469e-24,0.297591024967038,TRUE,TRUE,Overlap,-0.858795675442486,0.653832294729299,4.21556781175711e-05,0.00410070886268315,0.653832294729299
Mpp7,0.4484,4.80420460333332e-06,0.98548428060114,0.502341440328721,TRUE,FALSE,ASPEN_only,0.00936582977753506,0.695363679545706,0.000163616134552257,0.0130737082751756,0.695363679545706
Mtch1,0.4757,1,4.8947246001053e-12,0.60491730003325,FALSE,TRUE,GLM_only,0.425996644536086,-1.8637497681412,1.17679497438397e-40,1.9746619670163e-37,1.8637497681412
Mtor,0.9911,7.25170216249011e-73,0,0.996318856243125,TRUE,TRUE,Overlap,5.60084383575207,-3.59564949739897,0,0,3.59564949739897
Nt5e,0.8519,1.90287341579274e-76,1.32717948315532e-30,0.86200139365962,TRUE,TRUE,Overlap,1.83201330131343,1.06247296346805,0.000377311835591337,0.0263803858384276,1.06247296346805
Ogt,0.4337,3.69169583455243e-05,0.454251703369066,0.459001570893941,TRUE,FALSE,ASPEN_only,-0.164362742675033,1.080267472953,2.13832065739659e-06,0.000305370388349913,1.080267472953
Pak5,0.9777,6.17321907630186e-16,4.1411377022632e-36,0.988188308609253,TRUE,TRUE,Overlap,4.42678343856173,2.08138217019264,1.4760501130325e-05,0.00167919463706341,2.08138217019264
Pdzrn3,0.4493,1.91121813424543e-07,1.99380437073285e-05,0.449706106375781,TRUE,TRUE,Overlap,-0.201858215094388,-0.531410414867824,1.65581808062682e-10,4.83210911181183e-08,0.531410414867824
Phactr3,0.163,0.022695549516084,7.62136747181116e-36,0.15795898025551,TRUE,TRUE,Overlap,-1.6734933494077,0.685882385515078,1.25725583963807e-07,2.41105748447164e-05,0.685882385515078
Phka2,0.6632,4.38694284211743e-05,5.26433295476085e-20,0.724170556708644,TRUE,TRUE,Overlap,0.965244224594128,1.08434499227923,1.53154782594948e-08,3.32240587089502e-06,1.08434499227923
Picalm,0.717,2.94402396128604e-58,3.92472137382817e-29,0.754527869420919,TRUE,TRUE,Overlap,1.12290879540024,0.723998178204064,0.000143301262741666,0.0117297326283178,0.723998178204064
Pls3,0.4325,0.0119383655716842,0.355070953108622,0.447595731110978,TRUE,FALSE,ASPEN_only,-0.210389710293241,1.2957519687763,3.76214562994428e-07,6.15890767516732e-05,1.2957519687763
Pou6f2,0.9115,0.00781643029258778,5.55278533982913e-28,0.930322873511033,TRUE,TRUE,Overlap,2.5916596086974,-2.56527075587246,9.93241219387302e-20,6.66663506452757e-17,2.56527075587246
Rbbp7,0.3723,0.00631448649872034,0.000475572144031616,0.38147203443692,TRUE,TRUE,Overlap,-0.483304862139366,0.966607252814831,3.74125879703984e-05,0.00374795955906439,0.966607252814831
Sf3b1,0.5423,1,0.000304268618722718,0.562469031341676,FALSE,TRUE,GLM_only,0.251188588373162,0.39534548375307,0.000847053564755458,0.0498721361985845,0.39534548375307
Sgo2a,0.9748,2.98287121321521e-23,1.53542645371508e-125,0.979260135699823,TRUE,TRUE,Overlap,3.8547396630882,-1.10428030293865,5.92568682299921e-14,3.05947768892082e-11,1.10428030293865
Shld1,0.5531,0.000696211531705945,3.57537858238734e-07,0.570690387684785,TRUE,TRUE,Overlap,0.284668468723122,0.357751561576376,0.000371917212397617,0.026276929785398,0.357751561576376
Slc38a4,0.172,0.0105652562788152,2.87655331415948e-11,0.258389861790898,TRUE,TRUE,Overlap,-1.05435414829905,-1.08677726250461,2.10161558912253e-05,0.0023124662023263,1.08677726250461
Slc9a6,0.3901,0.0519963353627574,0.00609663296911935,0.343336526072348,TRUE,TRUE,Overlap,-0.648460579260816,1.90477021792029,8.9104637723363e-07,0.000135925074636185,1.90477021792029
Snurf,0.2193,8.45941925726983e-05,0.0351855152751994,0.282113392603731,TRUE,TRUE,Overlap,-0.934002536610098,2.99867988475461,9.07057737431144e-06,0.0011274391728959,2.99867988475461
Snx12,0.2953,0.224053556378923,4.03176417354384e-05,0.353527028793132,FALSE,TRUE,GLM_only,-0.603571446528205,0.991706445110468,8.22954074962191e-05,0.00717359448200809,0.991706445110468
Ssbp2,0.5883,0.00394732546815224,1.23523326212688e-07,0.588338621344231,TRUE,TRUE,Overlap,0.357101553838538,0.454095589079367,0.000195532042811274,0.0150851847281525,0.454095589079367
Syndig1,0.9065,0.0021318834238769,3.03926887403727e-21,0.928305853718965,TRUE,TRUE,Overlap,2.56095215978816,1.87845261113347,2.55296194687095e-11,8.15975266066563e-09,1.87845261113347
Tbc1d22bos,0.4102,0.666418784656425,0.000516594547453883,0.39190040170981,FALSE,TRUE,GLM_only,-0.439330951291101,-0.778158225366157,0.000232897007746132,0.0175640979324948,0.778158225366157
Tbl1x,0.4558,0.0106789961057361,0.916769569829936,0.486898393386176,TRUE,FALSE,ASPEN_only,-0.0524184256295071,1.43612146550758,7.95476500703948e-09,1.90687081168746e-06,1.43612146550758
Them7,0.1146,5.70698958261259e-07,4.91481290094701e-30,0.085643557396185,TRUE,TRUE,Overlap,-2.36802647458363,1.22442104674574,1.63884560412033e-06,0.000239128949888166,1.22442104674574
Thoc2,0.3094,0.170197877357558,0.000386525340214585,0.301284961248013,FALSE,TRUE,GLM_only,-0.841186457224702,1.67825065045574,3.08700319052709e-05,0.00323749459606529,1.67825065045574
Tmem65,0.4348,1.77069174834587e-15,3.07946880501368e-14,0.368712967126839,TRUE,TRUE,Overlap,-0.537742170326289,-0.983271933850396,1.4795297933466e-13,6.62040264862825e-11,0.983271933850396
Txlng,0.4416,0.000334261363149617,0.680054883383757,0.471221214309012,TRUE,FALSE,ASPEN_only,-0.115242516699644,0.904636730851178,6.79948220815896e-05,0.00625179788783054,0.904636730851178
Uba1,0.3168,1.3674317072e-06,2.86762103866446e-16,0.31982037400823,TRUE,TRUE,Overlap,-0.754597412193247,1.10396795869956,1.19547931248631e-10,3.64729870245823e-08,1.10396795869956
Ubap1,0.5518,1,2.65311471063999e-07,0.584537038745154,FALSE,TRUE,GLM_only,0.341426679425169,-1.40255613621069,3.70955554060241e-17,2.07487806571028e-14,1.40255613621069
Wdr13,0.3572,0.105126166471611,0.020110226904175,0.384243171718657,FALSE,TRUE,GLM_only,-0.471576514464604,1.13444515458054,0.000295719842535635,0.021115655139353,1.13444515458054
Zfp568,0.6771,1.53261971817983e-11,3.33010641654261e-09,0.697785559527548,TRUE,TRUE,Overlap,0.836775001067415,1.37798268137038,9.86646566326115e-08,1.94775639799438e-05,1.37798268137038
