gene,Category,glm_ar,aspen_ar
Cdh13,GLM_only,0.5316992129037267,0.521
Cdh19,Overlap,0.913217032198608,0.9353
Cdh20,GLM_only,0.38300243580938537,0.3347
Cdh4,Overlap,0.7101196351867357,0.7093
Cdh8,Overlap,0.0603156352617413,0.053900000000000003
Cdk12,GLM_only,0.5851990211274926,0.5873
Cdk14,Overlap,0.34003885370298775,0.4165
Cdk19,Overlap,0.3405566858521703,0.3745
Cdk5rap1,Overlap,0.6311695012126265,0.5901
Cds1,Overlap,0.24678665344282108,0.2532
Celf2,Overlap,0.5993420579398139,0.596
Cenpa,Overlap,0.6700423671928064,0.6772
Cep43,Overlap,0.2994786307548399,0.3015
Cfap20dc,Overlap,0.3319151406317666,0.3683
Cfap58,Overlap,0.03041073661160998,0.0421
Cfap96,Overlap,0.823005192463674,0.8466
Chmp4c,Overlap,0.31633289626462047,0.3323
Chp1,Overlap,0.6054004974746948,0.6093
Cilk1,Overlap,0.35671013444974087,0.3822
Cirbil,Overlap,0.3750245224864987,0.3642
Cisd2,Overlap,0.7490242003460897,0.7861
Cish,Overlap,0.40416179493690074,0.4066
Ckmt2,Overlap,0.4731067897743643,0.4719
Clic4,Overlap,0.2699820902265181,0.2594
Clip1,Overlap,0.5620705264573227,0.5498
Cluh,Overlap,0.30715066772698446,0.337
Clvs1,Overlap,0.018466004140423348,0.0282
Cmya5,Overlap,0.6015335871631319,0.5933
Cntn5,Overlap,0.8653352207338124,0.8294
Cobll1,Overlap,0.6576609909412094,0.6543
Col4a1,Overlap,0.6281712398674946,0.6742
Col4a2,Overlap,0.6367003863002844,0.6742
Comt,Overlap,0.5870591561589712,0.5911
Coq10b,Overlap,0.4257411175249374,0.406
Coq2,Overlap,0.6469706879934479,0.6333
Coq5,Overlap,0.6191759560983515,0.6237
Corin,Overlap,0.5731300856279747,0.5759
Coro6,Overlap,0.5705765172165057,0.5781
Cp,Overlap,0.6615089400617351,0.6425
Cpeb3,Overlap,0.5536417023264719,0.5503
Cped1,Overlap,0.4099769892773764,0.3891
Cpne4,Overlap,0.820887263584328,0.8522
Cpq,Overlap,0.5705714948477096,0.5615
Cradd,Overlap,0.2753914438955916,0.2561
Ctnnal1,Overlap,0.7130772203023666,0.6869
Ctnnd2,GLM_only,0.7861911820420067,0.5854
Cubn,Overlap,0.9462175649712761,0.9098
Cuedc1,Overlap,0.7455506484200608,0.738
Cul5,Overlap,0.3931699484040893,0.3906
Cyb5a,Overlap,0.20226355405532032,0.2027
Cyfip2,Overlap,0.9633238953445755,0.9788
Cyld,Overlap,0.4151266837884409,0.4341
D16Ertd472e,Overlap,0.2770511784799353,0.1881
D630024D03Rik,Overlap,0.8133501125465946,0.8002
D630045J12Rik,Overlap,0.27389987303431507,0.2394
D7Ertd443e,Overlap,0.3486262177880408,0.3462
D830005E20Rik,Overlap,0.4158962600300504,0.4155
D830032E09Rik,Overlap,0.9496948926577872,0.9511
Dapk1,Overlap,0.5754890511455316,0.599
Dapk2,Overlap,0.7840276608229222,0.8393
Dapp1,Overlap,0.7334853153974863,0.7647
Dclre1a,Overlap,0.2826842587107402,0.2908
Dcp1b,Overlap,0.6433228234542762,0.6492
Dct,GLM_only,0.6848343201046643,0.721
Dctn4,Overlap,0.6339410868186107,0.6343
Ddit4,Overlap,0.8162145805831392,0.7225
Ddo,Overlap,0.6967922722548625,0.6802
Ddx39b,Overlap,0.3391267690271528,0.3644
Dennd1b,Overlap,0.4273208952009238,0.4294
Depp1,Overlap,0.20016931437314073,0.1931
Deptor,Overlap,0.20899418639022804,0.1758
Des,GLM_only,0.5817170515031478,0.5836
Dffb,Overlap,0.7161365476102521,0.7091
Dgkg,Overlap,0.7187335228821028,0.7159
Dhrs11,Overlap,0.42621676625211613,0.4376
Dhrs7,Overlap,0.18216821935286012,0.2035
Dip2c,Overlap,0.6103841436416383,0.6092
Dixdc1,Overlap,0.9186898373132681,0.9118
Dmac2,Overlap,0.7173014787828172,0.7216
Dnaaf9,Overlap,0.5654661351229401,0.5579
Dnah7b,Overlap,0.8029155038789149,0.8649
Dnajc12,GLM_only,0.3637255376238854,0.3622
Dock3,Overlap,0.06476315964844413,0.051
Dsg2,Overlap,0.751945630508872,0.73
Dsp,Overlap,0.5554157083799887,0.5479
Dst,Overlap,0.5423358932974881,0.5289
Dtna,Overlap,0.45429939102889705,0.453
Dtnb,Overlap,0.33120591272924765,0.3378
Dusp10,Overlap,0.3056861394393208,0.278
Dysf,Overlap,0.38980005422040903,0.3779
E330011O21Rik,Overlap,0.8248202163014994,0.7789
Echdc3,GLM_only,0.6756183071457379,0.6719
Efna5,Overlap,0.29951942088163847,0.2955
Egf,Overlap,0.848150063939336,0.838
Ehd4,Overlap,0.452611747731999,0.4505
Eif4g3,Overlap,0.36995080083573545,0.3645
