gene,bb_mu,padj_mean,padj_intercept,glm_mu,asp_sig,glm_sig,group,beta0,beta_sex,p_sex,abs_beta
Art3,0.531,1,0.0234413387999183,0.550648111574335,FALSE,TRUE,GLM_only,0.203289672489438,0.268618019760609,0.0496930109383848,0.268618019760609
Atp11c,0.4549,0.057089516659153,0.961853803755862,0.490252191809186,TRUE,FALSE,ASPEN_only,-0.0389961738071047,1.25283929371553,0.000101092030957355,1.25283929371553
Atp2a2,0.526,9.96272153226194e-23,5.3397520782381e-07,0.528060480753495,TRUE,TRUE,Overlap,0.112359983842211,-0.0943156282144638,0.0190064016712026,0.0943156282144638
Atrx,0.39,4.56288324102969e-08,0.00654866949191955,0.402038912491875,TRUE,TRUE,Overlap,-0.39697679959883,1.04706670641993,7.80839040220052e-06,1.04706670641993
Avil,0.965,3.74185116808609e-18,8.12811616614474e-05,0.962658778670621,TRUE,TRUE,Overlap,3.24960117149165,-3.53534472383491,0.0111687170825135,3.53534472383491
BC065397,0.3286,2.73320436545216e-09,0.0237367827782737,0.332941999404722,TRUE,TRUE,Overlap,-0.694908700701002,1.31299982131956,0.00507727233135295,1.31299982131956
Bcap31,0.3339,0.16319571817006,8.99855998197995e-05,0.324869747265385,FALSE,TRUE,GLM_only,-0.731481314919093,0.981681726473694,0.00209241234658146,0.981681726473694
Bclaf3,0.3726,0.198224809026226,0.015889246838016,0.368286041581279,FALSE,TRUE,GLM_only,-0.53957677111143,0.946570079746276,0.00622401354449219,0.946570079746276
Bcor,0.4242,0.0785136339865207,0.590979091137487,0.424579115637328,TRUE,FALSE,ASPEN_only,-0.304003383750626,1.38041534955719,0.00711198443799823,1.38041534955719
Best3,0.9645,1.3110513483207e-79,1.86144779844148e-24,0.977032836946608,TRUE,TRUE,Overlap,3.75045475898087,-1.49400050104058,0.02664952966835,1.49400050104058
C030013E06Rik,0.6023,0.0559520154833593,0.0221512745322614,0.698394495877472,TRUE,TRUE,Overlap,0.839664237737926,-1.1492954036039,0.039750783522232,1.1492954036039
Cab39l,0.3885,0.00114341689637349,0.740922019195488,0.451488920441499,TRUE,FALSE,ASPEN_only,-0.194656646140324,0.975302500457888,0.0258983662347609,0.975302500457888
Cacna2d1,0.7459,0,9.71613723482898e-142,0.736220616949569,TRUE,TRUE,Overlap,1.02641674158686,-0.382228374020184,6.87807815925791e-07,0.382228374020184
Cage1,0.3547,0.00210753047738755,0.031738006858123,0.294726252860755,TRUE,TRUE,Overlap,-0.872539052142752,1.32019255654904,0.0296409396331572,1.32019255654904
Ccdc141,0.5597,4.79866531530681e-07,3.73603500954688e-07,0.559329151225601,TRUE,TRUE,Overlap,0.238439899271057,0.181888686553676,0.0309338872177157,0.181888686553676
Cd59b,0.3581,0.080841738486645,0.113215494988757,0.405056838254966,TRUE,FALSE,ASPEN_only,-0.384438475873854,1.15993985154224,0.000577053548674281,1.15993985154224
Cdh13,0.521,0.151787186730426,0.0125817158211583,0.531699212903727,FALSE,TRUE,GLM_only,0.126967143229824,0.180755034315597,0.023249898052635,0.180755034315597
Cdk19,0.3745,1.276695565239e-25,4.83440621966902e-11,0.34055668585217,TRUE,TRUE,Overlap,-0.660814425685454,-0.375206343881015,0.0426802459204027,0.375206343881015
Cdkl5,0.4181,0.00315683735751398,0.48164987885092,0.409248347566838,TRUE,FALSE,ASPEN_only,-0.367073534709291,1.2569435215919,0.0168573971391268,1.2569435215919
Celf2,0.596,4.95317301873891e-65,5.33026724796324e-37,0.599342057939814,TRUE,TRUE,Overlap,0.402724432477154,0.320144369707975,1.61524682473587e-07,0.320144369707975
Clcn5,0.3425,0.0638817446253662,0.00612638137686103,0.318441604095384,TRUE,TRUE,Overlap,-0.760942823216949,1.78205429596448,7.31301382704623e-05,1.78205429596448
Clvs1,0.0282,1.71860079135804e-42,5.5323563232308e-262,0.0184660041404233,TRUE,TRUE,Overlap,-3.97318522218489,1.11350819349509,1.07735046048832e-51,1.11350819349509
Cmya5,0.5933,6.25158830808108e-19,1.09582388759832e-13,0.601533587163132,TRUE,TRUE,Overlap,0.411859162158046,0.212279462345631,0.040492752223449,0.212279462345631
Col4a5,0.4114,2.04508660876409e-09,0.00109685760446412,0.421662827156002,TRUE,TRUE,Overlap,-0.315951035720987,1.49533725846885,5.14326768553175e-20,1.49533725846885
Coq10b,0.406,2.50378098964883e-16,0.00027531422749546,0.425741117524937,TRUE,TRUE,Overlap,-0.299248853206782,-0.406865687708915,0.00370530668302822,0.406865687708915
Corin,0.5759,7.26023376496927e-58,3.21077116587463e-17,0.573130085627975,TRUE,TRUE,Overlap,0.294633399846376,-0.149629509305074,0.02333121886626,0.149629509305074
Cox7b,0.4763,0.00732797061539353,0.955568780149386,0.504577806575162,TRUE,FALSE,ASPEN_only,0.0183117379741016,0.476704626060702,0.000812406716865335,0.476704626060702
Ctnnd2,0.5854,0.102144564411205,1.68091484044688e-09,0.786191182042007,FALSE,TRUE,GLM_only,1.30211775530534,-1.15215778251826,0.000622898683669719,1.15215778251826
Ddx3x,0.3725,9.17245190428742e-06,3.47327869621645e-07,0.375245789386265,TRUE,TRUE,Overlap,-0.509777059742323,0.815128140457183,5.21709602796305e-06,0.815128140457183
Deptor,0.1758,4.23600015697685e-11,0.00112691625881767,0.208994186390228,TRUE,TRUE,Overlap,-1.33099888217371,-1.49805466184337,0.0268740543013118,1.49805466184337
Diaph2,0.4425,0.000933225262562177,0.321316093232752,0.447519093123704,TRUE,FALSE,ASPEN_only,-0.210699672101862,1.04992808993692,1.58964759004023e-05,1.04992808993692
Dmd,0.4158,1.47064157007425e-39,0.000282171873355388,0.456984341260291,TRUE,TRUE,Overlap,-0.172489030869673,1.03320305219283,2.16150865305899e-36,1.03320305219283
Dnase1l1,0.2355,0.00589258736161673,0.00156162616624941,0.269528998611717,TRUE,TRUE,Overlap,-0.997013547378721,1.32138947961013,0.0100497674254224,1.32138947961013
E330011O21Rik,0.7789,0.0485376552579764,6.36966666089135e-12,0.824820216301499,TRUE,TRUE,Overlap,1.54935266095657,1.19671903736185,0.000706620309064058,1.19671903736185
Echdc3,0.6719,0.376084711247946,0.020921669351824,0.675618307145738,FALSE,TRUE,GLM_only,0.733707395393119,1.01344705124095,0.0360369472442133,1.01344705124095
Eif1ax,0.2439,2.99626843629639e-06,4.77911839338518e-10,0.224017028858963,TRUE,TRUE,Overlap,-1.24240850487922,0.766047897598651,0.0284688065196313,0.766047897598651
Ell2,0.4665,2.32160905703817e-05,5.39051339138486e-06,0.426726305308459,TRUE,TRUE,Overlap,-0.295220418297785,0.459360012751224,6.34547288726532e-05,0.459360012751224
Enah,0.5744,5.26837965801198e-13,0.000107368965271693,0.553210321494391,TRUE,TRUE,Overlap,0.21365029141477,-0.230266805029144,0.0156493290647861,0.230266805029144
Enox2,0.4023,2.06320912524244e-07,0.0143977503887183,0.423346119529955,TRUE,TRUE,Overlap,-0.309052132040128,0.857315376197959,1.34896067771976e-05,0.857315376197959
Exd1,0.6393,0.118239427394029,0.0777560260020118,0.595512574594711,FALSE,TRUE,GLM_only,0.386801855345852,1.30238725154623,4.79286319747182e-05,1.30238725154623
Fam241a,0.3042,0.00393029091505367,0.0272442258418718,0.321355821377361,TRUE,TRUE,Overlap,-0.747547965795303,1.34646976988882,0.00827075047727247,1.34646976988882
Fgf13,0.4226,2.86826719199131e-21,0.88583311574981,0.505078475628976,TRUE,FALSE,ASPEN_only,0.0203146011113158,1.10090690359454,6.87663909898599e-41,1.10090690359454
Fggy,0.3995,0.03310743458758,0.35412268947731,0.416021372495039,TRUE,FALSE,ASPEN_only,-0.339127750288921,-0.812766269819769,0.0462734005960204,0.812766269819769
Fhl1,0.5348,0.0335085912642779,0.978059941919522,0.504134390832828,TRUE,FALSE,ASPEN_only,0.016537940253004,1.39354126710099,1.53448423715354e-08,1.39354126710099
Fmr1,0.4252,0.0389658709037611,0.79482513502409,0.457858332011357,TRUE,FALSE,ASPEN_only,-0.168967529825903,1.32857700823084,0.00326510169130984,1.32857700823084
Fyn,0.8157,8.68723428940041e-21,1.65820562424288e-05,0.769902941153036,TRUE,TRUE,Overlap,1.20776324155695,1.13661864729674,0.0203806601101375,1.13661864729674
Ghr,0.5261,0.646442181510358,0.0574299386087209,0.52599601455379,FALSE,TRUE,GLM_only,0.104077906040975,0.155627210399766,0.0495216209240844,0.155627210399766
Gja1,0.5912,3.94690116296549e-08,1.53202445379584e-05,0.627627284105341,TRUE,TRUE,Overlap,0.522051216501938,0.527847411724223,0.0126763969142203,0.527847411724223
Gk,0.3685,6.52262203619132e-16,1.1523278045263e-06,0.379011100558408,TRUE,TRUE,Overlap,-0.493747712752545,1.24285330881442,8.7017358798774e-12,1.24285330881442
Glis1,0.3956,1,0.0132795361639892,0.428477657829081,FALSE,TRUE,GLM_only,-0.288064980126825,1.02172443748529,1.85327935551044e-07,1.02172443748529
Gm11884,0.0417,5.38741066834262e-06,1.73998229733694e-22,0.0368041897314045,TRUE,TRUE,Overlap,-3.26464503464973,-1.62475332812757,1.43440753438519e-11,1.62475332812757
Gm12295,0.793,1.97921991931073e-181,1.98806586752898e-81,0.806425431164138,TRUE,TRUE,Overlap,1.42694862658652,0.367527807446938,0.00941749984319125,0.367527807446938
Gm14634,0.3583,0.0563601156892076,0.000517324825359146,0.40414521392794,TRUE,TRUE,Overlap,-0.388222736054757,0.885239270825153,3.41032513520133e-06,0.885239270825153
Gm14636,0.3301,0.0478143068079178,0.110580637482945,0.368755171593224,TRUE,FALSE,ASPEN_only,-0.537560855717806,0.905350030385821,0.0480803074327908,0.905350030385821
Gm14902,0.6705,1,0.00450234797833801,0.715186126571608,FALSE,TRUE,GLM_only,0.92070693446884,2.24937394436959,2.3204443090137e-05,2.24937394436959
Gm24474,0.9419,5.00642524993868e-253,3.59784061061741e-110,0.946780370244817,TRUE,TRUE,Overlap,2.87863983603646,-0.725101784390299,0.00182082934521439,0.725101784390299
Gm26779,0.1036,0.000368184345614758,1.40795712272087e-47,0.0955247080299929,TRUE,TRUE,Overlap,-2.24797005082864,0.997199694244912,2.792431726626e-09,0.997199694244912
Gm32828,0.0814,6.22987820700235e-05,5.00165124758443e-06,0.0488966590993169,TRUE,TRUE,Overlap,-2.96791364908296,-2.18625950046779,0.0318397649626071,2.18625950046779
Gm40999,0.3019,0.0798594970419569,1.44113878687361e-07,0.334733838412807,TRUE,TRUE,Overlap,-0.686851499735862,0.595700587056235,0.00548479523151698,0.595700587056235
Gm42413,0.3983,0.762382210264848,0.0500219956534486,0.315231715547807,FALSE,TRUE,GLM_only,-0.775772536848394,-2.33682577496221,8.06967775962813e-05,2.33682577496221
Gm47200,0.0789,1.9013841392402e-10,1.34112895387277e-42,0.0272824052027779,TRUE,TRUE,Overlap,-3.57385180198224,-1.67366988127708,5.85708656691775e-13,1.67366988127708
Gm47603,0.377,0.0982112046954368,2.1099108505353e-05,0.32909997775092,TRUE,TRUE,Overlap,-0.712258539388421,0.881516919081156,0.00181953122468521,0.881516919081156
Gm57127,0.8642,2.63207301623307e-06,6.1937590298836e-10,0.860129228220832,TRUE,TRUE,Overlap,1.81636370572387,-0.995695967373933,0.0463045732734951,0.995695967373933
Gpcpd1,0.5015,1,0.0719124988936589,0.520117521888918,FALSE,TRUE,GLM_only,0.0805135530172142,0.32458484408922,3.42228746090945e-07,0.32458484408922
Grb10,0.8158,2.66844830653594e-100,7.51609600000457e-15,0.709562626711218,TRUE,TRUE,Overlap,0.893260790933233,-0.833552108611309,0.000103415220141866,0.833552108611309
Gripap1,0.4544,0.351523075662712,0.0850623961948208,0.433850322678359,FALSE,TRUE,GLM_only,-0.266158894813022,0.550200858420709,0.0110975837314055,0.550200858420709
Grm1,0.9908,0,0,0.990063009994108,TRUE,TRUE,Overlap,4.60150442906022,-0.582217180545382,5.72151562198814e-10,0.582217180545382
Homer1,0.4512,8.41499943673301e-13,0.00386555282035935,0.459731918577778,TRUE,TRUE,Overlap,-0.161421929550363,0.209210415789765,0.0210721346429504,0.209210415789765
Htra1,0.3431,0.0180489633203475,0.144668660657953,0.337468848142228,TRUE,FALSE,ASPEN_only,-0.674594374175296,-1.23140091980263,0.0441144279310985,1.23140091980263
Huwe1,0.4472,0.000138168402715021,0.284968822780832,0.463611143316152,TRUE,FALSE,ASPEN_only,-0.145813229260573,1.20189834141178,9.7395643219959e-14,1.20189834141178
Ikbkg,0.3797,0.0190642272219813,0.0113213489702791,0.354131118948559,TRUE,TRUE,Overlap,-0.600929275607241,0.784915377174967,0.033605751204963,0.784915377174967
Ints6l,0.2945,0.00242124663461589,0.0382679246751224,0.323405584617703,TRUE,TRUE,Overlap,-0.738164786922819,2.05429650938698,0.000138503448719171,2.05429650938698
Itga1,0.2022,2.72742869654931e-27,5.41679035219464e-06,0.250285107648784,TRUE,TRUE,Overlap,-1.09709229206538,-1.16173426373117,0.00629093412407471,1.16173426373117
Itgb1bp2,0.6256,1.3694449521047e-10,1.49250570726748e-06,0.685483820323791,TRUE,TRUE,Overlap,0.779089375458302,1.30007185702249,6.61748130937508e-06,1.30007185702249
Itgb3bp,0.6251,0.038571432173423,0.0523138477555434,0.653014132667643,TRUE,TRUE,Overlap,0.632314720749943,-1.3708344478965,0.00395709320361105,1.3708344478965
Itpr2,0.2032,1.66882622937385e-308,1.236962338357e-93,0.203493120785304,TRUE,TRUE,Overlap,-1.36460356630075,-0.358252057493799,0.00463630731554453,0.358252057493799
Kantr,0.3287,0.00487001998775445,0.167720538807069,0.392673062341476,TRUE,FALSE,ASPEN_only,-0.436089895140077,1.05913449166052,0.00999665560913888,1.05913449166052
Kcnip4,0.2333,2.57517223069535e-61,4.93060053871945e-25,0.277393473663271,TRUE,TRUE,Overlap,-0.957427869619412,1.00471198523439,8.48548866672844e-09,1.00471198523439
Kcnj3,0.5605,1.77123766531529e-19,5.48217440279517e-06,0.555836156199468,TRUE,TRUE,Overlap,0.224280055797752,-0.185469682531111,0.0336914572850677,0.185469682531111
Kcnq1ot1,0.2895,1.61110830000163e-48,4.49759270716814e-05,0.382061552861787,TRUE,TRUE,Overlap,-0.480807123625228,0.687327558979856,0.000800199398676776,0.687327558979856
Kif1b,0.3934,8.64192637145577e-56,3.03300165880762e-22,0.398499581441343,TRUE,TRUE,Overlap,-0.411720783378291,-0.200445428804866,0.0131513446696537,0.200445428804866
Klhl40,0.4664,0.651921684957419,8.27178639651256e-05,0.359943573826035,FALSE,TRUE,GLM_only,-0.575609058571023,1.04227755318897,3.18591883914363e-05,1.04227755318897
Lama2,0.3201,0,7.03780726542041e-95,0.333977841383018,TRUE,TRUE,Overlap,-0.690248293572307,0.185621654357962,0.00395715537345483,0.185621654357962
Lamp2,0.4365,0.0681997811242698,0.782196568705875,0.462751865926272,TRUE,FALSE,ASPEN_only,-0.14926907870939,0.859423296411576,0.0248196110941105,0.859423296411576
Lancl3,0.2771,0.00968378576176765,0.0115356667163912,0.339709158640977,TRUE,TRUE,Overlap,-0.664590570908784,1.22727975670794,0.00292757036747352,1.22727975670794
Las1l,0.3774,0.00588664052972462,0.387264930418038,0.411658772474459,TRUE,FALSE,ASPEN_only,-0.357112314465007,1.20906576511513,0.00732861465357313,1.20906576511513
Lpin1,0.5368,0.0701834754072861,0.00385444745446774,0.543845394280085,TRUE,TRUE,Overlap,0.17583320508985,-0.330607918387594,0.000819626120521851,0.330607918387594
Lpl,0.4322,9.75425491729599e-21,1.02767363793213e-08,0.437027704654976,TRUE,TRUE,Overlap,-0.253233827484375,-0.180313187311475,0.0253158185410745,0.180313187311475
Lrrc2,0.5798,5.1833266469495e-29,3.22790344165091e-15,0.595472700653557,TRUE,TRUE,Overlap,0.386636321678485,0.20900843267568,0.0234010282062921,0.20900843267568
Lsmem1,0.7772,7.14454132847342e-10,3.71067722516687e-05,0.791247753639795,TRUE,TRUE,Overlap,1.33246300977248,1.63386623485873,0.00353862863526519,1.63386623485873
Lyrm9,0.2693,2.19511019514097e-06,0.00224034826378033,0.23274518148452,TRUE,TRUE,Overlap,-1.19287476031597,1.49045759818512,0.0182353276197938,1.49045759818512
Magi1,0.265,1.48361273898219e-243,7.81854017205864e-88,0.269936868254906,TRUE,TRUE,Overlap,-0.9949429018659,-0.477684001061946,6.48049483580491e-07,0.477684001061946
Malt1,0.2085,2.08604269874018e-141,8.30597764507182e-50,0.213864691996683,TRUE,TRUE,Overlap,-1.30178539054145,-0.546611553307541,0.00102986553340953,0.546611553307541
Man1a,0.3568,4.78569097013484e-92,1.01970986162065e-40,0.3666717511329,TRUE,TRUE,Overlap,-0.546521811601317,-0.15534575703671,0.0478029446414138,0.15534575703671
Man2a1,0.7222,7.02376507924683e-65,9.56104414369203e-31,0.728848807241458,TRUE,TRUE,Overlap,0.988789740859213,0.543201884047844,0.000867505303972806,0.543201884047844
Mapkapk2,0.4327,7.6351189568177e-10,0.00532363021881299,0.439487516734622,TRUE,TRUE,Overlap,-0.243242200536457,-0.360701954393102,0.0102524592681385,0.360701954393102
Mecp2,0.4128,3.42380923697516e-06,0.0552373816064084,0.432618744769287,TRUE,TRUE,Overlap,-0.271174642508584,0.911178844890923,9.53355780782069e-06,0.911178844890923
Med14,0.4186,0.000185835788128523,0.176578665158185,0.426670255096613,TRUE,FALSE,ASPEN_only,-0.295449543637488,0.604871347028399,0.0316869583776111,0.604871347028399
Mfap3l,0.4911,1,0.00814389184312507,0.574619962445443,FALSE,TRUE,GLM_only,0.300725912034995,-0.53265860532553,0.00297051675027994,0.53265860532553
Mid1,0.3119,4.34515129737846e-40,2.55564197621469e-24,0.297591024967038,TRUE,TRUE,Overlap,-0.858795675442486,0.653832294729299,4.21556781175711e-05,0.653832294729299
Mir99ahg,0.454,2.9079272974166e-21,5.66441441336364e-09,0.453592034211504,TRUE,TRUE,Overlap,-0.186167695828959,0.125000361618645,0.0321924285781255,0.125000361618645
Mlip,0.4859,0.00136515083102141,0.206885526587811,0.486542840178606,TRUE,FALSE,ASPEN_only,-0.0538416424116115,0.129953404078699,0.01516466145843,0.129953404078699
Mpp7,0.4484,4.80420460333332e-06,0.98548428060114,0.502341440328721,TRUE,FALSE,ASPEN_only,0.00936582977753506,0.695363679545706,0.000163616134552257,0.695363679545706
Mtch1,0.4757,1,4.8947246001053e-12,0.60491730003325,FALSE,TRUE,GLM_only,0.425996644536086,-1.8637497681412,1.17679497438397e-40,1.8637497681412
Mtmr1,0.3757,3.51363357935657e-05,0.103119624974601,0.372173085668874,TRUE,FALSE,ASPEN_only,-0.522905484239038,0.889247906017257,0.0437145824946888,0.889247906017257
Mtor,0.9911,7.25170216249011e-73,0,0.996318856243125,TRUE,TRUE,Overlap,5.60084383575207,-3.59564949739897,0,3.59564949739897
Myot,0.7074,2.42416977754392e-73,2.85802797108438e-37,0.715399732961134,TRUE,TRUE,Overlap,0.921755829602047,-0.440166933441346,0.00134998482730788,0.440166933441346
Myoz2,0.4477,5.88735348177113e-16,5.18684585819183e-08,0.441696092461198,TRUE,TRUE,Overlap,-0.23428137931328,-0.232722637857326,0.00284221108649991,0.232722637857326
Myzap,0.3608,4.5540216307637e-171,1.25153019483268e-66,0.361255250103743,TRUE,TRUE,Overlap,-0.569920149663451,0.172548109000623,0.00679668645962224,0.172548109000623
Nav2,0.5727,7.9730511257115e-06,0.00042945586051566,0.571072234362807,TRUE,TRUE,Overlap,0.286227180385908,-0.295966732881631,0.0317092075173929,0.295966732881631
Nek10,0.0291,5.85287915141047e-15,2.08142928374972e-58,0.0166803737972409,TRUE,TRUE,Overlap,-4.07670141452775,-0.479283099792153,0.0253776229023013,0.479283099792153
Nfe2l2,0.5562,0.292363500389171,0.000375704106733324,0.604346274136869,FALSE,TRUE,GLM_only,0.423607936132063,0.483478129808696,0.0167371854089182,0.483478129808696
Noct,0.6713,1.31389638058592e-16,6.32641967676958e-10,0.6641535939879,TRUE,TRUE,Overlap,0.681859508488043,0.448437332458254,0.026254441467735,0.448437332458254
Nt5e,0.8519,1.90287341579274e-76,1.32717948315532e-30,0.86200139365962,TRUE,TRUE,Overlap,1.83201330131343,1.06247296346805,0.000377311835591337,1.06247296346805
Nudt4,0.3394,1.56363571678663e-50,1.41647235731917e-21,0.319317491792876,TRUE,TRUE,Overlap,-0.756910103443526,0.294065315773034,0.0497533130589039,0.294065315773034
Ogt,0.4337,3.69169583455243e-05,0.454251703369066,0.459001570893941,TRUE,FALSE,ASPEN_only,-0.164362742675033,1.080267472953,2.13832065739659e-06,1.080267472953
Pak5,0.9777,6.17321907630186e-16,4.1411377022632e-36,0.988188308609253,TRUE,TRUE,Overlap,4.42678343856173,2.08138217019264,1.4760501130325e-05,2.08138217019264
Pdlim3,0.1879,1.64070672347111e-164,1.30077924406282e-64,0.198288951459928,TRUE,TRUE,Overlap,-1.39702293665886,-0.352190639539282,0.0229931981554221,0.352190639539282
Pdlim5,0.5422,4.28307011026094e-41,2.52294492670473e-19,0.544187200038396,TRUE,TRUE,Overlap,0.177211106553299,-0.115506778600656,0.00204179026775566,0.115506778600656
Pdzd2,0.4635,0.407847447598416,0.0972643447876963,0.446766428880364,FALSE,TRUE,GLM_only,-0.213744355692467,-0.502987415439079,0.00472349818985569,0.502987415439079
Pdzrn3,0.4493,1.91121813424543e-07,1.99380437073285e-05,0.449706106375781,TRUE,TRUE,Overlap,-0.201858215094388,-0.531410414867824,1.65581808062682e-10,0.531410414867824
Pfkfb1,0.4142,7.38292610130064e-07,0.605211697835796,0.459901222098647,TRUE,FALSE,ASPEN_only,-0.160740313013453,0.915939299609482,0.000947004340916818,0.915939299609482
Phactr3,0.163,0.022695549516084,7.62136747181116e-36,0.15795898025551,TRUE,TRUE,Overlap,-1.6734933494077,0.685882385515078,1.25725583963807e-07,0.685882385515078
Phka2,0.6632,4.38694284211743e-05,5.26433295476085e-20,0.724170556708644,TRUE,TRUE,Overlap,0.965244224594128,1.08434499227923,1.53154782594948e-08,1.08434499227923
Picalm,0.717,2.94402396128604e-58,3.92472137382817e-29,0.754527869420919,TRUE,TRUE,Overlap,1.12290879540024,0.723998178204064,0.000143301262741666,0.723998178204064
Pls3,0.4325,0.0119383655716842,0.355070953108622,0.447595731110978,TRUE,FALSE,ASPEN_only,-0.210389710293241,1.2957519687763,3.76214562994428e-07,1.2957519687763
Plxdc2,0.2691,1.46271278451507e-26,1.21571334470542e-06,0.267920682044351,TRUE,TRUE,Overlap,-1.0051978917697,-1.07196405115179,0.00358317391080238,1.07196405115179
Pou6f2,0.9115,0.00781643029258778,5.55278533982913e-28,0.930322873511033,TRUE,TRUE,Overlap,2.5916596086974,-2.56527075587246,9.93241219387302e-20,2.56527075587246
Ppa1,0.3847,0.00568601294556747,0.288753980767592,0.363318560106109,TRUE,FALSE,ASPEN_only,-0.560989410655162,1.29231474826416,0.0374176718558739,1.29231474826416
Ppargc1a,0.5535,3.09519738408319e-11,1.08606104999139e-09,0.561085407731309,TRUE,TRUE,Overlap,0.245568292373414,0.19863223778445,0.00721380174876209,0.19863223778445
Ppp1r14c,0.3408,4.51635062998364e-47,1.44563256337529e-10,0.345792027012354,TRUE,TRUE,Overlap,-0.637587786076653,0.374297305079386,0.0406155008752753,0.374297305079386
Ppp1r3a,0.6292,1.11557630976753e-25,4.26568138343974e-16,0.65581288393586,TRUE,TRUE,Overlap,0.644690058815901,0.324245746679276,0.0295578177139774,0.324245746679276
Prune2,0.7544,3.09175777130308e-241,6.12707269877142e-100,0.767188169162896,TRUE,TRUE,Overlap,1.19250156833817,0.275048692699645,0.0100012228390188,0.275048692699645
Ptprm,0.4414,2.38874956752394e-22,5.26745345986954e-13,0.44106330077997,TRUE,TRUE,Overlap,-0.236847823093193,-0.13316671570149,0.0297143514898283,0.13316671570149
Rai2,0.4467,0.0964580681479681,0.943429291166013,0.485741381890509,TRUE,FALSE,ASPEN_only,-0.0570499407534444,0.759736188726402,0.0416683391475756,0.759736188726402
