"","AR","N","log2FC","llr_mean","pval_mean"
"Frmd4b",0.508894136166863,121,0.0453239905094914,-0.0212529841335822,0.836658311586521
"Frmd5",0.65952380952381,28,1.1650592462705,-5.72941092181383,0.000711553975012458
"Frmd6",0.476380952380952,50,0.0269670476002688,0.24185912797607,1
"Frs2",0.54040404040404,33,0.206450877467427,-0.310299607865346,0.430824700809037
"Fry",0.489080648752366,211,-0.0791921674169886,-0.165219050307257,0.565401232371437
"Fryl",0.518629343629344,74,0.287576590096586,-0.40386335426922,0.368793204647557
"Fsd1l",0.446611721611722,65,-0.326650505129767,-1.46488853924842,0.0869594991009378
"Fsd2",0.35077519379845,43,-0.876851769227133,-5.36651548972758,0.00105239924854875
"Fstl1",0.46583850931677,23,-0.0450878895285363,0.465212275519733,1
"Fstl4",0.555357142857143,28,0.23029761942179,0.809286386605109,1
"Fto",0.535692063492063,125,0.0471125958381187,0.0486731717699342,1
"Fubp1",0.538659147869674,76,0.344264424865462,-1.09402313232499,0.139085639071432
"Fus",0.534825870646766,67,0.137503523749935,0.0334649552754342,1
"Fut8",0.519607843137255,51,0.015106892390208,-0.0134295531979944,0.869819722637477
"Fxr1",0.490151515151515,66,0.16729474539764,0.791538937316204,1
"Fxyd1",0.387719298245614,19,-0.373458395527447,-0.12440763505036,0.617910520263109
"Fxyd5",0.5,11,-0.271302021817392,-0.00724177757376765,0.90420776477493
"Fyb1",0.416666666666667,10,-8.88178419700125e-16,0.124598610214889,1
"Fyco1",0.489583333333333,40,0.019628806748933,0.0791077558099289,1
"Fyn",0.609345669080182,113,0.558873271852494,-5.89604262604365,0.000594830698622656
"Fyttd1",0.5,25,0.0809199953835695,0.00433442328993294,1
"Fzd4",0.516666666666667,10,0.402098443571345,-0.344362681731582,0.40659827048761
"Fzd6",0.626600985221675,29,0.622930350920177,-2.568744351265,0.0234144948316965
"G3bp1",0.533333333333333,25,0.393663848486277,-0.732779124324438,0.226047811696113
"Gab1",0.542513463718821,112,0.180992305345149,-0.407995168258765,0.366355111554968
"Gab2",0.502629978168183,194,-0.0497530351971001,0.0931610196688553,1
"Gabpb1",0.423076923076923,13,-0.144389909335175,0.305119677678874,1
"Gak",0.447222222222222,12,-0.378511623253731,0.20482567899387,1
"Galm",0.460648148148148,18,0.510194732319186,1.6738824679594,1
"Galnt1",0.465322580645161,62,-0.258734268400168,-0.710577076549242,0.233213528542034
"Galnt11",0.395833333333333,20,0.0951572330403399,0.781491079542583,1
"Galnt18",0.610019479312958,92,0.398549376490276,-2.55148644802989,0.0238848733096931
"Galnt2",0.333333333333333,25,-0.871266685877798,-3.35566953870753,0.00958017583982433
"Galnt7",0.482142857142857,14,0.491853096329677,1.15961936096862,1
"Gapvd1",0.545238095238095,35,0.109624491174498,0.320441891596971,1
"Garem1",0.522928571428571,50,0.118644496498619,0.622065015090371,1
"Garre1",0.508667502088555,114,-0.0195401863956446,0.06100478446848,1
"Gas6",0.544871794871795,39,0.333126301492227,-0.52659528125352,0.30477341433984
"Gas7",0.527450980392157,17,0.469485283301221,-0.30005723366731,0.438534354941252
"Gask1b",0.535714285714286,21,-0.200298650485831,0.860370572822553,1
"Gata6os",0.590277777777778,48,0.65382435886596,-3.45915214827882,0.00853178407007868
"Gatad2a",0.541666666666667,20,0.0285691521967717,0.135766743265762,1
"Gatad2b",0.492228212039533,53,0.165059246270497,0.212773052863255,1
"Gbe1",0.535714285714286,70,0.0951572330403399,0.641923395625781,1
"Gbf1",0.435323383084577,67,-0.296393002780224,-0.433004468404931,0.35206257839887
"Gcc2",0.616666666666667,10,-0.519374159093581,5.73139986535556,1
"Gclc",0.305194805194805,11,-0.490986352512141,-1.39513380786236,0.0948383880318959
"Gcnt1",0.212962962962963,18,-1.50250034052918,-1.51038648045691,0.0822042768241425
"Gcnt2",0.539393939393939,22,0.152003093445048,-0.0580485028755078,0.733306771451222
"Gda",0.397988505747126,58,-0.338168735894571,-1.42614574647702,0.0912437998237248
"Gdi2",0.559195402298851,29,0.121990524378611,1.12874570255197,1
"Gfm1",0.472222222222222,12,-0.0962153152593039,-0.0408066207097377,0.775122984275544
"Gfm2",0.689102564102564,26,1.20353339408513,-5.90161495922233,0.000591280512528565
"Gfod1",0.731067251461988,38,1.45663840374562,-8.66138556189478,3.15384856213978e-05
"Gfpt1",0.430555555555556,12,-0.182864057149808,-0.0788054130199995,0.691365764691935
"Ggnbp1",0.430555555555556,12,-0.968291140272664,-1.92789858540284,0.0495743634344523
"Ghr",0.557525396892447,184,0.372113852055579,-3.54073950853666,0.00778846999006175
"Gigyf2",0.498581560283688,47,0,0.016269848847557,1
"Gimap6",0.41,20,-0.122856747785534,2.23545079612496,1
"Git2",0.443010752688172,31,-0.169925001442311,0.240027764249461,1
"Gja1",0.461446886446886,35,0.0931094043914793,0.407583825530665,1
"Glb1",0.272727272727273,11,-0.493040011280116,1.02941808636732,1
"Glcci1",0.433333333333333,15,-0.428843298803877,-0.525351460261184,0.305345253498645
"Gli2",0.383333333333333,10,-1.20645087746743,-2.37575071283572,0.029272742669944
"Gli3",0.446428571428571,28,-0.464668267003443,-0.837772258722694,0.195517534842707
"Glis3",0.519765518432185,75,0.124090347724644,-0.014012885729727,0.867048248413654
"Glrx3",0.533333333333333,10,0.165059246270497,-0.0136467794960282,0.868780564724936
"Gls",0.451448192095674,139,-0.320749903690081,-1.69503135934099,0.0655904541591708
"Glt8d1",0.609375,16,0.514573172829757,-1.13206763892091,0.132400095939428
"Glud1",0.587380952380952,50,0.673499175322814,-3.96740807030712,0.00484925542050382
"Glul",0.515602836879433,47,0.328622747461371,-0.738531115846868,0.224234729668335
"Glyr1",0.449074074074074,18,0.335603031784439,1.10112186666193,1
"Gm10138",0.46875,16,-0.169925001442313,0.87801267295746,1
"Gm12002",0.666666666666667,12,0.695145418471583,-0.761954448667296,0.217028917588381
"Gm12092",0.343333333333333,25,-1.04306872189189,-4.35714390295394,0.00315725735431632
"Gm12216",0.168859649122807,38,-2.1030934929641,-19.2651346761603,5.39110358261614e-10
"Gm12295",0.77059748427673,53,1.75702324650746,-17.4867925810719,3.34208553653496e-09
"Gm12353",0.608527131782946,43,0.613817363393341,-2.72807737701622,0.0194995122852026
"Gm12940",0.630555555555556,30,0.399270183420528,0.934495297930283,1
"Gm13481",0.973692810457516,45,5.50462039240355,-136.379548426747,2.84175885907442e-61
"Gm13938",0.499152542372881,59,0.0906025487809061,0.0510976078131904,1
"Gm14221",0.283333333333333,10,-1.04439411935845,-2.51560453977659,0.0248945135000657
"Gm15581",0.427083333333333,16,-0.491853096329676,-0.873519134680386,0.186249496781427
"Gm15614",0.604166666666667,12,0.652076696579693,-1.29144520633223,0.108024244927422
"Gm15738",0.541666666666667,12,0.6463630453853,-0.950984351254043,0.167858124045159
"Gm16023",0.560185185185185,18,0.710493382805016,-1.69644431559622,0.0654781424837446
"Gm16386",0.4,15,-0.427421223734676,3.95905676817679,1
"Gm16599",0.487179487179487,13,-0.175086706558092,0.114067725607157,1
"Gm16685",0.795454545454545,11,1,0.522309380644991,1
"Gm17276",0.586363636363636,22,0.251538766995969,1.67524069315138,1
"Gm20559",0.446428571428571,14,0.285402218862247,1.44205282183074,1
"Gm20619",0.397368180988871,87,-0.545278799248672,-4.42531296495869,0.0029298839857384
"Gm20631",0.472222222222222,21,-0.649092838140873,-1.75670207391742,0.0608742558765359
"Gm20647",0.396666666666667,20,-0.48542682717024,-0.652821410871439,0.253185064090765
"Gm20732",0.587519452225335,102,0.563633991280645,-0.667898817056198,0.24777642569842
"Gm20757",0.791666666666667,14,1.8650704199139,-9.05123099434687,2.09330593074e-05
"Gm24474",0.938888888888889,30,4.02236781302845,-64.79442571447,5.04087221206977e-30
"Gm26532",0.475,10,-0.478047296804645,-0.39228488318188,0.37574717633077
"Gm26632",0.605555555555556,12,0.227410496103073,-0.139888894629941,0.596846898491961
"Gm26672",0.622222222222222,15,0.0324214776923761,1.94110670340926,1
"Gm26862",0.343789487539488,74,-0.933504588213098,-8.43910079596441,3.98566885218829e-05
"Gm29237",0.541666666666667,40,-0.122484006524997,0.580493028454271,1
"Gm30382",0.813080808080808,30,1.82851953205565,-8.73012716443235,2.93377482594897e-05
"Gm30866",0.33008658008658,11,-0.584962500721157,-1.11168806069857,0.135935514213422
"Gm31013",0.541666666666667,20,0.0406419844973458,0.252862548554234,1
"Gm32718",0.3,10,-0.765534746362979,-1.17399160869472,0.125445207597383
"Gm33989",0.538461538461539,13,-0.0951572330403412,0.146768012650725,1
"Gm35041",0.304332010582011,36,-0.900464326449087,-5.02033364951474,0.00153121724913847
"Gm35330",0.767606037714733,74,2.15714639672101,-35.5526323666062,3.38665171313628e-17
"Gm35546",0.731111111111111,15,1.79354912253257,-7.13745393712408,0.000157956543960901
"Gm3587",0.566666666666667,21,0.415037499278845,-0.486828803268509,0.323769673339975
"Gm36037",0.405263157894737,19,-0.32930762525296,0.49027982480488,1
