"","AR","N","log2FC","llr_mean","pval_mean"
"Gnb1",0.518560606060606,22,-2.22044604925031e-16,0.0881542427091873,1
"Golga4",0.536904761904762,14,0.502500340529183,-0.406721246428788,0.367104429995503
"Gpatch2",0.304347826086957,23,-1.09953567355091,-2.17060619227217,0.0372004247227922
"Gpatch8",0.519791666666667,16,0.256339753259786,0.625451895643842,1
"Gpbp1",0.611111111111111,12,0.283792966000591,0.979642170058309,1
"Gpcpd1",0.46166884041884,24,-0.185031893832521,-0.304589774669694,0.435096891632827
"Gphn",0.537013888888889,40,0.0395283641866377,-0.0787339676707433,0.69149850726409
"Grb10",0.699848484848485,20,1,-2.28538120820608,0.0325220883535002
"Grb14",0.4,14,-0.37851162325373,0.132941133021269,1
"Grik2",0.512925170068027,14,0.15200309344505,-0.0489486806991906,0.754367623509929
"Grk5",0.533333333333333,23,0.113210610447991,-0.0660737557724786,0.716215734660814
"Grm1",0.99163783160323,17,6.3037807481771,-100.087216356274,1.91322856629639e-45
"Gsta3",0.371212121212121,11,-0.584962500721156,0.716793460412063,1
"Gucy1a2",0.560648148148148,24,0.241008099503795,0.0909605249107628,1
"Gulp1",0.516954022988506,29,-0.146841388329271,0.331063949153858,1
"Gxylt2",0.242424242424242,11,-1.42884329880387,-2.94375071640935,0.0152487207693706
"Hace1",0.576923076923077,13,0.061400544664143,0.150357751644172,1
"Hand2os1",0.485897435897436,13,0.6463630453853,-0.366442385849261,0.391949716893401
"Hdac4",0.383333333333333,14,-0.777607578663552,-1.38541116180133,0.0959968332794104
"Hdac7",0.489583333333333,16,-0.111031312388744,-0.00108908092055771,0.962775617985806
"Hdac9",0.77433086626635,31,1.68805599368526,-16.8812874936707,6.22652530467962e-09
"Heatr5a",0.512222222222222,15,4.44089209850063e-16,0.000348980036847024,1
"Hectd1",0.499242424242424,22,0.166009951438929,0.00212884476130171,1
"Hecw2",0.41025641025641,26,-0.297680548640685,-0.459049493432197,0.337974611785472
"Heg1",0.430999584086629,52,-0.208442862652224,-0.634901165258967,0.259803765831174
"Helz",0.590277777777778,12,-0.115477217419937,0.00028997705144107,1
"Herc1",0.441358024691358,27,-0.506959988719883,0.302381483740859,1
"Herc2",0.620634920634921,21,0.296981737757132,-0.0333798120511801,0.796114546813293
"Herc4",0.519230769230769,13,-0.334419039070559,0.350157884243458,1
"Hibadh",0.450980392156863,17,-0.369233809665719,-0.224395595937054,0.502909557707062
"Hip1",0.535526315789474,19,0.358453970912476,0.258882204509547,1
"Hipk1",0.490909090909091,11,6.66133814775094e-16,0.348568023451328,1
"Hipk3",0.634615384615385,13,0.610053481683987,-0.592505431775514,0.276338239188278
"Hivep1",0.604166666666667,12,1,-1.60022905412488,0.0736176464128776
"Hivep2",0.590129247446321,41,0.653549585978569,-2.57355733936924,0.023285033497313
"Hlf",0.6,10,0.777607578663551,-0.717930711593286,0.230810227969877
"Hltf",0.466666666666667,10,-0.321928094887362,-0.158691803823,0.573184259699037
"Hmbox1",0.3875,10,-0.184424571137427,0.238191341222517,1
"Hmcn1",0.576529185282046,23,0.123735368422245,-0.190687983181704,0.536867760891877
"Hmg20a",0.548611111111111,12,-0.120294233717712,0.0618652113805105,1
"Hnrnpa2b1",0.441005291005291,21,-0.304854581528421,0.166774398007099,1
"Hnrnpc",0.339814814814815,18,-0.798366138830349,0.741958648397414,1
"Hnrnph1",0.626666666666667,15,0.567040592723894,-0.10678098672949,0.64398977625113
"Homer1",0.417416966786715,14,-0.125530882083859,0.497445899009762,1
"Hpcal1",0.535,10,-0.211504105193711,-0.000889566071645476,0.966355397476995
"Hps3",0.3,10,-0.788495894806288,-0.624249062500894,0.263839521232055
"Hs2st1",0.496153846153846,13,-0.064130337419716,0.554285593087219,1
"Hs3st5",0.425085034013605,14,-0.277533975528908,-0.33678275719285,0.411811261545367
"Hspa4l",0.541666666666667,10,0.46948528330122,-0.197905759001859,0.529260329987419
"Hspg2",0.451488095238095,28,-0.297680548640685,-0.504911406292145,0.314945291370624
"Htra3",0.427272727272727,22,-0.415037499278843,-0.72372109702976,0.228938817926426
"Hycc1",0.34141156462585,14,-0.485426827170241,-0.08444939091493,0.681092355105662
"Ifrd1",0.531780538302277,23,0.160464672193246,0.641339308255127,1
"Igf1r",0.384175084175084,33,-0.519374159093579,-1.63134551113374,0.0708727307265391
"Igfbp7",0.475662036376322,35,-0.0410272682600547,-0.026748086861673,0.817087651518445
"Ikbkb",0.431818181818182,11,-0.192645077942396,-0.0396733564958041,0.778184684561816
"Il15",0.430555555555556,12,-0.667424660913129,-0.771667562576848,0.214122060373639
"Il1r1",0.553663003663004,26,0.16349873228288,-0.176369691858291,0.55256651271231
"Il6st",0.47719298245614,19,-0.31315788525963,-0.172167366680121,0.557337754450077
"Ino80",0.653030303030303,11,0,0.790693070988407,1
"Inpp5a",0.652777777777778,12,0.637429920615291,0.357699557094932,1
"Insr",0.579545454545455,22,0.15200309344505,0.0849291410023625,1
"Ints8",0.625,10,0,0.257308921347754,1
"Iqgap1",0.598484848484849,11,0.251538766995965,0.169043575077911,1
"Irf2",0.488277116402116,24,-0.146841388329271,0.316468350317507,1
"Itga1",0.44515873015873,25,-0.178970141045319,0.693618959273159,1
"Itga6",0.384615384615385,13,2.22044604925031e-16,1.34224865913752,1
"Itga9",0.471875,16,-0.255257055242075,0.622558345824757,1
"Itgb1",0.43452380952381,14,-0.16349873228288,0.313273046759729,1
"Itpkb",0.425438596491228,19,-0.109624491174498,0.0813652645499374,1
"Itpr1",0.511441798941799,36,0.155650870460194,0.150837257782548,1
"Itpr2",0.398595848595849,39,-0.405638801276594,-0.695163674077875,0.238349826150778
"Itsn2",0.474166666666667,20,0.137503523749935,0.0683073129561933,1
"Ivns1abp",0.561111111111111,21,0.196397212803503,-0.241024765581486,0.487495427005332
"Jak1",0.555272108843537,21,0.222392421336448,-0.200799107109525,0.526265024720353
"Jak2",0.541666666666667,10,0.452512204697507,-0.370909110385092,0.389079059005736
"Jarid2",0.614314851814852,22,0.560714954474479,-1.12628005895827,0.133393553204372
"Jmjd1c",0.507087456194599,28,0.187085552600495,-0.160771555765386,0.570681763913372
