gene,chromosome,n_groups,groups
Cacna1c,6,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Cask,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Cd28,1,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Cdcp3,7,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Cdh2,18,2,Pericytes:F1_Aged;Pericytes:F1_Young
Ces1d,8,2,Fibroblast:F1_Aged;Fibroblast:F1_Young
Chn2,6,2,Coronary_EC:F1_Young;Mesothelial:F1_Young
Clstn2,9,2,Pericytes:F1_Aged;Pericytes:F1_Young
Clvs1,4,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Cmah,13,2,Coronary_EC:F1_Aged;Coronary_EC:F1_Young
Cubn,2,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Cyfip2,11,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Cyp2d22,15,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
D830032E09Rik,1,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Ddx3x,X,2,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Young
Dnah7b,1,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Dock3,9,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Enox2,X,2,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Young
Ephb1,9,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Fancc,13,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Fap,2,2,Myeloid:F1_Aged;Myeloid:F1_Young
Fhl1,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Flna,X,2,Fibroblast:F1_Aged;Fibroblast:F1_Young
Foxo6os,4,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Ftx,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Gck,11,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gcnt1,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Glt28d2,3,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm11734,11,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm11816,4,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm11884,4,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm11967,11,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm12224,11,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm12381,4,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm13481,2,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm14636,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Aged
Gm14964,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm16316,2,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm19299,9,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm24474,12,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm26740,10,2,Myeloid:F1_Aged;Myeloid:F1_Young
Gm26760,15,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm32027,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm32828,12,2,Cardiomyocyte:F1_Aged;Fibroblast:F1_Aged
Gm34240,3,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm35268,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm35533,10,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm36235,12,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm37184,1,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm39214,8,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm40124,3,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm40652,10,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm44710,7,2,Myeloid:F1_Aged;Myeloid:F1_Young
Gm45037,7,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm45670,7,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm47283,Y,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Gm56646,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm56843,8,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm57414,11,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm5860,4,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm6994,14,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gm8189,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gnb4,3,2,Myeloid:F1_Aged;Myeloid:F1_Young
Gprasp1,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Gramd1a,7,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Gsap,5,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Hebp1,6,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Hhat,1,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Hpgd,8,2,Mesothelial:F1_Aged;Mesothelial:F1_Young
Il1rapl1,X,2,Mesothelial:F1_Aged;Mesothelial:F1_Young
Impact,18,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Ino80c,18,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Ip6k3,17,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Iqub,6,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Kcnd2,6,2,Mesothelial:F1_Aged;Mesothelial:F1_Young
Kcnip1,11,2,Fibroblast:F1_Aged;Fibroblast:F1_Young
Kcnq5,1,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Kcnv2,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Kdm5c,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Kdm6a,X,2,Cardiomyocyte:F1_Young;Mesothelial:F1_Young
Klhl32,4,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Lamp2,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Lrrc3b,14,2,Coronary_EC:F1_Aged;Fibroblast:F1_Aged
Lyz1,10,2,Myeloid:F1_Aged;Myeloid:F1_Young
Malat1,19,2,Fibroblast:F1_Aged;Fibroblast:F1_Young
Mamld1,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Mfsd4b1,10,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Ms4a8a,19,2,Myeloid:F1_Aged;Myeloid:F1_Young
Mtor,4,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Myh6,14,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Myo16,8,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Ndrg4,8,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Neat1,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Nek10,14,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Nim1k,13,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Ntng1,3,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Ocrl,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Ogdhl,14,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Ogt,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Opcml,9,2,Pericytes:F1_Aged;Pericytes:F1_Young
Orm3,4,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Pah,10,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Pak5,2,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Pals2,6,2,Mesothelial:F1_Aged;Mesothelial:F1_Young
Pcdha11,18,2,Coronary_EC:F1_Aged;Pericytes:F1_Aged
Pcolce2,9,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Pdlim5,3,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Pkd2,5,2,Myeloid:F1_Aged;Myeloid:F1_Young
Pkd2l2,18,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Pla2g4e,2,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Plet1os,9,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Pls3,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Pola1,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Ppp1r3c,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Prdm6,18,2,Fibroblast:F1_Aged;Fibroblast:F1_Young
Ptcd1,5,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Pus7l,15,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Pyroxd2,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Rbm20,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Rgs17,10,2,Mesothelial:F1_Aged;Mesothelial:F1_Young
Rgs6,12,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Rnf180,13,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Rnls,19,2,Fibroblast:F1_Young;Pericytes:F1_Aged
Scin,12,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Sgo2a,1,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Sh3kbp1,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Shisa6,11,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Shroom4,X,2,Endocardial_EC:F1_Young;Fibroblast:F1_Young
Slc16a7,10,2,Pericytes:F1_Aged;Pericytes:F1_Young
Slc25a21,12,2,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Young
Slc36a2,11,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Smco2,6,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Sntb1,15,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Snurf,7,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Snx12,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Sorbs1,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Sparc,11,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Spata31f1e,Unknown,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Stard9,2,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Suclg2,6,2,Mesothelial:F1_Aged;Mesothelial:F1_Young
Sycp2,2,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Taf1,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Aged
Thoc2,X,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Tmem144,3,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Tmem243,5,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Tmx1,12,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Trafd1,5,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Txlng,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Ugt1a7c,1,2,Fibroblast:F1_Aged;Fibroblast:F1_Young
Unc13c,9,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Usp9x,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Zbtb20,16,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Zfp217,2,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Zfp697,3,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Zfp968-ps,2,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Zfx,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
2810403D21Rik,X,1,Cardiomyocyte:F1_Young
4921504A21Rik,5,1,Cardiomyocyte:F1_Young
4930428N03Rik,14,1,Cardiomyocyte:F1_Aged
4930458D05Rik,5,1,Cardiomyocyte:F1_Aged
4930544I03Rik,12,1,Cardiomyocyte:F1_Young
4930567K20Rik,10,1,Cardiomyocyte:F1_Aged
A230057D06Rik,7,1,Cardiomyocyte:F1_Young
A230072C01Rik,X,1,Cardiomyocyte:F1_Young
Abca8a,11,1,Mesothelial:F1_Aged
Abcb7,X,1,Cardiomyocyte:F1_Young
Acbd4,11,1,Cardiomyocyte:F1_Young
Adgrg2,X,1,Fibroblast:F1_Young
Agbl3,6,1,Cardiomyocyte:F1_Aged
Agmo,12,1,Coronary_EC:F1_Young
Aifm1,X,1,Cardiomyocyte:F1_Young
Akr1c14,13,1,Fibroblast:F1_Aged
Alg13,X,1,Cardiomyocyte:F1_Young
Amot,X,1,Cardiomyocyte:F1_Young
Ankra2,13,1,Cardiomyocyte:F1_Young
Anks6,4,1,Cardiomyocyte:F1_Aged
Ap1s2,X,1,Cardiomyocyte:F1_Young
Ap4e1,2,1,Mesothelial:F1_Young
Apoo,X,1,Cardiomyocyte:F1_Young
Araf,X,1,Cardiomyocyte:F1_Young
Arhgef6,X,1,Cardiomyocyte:F1_Young
Arhgef9,X,1,Cardiomyocyte:F1_Young
Atp6ap2,X,1,Cardiomyocyte:F1_Young
Atp8a1,5,1,Mesothelial:F1_Aged
B830012L14Rik,12,1,Fibroblast:F1_Young
BC065397,X,1,Cardiomyocyte:F1_Young
Bcap31,X,1,Cardiomyocyte:F1_Young
Bclaf3,X,1,Cardiomyocyte:F1_Young
Bcor,X,1,Cardiomyocyte:F1_Young
Bgn,X,1,Fibroblast:F1_Young
Brcc3,X,1,Cardiomyocyte:F1_Young
Brwd3,X,1,Cardiomyocyte:F1_Young
Cadm2,16,1,Mesothelial:F1_Aged
Ccdc134,15,1,Cardiomyocyte:F1_Young
Ccl11,11,1,Fibroblast:F1_Aged
Cd44,2,1,Cardiomyocyte:F1_Young
Cd9,6,1,Lymphatic_EC:F1_Young
Cd99l2,X,1,Cardiomyocyte:F1_Young
Cdh8,8,1,Cardiomyocyte:F1_Aged
Cdk16,X,1,Cardiomyocyte:F1_Young
Cdkl5,X,1,Cardiomyocyte:F1_Young
Cds1,5,1,Cardiomyocyte:F1_Young
Cfap58,19,1,Cardiomyocyte:F1_Aged
Cfap96,Unknown,1,Cardiomyocyte:F1_Aged
Cgnl1,9,1,Pericytes:F1_Aged
Chm,X,1,Cardiomyocyte:F1_Young
Clcn5,X,1,Fibroblast:F1_Young
Clec4n,6,1,Myeloid:F1_Young
Cmc4,X,1,Cardiomyocyte:F1_Young
Cnmd,14,1,Fibroblast:F1_Aged
Cntn5,9,1,Cardiomyocyte:F1_Young
Cox7b,X,1,Cardiomyocyte:F1_Young
Csf3r,4,1,Myeloid:F1_Young
Ctps2,X,1,Cardiomyocyte:F1_Young
Cxcl14,13,1,Fibroblast:F1_Aged
Cyth3,5,1,Lymphatic_EC:F1_Young
Dapk2,9,1,Cardiomyocyte:F1_Aged
Ddc,11,1,Cardiomyocyte:F1_Young
Depp1,6,1,Cardiomyocyte:F1_Young
Dgki,6,1,Myeloid:F1_Aged
Dixdc1,9,1,Cardiomyocyte:F1_Aged
Dlc1,8,1,Pericytes:F1_Aged
Dnase1l1,X,1,Cardiomyocyte:F1_Young
Eda,X,1,Endocardial_EC:F1_Young
Egf,3,1,Cardiomyocyte:F1_Young
Egr1,18,1,Mesothelial:F1_Young
Eif1ax,X,1,Cardiomyocyte:F1_Young
Eif2s3x,X,1,Cardiomyocyte:F1_Young
Elf4,X,1,Fibroblast:F1_Young
Emcn,3,1,Pericytes:F1_Aged
Emd,X,1,Fibroblast:F1_Aged
Enpp2,15,1,Cardiomyocyte:F1_Aged
Epsti1,14,1,Myeloid:F1_Aged
F8,X,1,Cardiomyocyte:F1_Young
Fam120c,X,1,Cardiomyocyte:F1_Young
Fam20a,11,1,Endocardial_EC:F1_Young
Fchsd2,7,1,Lymphatic_EC:F1_Aged
Fgf13,X,1,Cardiomyocyte:F1_Young
Fgf16,X,1,Cardiomyocyte:F1_Young
Fgl2,5,1,Cardiomyocyte:F1_Young
Fhip2a,19,1,Fibroblast:F1_Aged
Firre,X,1,Cardiomyocyte:F1_Young
Flrt2,12,1,Myeloid:F1_Aged
Fmo2,1,1,Mesothelial:F1_Young
Fmr1,X,1,Cardiomyocyte:F1_Young
Fundc1,X,1,Cardiomyocyte:F1_Young
Fyn,10,1,Cardiomyocyte:F1_Young
Gask1b,3,1,Cardiomyocyte:F1_Young
Gdnf,15,1,Cardiomyocyte:F1_Aged
Gk,X,1,Cardiomyocyte:F1_Young
Gm12216,11,1,Cardiomyocyte:F1_Young
Gm13274,4,1,Cardiomyocyte:F1_Aged
Gm13943,2,1,Cardiomyocyte:F1_Young
Gm14221,2,1,Cardiomyocyte:F1_Aged
Gm14634,X,1,Cardiomyocyte:F1_Young
Gm14798,X,1,Cardiomyocyte:F1_Young
Gm15958,18,1,Cardiomyocyte:F1_Young
Gm16332,1,1,Fibroblast:F1_Aged
Gm20618,6,1,Cardiomyocyte:F1_Aged
