"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"Sp3",0.44212962962963,72,-0.358453970912477,2.74089946546391,1,1
"Spag9",0.51949436222692,172,0.123871658162169,-18.3792858327062,0,0
"Spast",0.484848484848485,66,-0.037474705418663,1.24123257338658,1,1
"Spata6",0.657894736842105,57,0.807354922057604,3.1108580081158,1,1
"Specc1",0.6,50,0.724365557386572,2.385154523818,1,1
"Specc1l",0.584684684684685,74,0.241008099503795,2.50661358734652,1,1
"Spi1",0.595555555555556,75,0.366782330671623,1.42073047032815,1,1
"Spidr",0.468036529680365,73,-0.0655883416275764,0.927068456255171,1,1
"Spire1",0.459943977591036,119,-0.293196376344046,7.00499120032725,1,1
"Spop",0.497732426303855,147,-0.0832555036493523,24.4374470865861,1,1
"Spopl",0.576754385964912,76,0.449802917439521,2.07163660568841,1,1
"Sppl2a",0.554852320675105,79,0.308122295362332,1.70260995599126,1,1
"Sppl3",0.49465811965812,78,0.0627357553479628,2.61907516262107,1,1
"Spred1",0.533014861995754,157,0.148391839892671,-13.8004511573093,0,0
"Spred2",0.602014652014652,91,0.575114714764809,2.65846260852487,1,1
"Sptan1",0.492640692640693,77,0.079434467494405,4.08539520421367,1,1
"Sptbn1",0.439477824772487,142,-0.161664668137572,-11.6976650108181,0,0
"Sptlc2",0.422351421188631,129,-0.493539472957562,17.3440716813199,1,1
"Srek1",0.565894465894466,111,0.29373120305671,2.6465354666279,1,1
"Srgap2",0.436755260243632,215,-0.318175960026255,-18.8432897062665,0,0
"Srgn",0.501156462585034,70,-0.0264722113611908,3.26706610922912,1,1
"Srsf2",0.517210144927536,92,0.0246620542342693,-8.39484281033168,0,0
"Ssbp2",0.417525773195876,97,-0.289506617194985,2.17716341429643,1,1
"Ssh2",0.468161651234568,288,-0.210816070028828,-0.758209897361155,0,0
"St3gal1",0.543037974683544,79,0.464668267003444,-7.93762921457311,0,0
"St3gal4",0.666666666666667,48,0.713695814843359,-3.96202551741246,0,0
"St3gal6",0.466666666666667,140,0.0773057261674488,33.120972645479,1,1
"St6gal1",0.492798353909465,162,0.0232697793228471,65.1079080612815,1,1
"St6galnac3",0.454954954954955,37,0.389946518316013,-4.29822901936784,0,0
"St8sia4",0.467932489451477,79,-0.399607458709238,3.67820454384484,1,1
"Stab1",0.50124478476279,361,0.0407302524187469,8.3002086126142,0.94,1
"Stag1",0.503285256410256,208,-0.0377196659491585,-5.44090010103523,0,0
"Stambpl1",0.230769230769231,78,-1.89812038598079,0.80678592028702,1,1
"Stard13",0.426535087719298,76,-0.390789953032167,3.23822118777916,1,1
"Stard9",0.421177944862155,133,-0.461133913868298,19.3826352088211,1,1
