"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi"
"Leprotl1",0.451666666666667,0.452522522211851,651859755.034193,505574324.81865,157059164.675648,1.11,600,1.53407230969113e-09
"Nmt2",0.455,0.455042100049534,782587644.916197,635879721.783113,234819909.936785,1.12166666666667,600,1.27781214857677e-09
"H3f3a",0.488333333333333,0.488288288331059,777110847.523606,583856257.624534,157059164.675648,1.11,600,1.28681770842174e-09
"Gm19689",0.648333333333333,0.648401360519753,704735190.915401,744316555.418847,486171297.754754,1.14333333333333,600,1.41897270477024e-09
"Calcoco1",0.418333333333333,0.41846761453396,432157175.85073,308397718.767164,61279174.1767325,1.055,600,2.31397291513541e-09
"Parn",0.488333333333333,0.488195072900958,863366622.848807,624926951.219566,136516499.102498,1.105,600,1.15825649675957e-09
"Wdr36",0.508333333333334,0.508297438927301,1127728374.07589,1082605298.86218,604440104.1036,1.16166666666667,600,8.86738352060573e-10
"Creb5",0.496666666666667,0.494399323181052,3856835822.68954,2410813768.81001,466207.406469485,1.64166666666667,600,2.59279898334551e-10
"Hat1",0.523333333333333,0.522541966426866,787018161.828977,871445922.481236,607295314.141002,1.15833333333333,600,1.27061870805633e-09
"Prrc1",0.538333333333333,0.538347299813197,1371534411.90885,1018781961.52002,258516726.523178,1.19333333333333,600,7.29110397316417e-10
"Ercc6",0.593333333333333,0.593333333186843,1422524025.04169,1247512621.50812,573496169.371294,1.16666666666667,600,7.0297582493954e-10
"Aida",0.67,0.670822384457016,1165122740.21988,1018900872.39871,465118655.618047,1.14166666666667,600,8.58278673550977e-10
"Smco2",0.0254166666666667,0.0253729679673618,1e-06,1e-06,202901395.584279,1.11666666666667,600,6271027.5676613
"Sergef",0.386666666666667,0.381872146118708,550670539.773298,412810232.632203,109825832.438227,1.095,600,1.81596785695433e-09
"Phf12",0.496666666666667,0.496470588235295,624495218.187562,614390038.498489,358528843.41002,1.13333333333333,600,1.60129328596341e-09
"Fbxo42",0.469166666666667,0.469285262846828,59.8417474424002,50707323.962779,81131658.4986989,1.23833333333333,600,0.0167107419609117
"Ube2h",0.468244708994709,0.466771968080098,3.0418846245318,54.3100876734412,83.8542556529742,1.97,600,0.328743566384907
"Blmh",0.485,0.48499265785608,661770429.532155,650675351.854263,379310133.434666,1.135,600,1.51109804151715e-09
"Mlh1",0.735,0.73486625514415,516388040.712613,374819734.955356,83323535.2159566,1.08,600,1.93652819422387e-09
"Gmnn",0.473333333333333,0.473333333333069,1063393840.37385,932233248.289443,428179356.889257,1.17833333333333,600,9.40385360562588e-10
"Gnpat",0.383333333333334,0.387531673219748,1986504896.41469,1298161979.84134,90554271.3314631,1.27166666666667,600,5.03396695273611e-10
"Ube3c",0.491666666666667,0.492094069529597,2173547900.31065,1525572312.05811,267367798.982326,1.35833333333333,600,4.6007727727421e-10
"Enox1",0.303333333333333,0.303247126436923,745338209.848571,845591998.802019,607608988.234659,1.16,600,1.341672796036e-09
"Prdm15",0.418333333333333,0.418352000010914,193144734.709653,156538360.138113,57316641.5113275,1.04166666666667,600,5.17746446209504e-09
"Gabrb3",0.218333333333333,0.217950920242273,2310940467.86923,1611442666.78222,267367798.982326,1.35833333333333,600,4.32724258328488e-10
"Ddx47",0.576666666666667,0.576539681583505,308458285.721598,229809537.11957,59236973.6697132,1.05,600,3.24192944812823e-09
"Vti1a",0.543916666666667,0.544083997803572,12.9844412471901,65204.8067578828,104314.706371365,1.69166666666667,600,0.0770152508654466
"Gphn",0.563732142857143,0.565479767886997,1.5478201813779,1.90795332168887,1.5049051333243,2.26166666666667,600,0.6460698807466
"Ces1d",0.464097222222222,0.462881757005346,22.5057540479975,6029.79736876489,9625.17003597583,1.775,600,0.0444330813296601
"Gm48678",0.473333333333333,0.473107344633536,1007628780.09865,884032158.327659,406822673.225602,1.18,600,9.92428977566614e-10
