gene,chromosome,n_groups,groups
Pak5,2,1,Cardiomyocyte:F1_Aged
Parg,14,1,Cardiomyocyte:F1_Aged
Pcolce2,9,1,Cardiomyocyte:F1_Aged
Pdlim5,3,1,Cardiomyocyte:F1_Aged
Pik3cd,4,1,Cardiomyocyte:F1_Aged
Pkd2l2,18,1,Cardiomyocyte:F1_Aged
Pla2g4e,2,1,Cardiomyocyte:F1_Aged
Plet1os,9,1,Cardiomyocyte:F1_Aged
Ppp1r3c,19,1,Cardiomyocyte:F1_Aged
Proser2,2,1,Cardiomyocyte:F1_Aged
Ptcd1,5,1,Cardiomyocyte:F1_Aged
Ptx4,17,1,Cardiomyocyte:F1_Aged
Pus7l,15,1,Cardiomyocyte:F1_Aged
Pyroxd2,19,1,Cardiomyocyte:F1_Aged
Rbm20,19,1,Cardiomyocyte:F1_Aged
Rec114,9,1,Cardiomyocyte:F1_Aged
Redic1,Unknown,1,Cardiomyocyte:F1_Aged
Rgs6,12,1,Cardiomyocyte:F1_Aged
Rmdn2,17,1,Cardiomyocyte:F1_Aged
Rnf17,14,1,Cardiomyocyte:F1_Aged
Rnf180,13,1,Cardiomyocyte:F1_Aged
Rusc2,4,1,Cardiomyocyte:F1_Aged
Scin,12,1,Cardiomyocyte:F1_Aged
Sgo2a,1,1,Cardiomyocyte:F1_Aged
Sh3d19,3,1,Cardiomyocyte:F1_Aged
Shisa6,11,1,Cardiomyocyte:F1_Aged
Slc10a6,5,1,Cardiomyocyte:F1_Aged
Slc36a2,11,1,Cardiomyocyte:F1_Aged
Slc8a1,17,1,Cardiomyocyte:F1_Aged
Smco2,6,1,Cardiomyocyte:F1_Aged
Sntb1,15,1,Cardiomyocyte:F1_Aged
Snurf,7,1,Cardiomyocyte:F1_Aged
Sorbs1,19,1,Cardiomyocyte:F1_Aged
Sparc,11,1,Cardiomyocyte:F1_Aged
Spata31f1e,Unknown,1,Cardiomyocyte:F1_Aged
Stard9,2,1,Cardiomyocyte:F1_Aged
Sycp2,2,1,Cardiomyocyte:F1_Aged
Syndig1,2,1,Cardiomyocyte:F1_Aged
Them7,2,1,Cardiomyocyte:F1_Aged
Thoc2,X,1,Cardiomyocyte:F1_Aged
Thsd4,9,1,Cardiomyocyte:F1_Aged
Timp3,10,1,Cardiomyocyte:F1_Aged
Tmem144,3,1,Cardiomyocyte:F1_Aged
Tmem243,5,1,Cardiomyocyte:F1_Aged
Tmprss13,9,1,Cardiomyocyte:F1_Aged
Tmx1,12,1,Cardiomyocyte:F1_Aged
Trafd1,5,1,Cardiomyocyte:F1_Aged
Trim7,11,1,Cardiomyocyte:F1_Aged
Tsnax,8,1,Cardiomyocyte:F1_Aged
Unc13c,9,1,Cardiomyocyte:F1_Aged
Zbtb20,16,1,Cardiomyocyte:F1_Aged
Zfp141,7,1,Cardiomyocyte:F1_Aged
Zfp217,2,1,Cardiomyocyte:F1_Aged
Zfp697,3,1,Cardiomyocyte:F1_Aged
Zfp968-ps,2,1,Cardiomyocyte:F1_Aged
