"","AR","N","log2FC","llr_mean","pval_mean"
"Sorbs2os",0.385724067552848,79,-0.491853096329675,-2.83604756596225,0.0172368574931963
"Sos1",0.394736842105263,19,-0.306661338234052,0.549525584402936,1
"Sos2",0.456349206349206,21,-0.408084738637077,-0.685841553459355,0.241522913056538
"Sox5",0.610555555555556,30,0.633217669328376,-2.27408766562112,0.0329538466533791
"Sox6",0.602654176424668,61,0.324726728240036,-0.178341869713506,0.550353795185756
"Sp4",0.4,10,0.430634354329863,1.76361460998579,1
"Spag9",0.465246963684464,96,0.00719550140420416,-0.00442360881939408,0.925061773365788
"Sparc",0.335858585858586,33,-1.02914634565952,-1.95174188629055,0.0481860896681656
"Sparcl1",0.479166666666667,12,-0.0524674198941364,0.403022268306231,1
"Spata6",0.65,10,1.13750352374993,-2.32415573511553,0.0310841093620538
"Specc1",0.215686274509804,17,-0.719892080807264,3.55402512107973,1
"Specc1l",0.344444444444444,21,-0.506959988719883,0.240559110113146,1
"Spen",0.282051282051282,13,-0.47916783669856,4.7929756273146,1
"Spindoc",0.5625,16,0.0384741478146364,1.33332325840332,1
"Spon1",0.604938271604938,27,0.72246602447109,-2.45560836100903,0.0266828389254036
"Spop",0.38,25,-0.56634682255381,-1.16003498709296,0.127714280846622
"Sppl2a",0.4875,12,0.109624491174497,0.414924931237934,1
"Sppl3",0.46578947368421,19,-0.162271428898877,0.0879126692464567,1
"Spred1",0.53735632183908,29,0.403896941673644,-1.0569169768425,0.145973199038186
"Spred2",0.567037037037037,45,0.174029399775048,1.65083582768963,1
"Spta1",0.5,10,-0.48542682717024,-0.27377061532961,0.459324089908762
"Sptan1",0.653842592592593,60,0.885229812753925,-5.29082927865481,0.00114215145819315
"Sptb",0.475,10,-0.556393348524385,-0.00536174220762575,0.917523089000948
"Sptbn1",0.472313502369879,218,-0.159170373391308,-1.10349972574789,0.137385659520129
"Sptlc2",0.513888888888889,18,-0.600392541290761,1.02011493765533,1
"Sqstm1",0.416666666666667,12,-0.0418201756946264,1.55277129962403,1
"Srbd1",0.45,10,-0.103093492964104,0.940351246000027,1
"Srek1",0.421798493408663,59,-0.21501289097085,0.338309197713102,1
"Srgap2",0.557777777777778,30,0.0874628412503395,0.405301926537504,1
"Srl",0.423737373737374,30,-0.287281952080471,-0.24973214276018,0.479735605086511
"Srpk2",0.603846153846154,39,0.544996093403512,0.0726431364700346,1
"Srr",0.552083333333333,16,0.0780025120012735,0.107189028826895,1
"Srrm1",0.448765432098765,27,-0.274622380109005,-0.114160270958877,0.632771927112037
"Srsf11",0.541666666666667,14,-0.0365258760251135,0.0587534200141491,1
"Srsf2",0.464074074074074,45,-0.219965683941908,-0.393310311848566,0.375123934725615
"Srsf3",0.604166666666667,12,0.096215315259303,0.345955499502772,1
"Ss18",0.452380952380952,14,-0.228268987673117,0.357987868671991,1
"Ssbp2",0.504792043399638,79,0.133266530863464,0.153593852788731,1
"Ssh2",0.507017829963035,146,0.101121924442866,-0.187631938909703,0.540148891927623
"St13",0.470588235294118,17,-0.568283759574525,-0.867921712937395,0.187666355125006
"St3gal3",0.339583333333333,48,-0.822212880784717,-4.4396500520342,0.00288422093105269
"St3gal6",0.354838709677419,31,-0.757429696725922,-1.59347471360778,0.0742284102593427
"St6gal1",0.43452380952381,14,-0.192645077942395,-0.0213656361724262,0.836232099953538
"St7",0.585119047619048,28,0.275634442613427,0.857518628826739,1
"St7l",0.44,25,-0.561878887608115,-1.31234867784288,0.105212564236601
"Stag1",0.544402673350042,57,0.220500361995241,-0.545547807047711,0.296228583669466
"Stard13",0.564444444444444,75,0.316027493447678,-0.994488729605308,0.15844783605241
"Stard7",0.473684210526316,19,0.263034405833794,0.512520700678529,1
