"","N","AR","tot_gene_mean","tot_gene_variance","alpha","beta","bb_mu","bb_theta","phi","id","theta_smoothed","thetaCorrected","theta_common","resid","AR.1","N.1","log2FC","loglik0_mean","loglik1_mean","llr_mean","pval_mean"
"5330438D12Rik",11,0.378787878787879,2.36363636363636,0.454545454545455,6.25678513258502,10.010856212136,0.384615384615385,0.0614717265281058,1.07993458183348,11,2.54025971871148,1.68654298565983,2.54025971871148,-2.47878799218338,0.5,11,-0.459431618637297,-21.9138800983885,-22.3652865080263,0.451406409637862,1
"6820431F20Rik",10,0.483333333333333,2.1,0.1,0.000476667143349877,0.000524333857651125,0.476190476206526,998.999999999999,2.11053696014965,12,10.3066804868525,386.115242571051,10.3066804868525,988.693319513147,0.660714285714286,10,1,-37.7981220138539,-38.4484120877994,0.650290073945506,1
"9330159M07Rik",26,0.137820512820513,2.88461538461538,1.14615384615385,133333.333333333,866666.666666667,0.133333333333333,1e-06,0.980040969323613,13,NA,1e-06,0.789891282909935,-0.789890282909935,0.062962962962963,26,-3.90689059560852,-43.7853958364576,-14.8539032805711,-28.9314925558865,2.81025740475878e-14
"9530026P05Rik",103,0.620158805595699,5.30097087378641,10.1732343422806,2.14926637308848,1.37475596837191,0.60989010989011,0.283766645924721,1.95205781966024,14,0.258465161708032,0.276985912054367,0.258465161708032,0.0253014842166896,0.632873003947384,103,0.74234879086311,-185.536417848598,-178.579687370311,-6.95673047828629,0.00019142263354948
"AU040320",14,0.476190476190476,2.35714285714286,0.401098901098901,0.270333741092127,0.287229599882161,0.484848484873029,1.79351820055565,1.87114930951044,15,2.60583587274057,2.38721721675874,2.60583587274057,-0.812317672184919,0.662790697674419,14,1.04182017569463,-31.9272905925664,-32.7019660244869,0.774675431920503,1
"AW554918",19,0.456140350877193,2.42105263157895,1.36842105263158,0.00041345693519607,0.000587544065804932,0.413043478260873,998.999999999999,2.46341802380442,16,2.06168757945492,380.716949528233,2.06168757945492,996.938312420544,0.486394557823129,19,-0.282399730700725,-69.9810081973335,-70.6142088579942,0.63320066066072,1
"Aak1",42,0.488492063492063,3.5952380952381,6.10046457607433,1.31717045937154,1.33473273216316,0.496688741721855,0.377087671673747,1.71066998038463,17,0.428374922292304,0.423670300215895,0.428374922292304,-0.0512872506185574,0.45679012345679,42,-0.312590230308026,-76.8355259241481,-76.5157253782844,-0.319800545863686,0.423855284538297
"Abca1",17,0.541830065359477,3.76470588235294,4.56617647058824,2.33732314539932,2.19566719620822,0.515625000112052,0.220604926249494,1.50474191157576,18,0.39617239526586,0.343162321578284,0.39617239526586,-0.175567469016366,0.549003322259136,17,0.20163386116965,-43.3294896929855,-43.2948977364938,-0.0345919564917807,0.79252872798129
"Abca8a",20,0.752539682539683,4.85,9.18684210526316,0.746295665898073,0.38480870273205,0.659793814431032,0.88409171402202,2.79154496061289,19,0.282705314951774,0.520828356013452,0.282705314951774,0.601386399070246,0.769253380364491,20,1.48542682717024,-34.8611376602192,-30.3901241655993,-4.47101349461993,0.00278683298002417
"Abcb1b",14,1,5.35714285714286,19.6318681318681,999999.999997076,2.92443846916512e-06,0.999999999997076,1e-06,3.6555462360791e-11,20,NA,1e-06,0.255852041600611,-0.255851041600611,0.92,14,5.7944158663501,-76.0133576784283,-53.1158372675076,-22.8975204109207,1.31295507399673e-11
"Abcc5",25,0.529238095238095,3.4,6.75,0.235455336360163,0.24106141579731,0.494117647058823,2.09856210819957,2.62539912643625,21,0.481905163772431,1.11244294185608,0.481905163772431,1.61665694442714,0.488146551724138,25,0.169925001442312,-50.8289516915815,-50.8335013983868,0.00454970680532085,1
"Abcd3",22,0.575757575757576,2.45454545454545,1.02164502164502,0.565473944350468,0.419545184518089,0.574074074074074,1.01520871086905,1.7342230547377,22,1.84832788652893,1.59568896038824,1.84832788652893,-0.833119175659883,0.425170068027211,22,-0.321928094887362,-41.7010959427645,-43.2065300300861,1.50543408732162,1
"Abhd17b",11,0.454545454545455,2.63636363636364,1.45454545454545,0.116173929602525,0.124472067431277,0.482758620689655,4.15548154686129,2.31883015829676,23,1.15334648798782,2.33316834471892,1.15334648798782,3.00213505887347,0.37962962962963,11,-0.678071905112638,-28.6492511255292,-28.1387049468017,-0.510546178727559,0.31226003896828
"Abhd18",21,0.527380952380952,3.95238095238095,6.14761904761905,0.869031276363501,0.934208622090763,0.481927710843374,0.554557383550131,2.05083673445591,24,0.367670717344669,0.451318638020784,0.367670717344669,0.186886666205462,0.451136363636364,21,-0.121990524378611,-39.7398726200284,-39.5306277171067,-0.209244902921746,0.517691565239656
"Abi1",96,0.8933186749593,5.84375,15.5226973684211,11.0252731004035,1.05515308968708,0.912655971479499,0.0827785364741754,1.34635763538521,25,0.235027050853749,0.185315540381124,0.235027050853749,-0.152248514379573,0.92235996846291,96,3.83583009066808,-228.985857438774,-86.3228132795237,-142.663044159251,5.18785086709575e-64
