"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"Specc1l",0.5612,0.591954022988506,29,0.4247,0.205427613889384,0.0674304422803853,0.184424571137427,-0.0894724395510238,0.672281567057683,1
"Spop",0.4439,0.422222222222222,45,0.1229,0.087522789097596,0.0623944732150615,-0.299560281858908,-0.209324667696606,0.517611770152369,1
"Spopl",0.587,0.600555555555556,30,0,0.0439331376331582,0.0671005455450435,0.506959988719883,-0.00122654138206357,0.960498041264788,1
"Sppl3",0.49,0.453333333333333,25,0,0.0445766158540758,0.068083351281125,-0.0565835283663676,-0.0683257958145838,0.711632738752923,1
"Spred1",0.5533,0.516666666666667,48,0.1731,0.10615417436358,0.0617348089779739,0.415037499278844,-0.788497573107698,0.209194049880159,1
"Spred2",0.3929,0.434285714285714,35,0,0.0443609811615701,0.067754005227438,-0.628031222613042,0.0383863197063263,1,1
"Sptan1",0.6636,0.672798216276477,46,0,0.040578014240411,0.0619761537498545,0.978626349207433,-0.115951208479892,0.63011678890325,1
"Sptbn1",0.4936,0.526700545143748,67,0.0169,0.0418786988471726,0.0541607327059149,-0.0140295599040576,-0.151157367113527,0.582434916181966,1
"Sptlc2",0.4614,0.461111111111111,36,2e-04,0.0428175910311923,0.0652807340349744,-0.222392421336448,-0.109357701102248,0.640020465374428,1
"Srek1",0.5733,0.57250566893424,42,2e-04,0.0409811070066946,0.0624758107682248,0.425305834732671,-0.079778143434055,0.689565361502041,1
"Srgap2",0.4652,0.449252491694352,43,0.0709,0.067380056278017,0.0617898059552913,-0.189033824390017,-0.270064708659348,0.462379096671886,1
"Srgn",0.5488,0.562878787878788,22,0.7642,0.334731002982666,0.0680098185555244,0.347923303420307,-2.65228652487112,0.0212695120189173,1
"Srpk2",0.7629,0.765555555555556,30,0.1072,0.0841082942703976,0.0662854014489873,1.77760757866355,-0.212144942206031,0.514804200070645,1
"Srrm1",0.4206,0.42816091954023,29,0.1056,0.0831002932998231,0.0656738479665964,-0.473931188332412,-3.06838932600042,0.0132398296308834,1
"Srsf2",0.4858,0.464583333333333,40,2e-04,0.0417879405532024,0.0637081145382578,-0.082462160191973,-0.0512221521539402,0.748915859668444,1
"Ssbp2",0.5501,0.546837327523602,45,0.1516,0.09819672601609,0.0620511328685749,0.242856523896164,-0.845788010298122,0.193393345216177,1
"Ssh2",0.4699,0.465829811214427,65,0.1345,0.0920606177289676,0.0625972501447098,-0.110182917750423,0.021678403263607,1,1
"St3gal3",0.4745,0.428941672362725,38,1e-04,0.0410534678731226,0.0626443299315492,-0.148098638989134,-0.20441243659468,0.522566556661586,1
"St3gal4",0.4751,0.458333333333333,20,0.2627,0.13493913030199,0.0537310316812397,-0.0931094043914813,-0.00934827996851695,0.891239975132845,1
