"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"Yipf7",0.48974358974359,0.4393,1e-04,0.0463371644009288,0.0707142957616852,0.892857142857143,26
"Ythdf3",0.517828106852497,0.5077,0.0793,0.0750058406267047,0.0685649205838537,1.91071428571429,41
"Ywhag",0.488666666666667,0.5074,0.7524,0.331024177275319,0.0691922600918371,0.928571428571429,25
"Ywhaz",0.56439393939394,0.611,1e-04,0.0655344728481722,0.100034984863442,0.642857142857143,22
"Zbed5-ps",0.536666666666667,0.5477,3e-04,0.0541604853045059,0.082547114555082,0.75,25
"Zbtb16",0.459556034233771,0.4256,1e-04,0.0372226829069334,0.0567934443598563,9.23214285714286,55
"Zbtb38",0.50985125985126,0.514,0.2743,0.149009446478025,0.0684930945874375,1.73214285714286,33
"Zcchc7",0.386553724053724,0.3372,0.1476,0.100541715918152,0.0679527141123244,2.82142857142857,42
"Zdhhc14",0.534207401394901,0.5462,0.2352,0.133425460606698,0.0673691534999638,3.19642857142857,48
"Zdhhc20",0.543478260869565,0.5427,1.0601,0.463677063174747,0.0933314344888969,0.678571428571429,23
"Zeb1",0.660984848484849,0.7293,0.0057,0.0474672152500025,0.0691922600918371,0.928571428571429,22
"Zeb2",0.516025641025641,0.5045,0.0058,0.0470666274969759,0.0685224290637145,1.83928571428571,39
"Zfand3",0.454761904761905,0.4533,0.102,0.0835876955650853,0.0685062736930736,1.80357142857143,42
"Zfand5",0.501111111111111,0.4874,0.1315,0.0940349460416208,0.0673527075875688,1,30
"Zfand6",0.642857142857143,0.5951,0.1841,0.120200655839393,0.0768084683520335,0.803571428571429,21
"Zfc3h1",0.505050505050505,0.5121,0.1698,0.109390295495148,0.0685914446529233,0.946428571428571,33
"Zfhx3",0.537878787878788,0.5363,0.1606,0.106290000060129,0.0691922600918371,0.928571428571429,33
"Zfp106",0.473502304147465,0.4678,2e-04,0.0439205155143813,0.0669652673622983,1.10714285714286,31
"Zfp148",0.34,0.3489,0.737,0.340980860643101,0.0933314344888969,0.678571428571429,25
"Zfp385b",0.475,0.4526,1.5537,0.63841368256672,0.0739244978402368,0.839285714285714,20
"Zfp407",0.540131578947368,0.594,0.0174,0.0515040949508593,0.0685719210216124,1.58928571428571,38
"Zfp445",0.605714285714286,0.5946,0.0796,0.0743260852821271,0.0673527075875688,1,35
"Zfp521",0.368975468975469,0.3182,0,0.0448734302971957,0.0685366858739169,1.51785714285714,33
"Zfp609",0.422510822510823,0.4152,0.1174,0.0884268446283053,0.0669652673622983,1.10714285714286,33
"Zfp62",0.612952380952381,0.6136,0.2039,0.128837026047955,0.078515084450576,0.785714285714286,25
"Zfp638",0.511904761904762,0.5176,0,0.0438317600540909,0.0669457081892815,1.03571428571429,28
"Zfp644",0.526960784313726,0.5809,2e-04,0.0439205155143813,0.0669652673622983,1.10714285714286,34
"Zfp710",0.626904761904762,0.6594,0.1737,0.110652345105429,0.0682570150910257,1.39285714285714,35
"Zfp809",0.376388888888889,0.3629,0.1141,0.102475237082643,0.090335845437557,0.696428571428571,24
"Zfpm2",0.442933599419448,0.4745,0.0504,0.0603635613770361,0.0629632794098598,4.91071428571429,53
"Zfr",0.575202821869489,0.5662,0.0563,0.0662381625116425,0.068513753542782,1.82142857142857,45
"Zfyve9",0.548387096774194,0.5103,1.1315,0.474263450502811,0.068088376734626,0.964285714285714,31
"Zhx2",0.425485008818342,0.449,2e-04,0.0469886169454455,0.0716512809480104,0.875,27
"Zkscan3",0.573245614035088,0.5715,0.0417,0.0607319430521251,0.0685719210216124,1.58928571428571,38
"Zmiz1",0.526785714285714,0.5003,1e-04,0.0493287741761499,0.0752834810917063,0.821428571428571,28
"Zmym5",0.521739130434783,0.5196,1.5008,0.643602355800871,0.112531331426531,0.589285714285714,23
"Zmynd11",0.456140350877193,0.4566,0.9433,0.435208014389883,0.117593707311482,0.571428571428571,19
"Zmynd8",0.322198879551821,0.3877,2e-04,0.044207320733251,0.067403314533252,1.19642857142857,34
"Znrf1",0.489705882352941,0.5368,2e-04,0.0446558555661017,0.068088376734626,0.964285714285714,34
"Zranb1",0.331182795698925,0.363,0.157,0.103380190769251,0.0668360113682367,1.07142857142857,31
"Zswim6",0.441933621933622,0.4174,0.0917,0.0795018802590049,0.0682398717822535,2.60714285714286,45
"Zup1",0.580357142857143,0.5584,0.2513,0.143041331150191,0.0727177931100581,0.857142857142857,28
"Zyg11b",0.642666666666667,0.6666,0.1091,0.0860102859458485,0.068088376734626,0.964285714285714,25
