"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"Col5a2",0.483483483483483,111,-92.3506804237935,-89.0660445288594,-3.28463589493413,0.0103754394984628,0.287988550403277
"Col5a3",0.405677655677656,91,-68.6579844071263,-68.4341592774068,-0.223825129719415,0.503452925948772,0.965431296087971
"Colec12",0.30952380952381,42,-31.4201471410553,-26.6342614009358,-4.78588574011953,0.0019759202619954,0.14494786493352
"Colgalt2",0.497619047619048,70,-53.8475082901437,-53.1248132379299,-0.722695052213801,0.229269092056673,0.92590314230776
"Copa",0.419475655430712,89,-64.7272083082445,-64.7190952586945,-0.00811304954997638,0.898638294543329,0.999893313646803
"Cp",0.824766355140187,107,-58.1114675943063,-57.6377992369122,-0.473668357394118,0.33039814137898,0.963666999817457
"Cpeb1",0.526881720430108,62,-49.2350771142182,-49.1489002559615,-0.0861768582567493,0.678028401269413,0.985439463818346
"Cped1",0.505733238569059,402,-385.9076065203,-385.909190568478,0.0015840481783016,1,1
"Cradd",0.428888888888889,75,-56.8702224390776,-56.8296626095676,-0.0405598295099097,0.775785779046774,0.989804710682013
"Creb1",0.426829268292683,82,-59.938844794284,-59.8648050758144,-0.0740397184696278,0.700377514949527,0.985439463818346
"Creb3l2",0.446031746031746,105,-81.5489569033578,-81.5466619912133,-0.00229491214443556,0.945986045967416,1
"Creb5",0.554323308270677,190,-166.256914773211,-166.257037854313,0.000123081102202605,1,1
"Crebbp",0.50733024691358,216,-176.295597871862,-175.965762189993,-0.32983568186944,0.416675988202754,0.965431296087971
"Crim1",0.414888888888889,150,-115.522529318037,-115.330942939582,-0.191586378455085,0.535910102757552,0.965431296087971
"Crppa",0.51498127340824,89,-71.5298605807354,-70.7488200272602,-0.781040553475208,0.211360766193485,0.92590314230776
"Csde1",0.616279069767442,86,-62.1087210347692,-62.0919485397368,-0.0167724950324271,0.854678038187238,0.994053657707802
"Csnk1a1",0.353479853479854,182,-133.31869392711,-133.095980862739,-0.222713064370367,0.504515054264114,0.965431296087971
"Csnk1g3",0.519,100,-74.6990031281721,-74.0608651753456,-0.638137952826455,0.25859261762413,0.92590314230776
"Cspg4",0.556776556776557,91,-67.1580260737638,-67.0623172890534,-0.0957087847104958,0.661739396462014,0.980447693155083
"Cspp1",0.495327102803738,107,-83.916121717735,-83.8468972477549,-0.0692244699801279,0.709827870585616,0.985439463818346
"Cstf3",0.472689075630252,119,-98.8565244871405,-98.3130589479317,-0.543465539208796,0.297152184318214,0.943867307739022
"Ctdspl",0.573746312684366,113,-84.9250256979365,-84.317621282266,-0.607404415670487,0.270381832080306,0.928702814536704
"Ctnnd1",0.52020202020202,66,-53.0201341072986,-51.6746446150487,-1.34548949224991,0.100917793189137,0.829140588841949
"Cul1",0.540780141843972,94,-70.9135804551493,-70.8013088173976,-0.112271637751704,0.635599763095493,0.976102412158868
"Cux1",0.529069767441861,129,-99.6041413535699,-99.0610614405611,-0.543079913008796,0.297323636222253,0.943867307739022
"Cyp7b1",0.386349206349206,210,-183.895302374224,-182.74940193075,-1.14590044347415,0.130058939120782,0.847405012581697
"Cyria",0.530075187969925,133,-99.8370538174363,-99.8343147555033,-0.00273906193298501,0.940998967683345,1
"Cyth3",0.452293577981651,218,-187.036857189673,-185.303063204835,-1.73379398483812,0.0625825043280625,0.734885924038017
"Daam1",0.426118598382749,265,-228.829460463159,-228.833405360237,0.00394489707849743,1,1
"Dach1",0.478378851540616,136,-123.112141981446,-118.913282646018,-4.19885933542882,0.00375692203009927,0.200061421363035
"Dcaf6",0.53042328042328,63,-48.6374617570976,-48.6194730054559,-0.0179887516416599,0.849561957902061,0.994053657707802
"Dcbld1",0.457983193277311,119,-90.7778231436236,-90.7786582744276,0.000835130804006212,1,1
"Dcbld2",0.52039627039627,143,-118.776464896633,-118.679373902035,-0.0970909945973233,0.659458539588347,0.980447693155083
"Ddr2",0.513257575757576,88,-67.0133952757888,-66.579866695238,-0.433528580550799,0.351771301195797,0.963666999817457
"Ddx17",0.4553264604811,97,-75.4754769153354,-74.3563063083981,-1.11917060693739,0.134625333597625,0.847405012581697
"Ddx50",0.601515151515152,110,-81.0667121193919,-80.8373417823994,-0.229370336992503,0.498213109642664,0.965431296087971
"Ddx6",0.401234567901235,81,-60.107620776491,-59.7920101057108,-0.315610670780131,0.426907671456457,0.965431296087971
"Dennd1a",0.484887737478411,193,-144.990031055018,-144.764609805465,-0.225421249552852,0.501935136296232,0.965431296087971
"Dennd1b",0.380482456140351,152,-112.018165571778,-111.535368733386,-0.482796838392517,0.325781567187367,0.962347565723676
"Dennd2a",0.430098522167488,290,-247.147355401782,-247.067410628733,-0.0799447730488509,0.689258229329893,0.985439463818346
"Dennd2b",0.486002886002886,231,-192.91137137447,-192.862656573554,-0.048714800915775,0.754936292596584,0.98679480119485
"Dennd4c",0.568910256410256,104,-80.756206721333,-80.6367957514707,-0.119410969862273,0.625058269597164,0.976102412158868
"Dennd5b",0.399625468164794,178,-138.0295356795,-137.671194615683,-0.358341063817278,0.397234392635787,0.965431296087971
"Dennd6a",0.49702380952381,112,-87.5496703052191,-87.5476627508117,-0.00200755440741318,0.949475947718482,1
