"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"Fus",0.526162790697674,86,0.0780025120012731,8.94094670067278,1,1
"Fut8",0.5,95,0.0223678130284544,5.73241683026804,1,1
"Fxr1",0.597402597402597,77,0.495957494662411,3.43375010222658,1,1
"Fyn",0.574400479616307,139,0.501659854026595,-16.8225212744212,0,0
"Fzd6",0.646198830409357,57,0.726981505593584,-9.33259977832869,0,0
"Gab1",0.525577557755776,101,0.25583890442959,20.5505477750365,1,1
"Gab2",0.539272981920041,238,0.0943923702749548,4.8846452099869,1,1
"Galnt1",0.483122362869198,79,-0.132450296023649,10.1454929173054,1,1
"Galnt18",0.5686,125,0.304854581528421,-12.4991195116228,0,0
"Galnt2",0.420512820512821,65,-0.436099114806674,1.37392966557547,1,1
"Gapvd1",0.412935323383085,67,-0.404390255079335,3.19061420768345,1,1
"Garre1",0.543016938318952,149,0.119298928372344,19.0669720513976,1,1
"Gas6",0.527173913043478,92,0.352301743930881,4.49502037894683,1,1
"Gask1b",0.415750915750916,52,-0.450661409009565,1.86500926349954,1,1
"Gatad2b",0.538513513513514,74,0.200298650485831,-7.08288526985569,0,0
"Gbe1",0.669398907103825,61,0.920565532505595,1.84902635641146,1,1
"Gbf1",0.530208333333333,80,0.142957953842043,6.61904325517438,1,1
"Gcnt2",0.605263157894737,57,0.438121112391885,2.28292308331795,1,1
"Gda",0.292549019607843,85,-0.92114457928876,-12.7800648390403,0,0
"Gdi2",0.604166666666667,60,0.51937415909358,2.742190641805,1,1
"Ghr",0.561865342163355,151,0.56426350805332,14.1573262803229,1,1
"Gigyf2",0.43452380952381,56,-0.347923303420307,-6.44784783090454,0,0
"Gimap6",0.420833333333333,48,-0.478047296804645,-8.455509465676,0,0
"Git2",0.494252873563218,58,0,4.08778746440433,1,1
"Gli3",0.467741935483871,31,-0.559427408614019,3.95282993866862,1,1
"Glis3",0.486044015029522,69,-0.536753407678536,-8.82577901318987,0,0
"Gls",0.458709150326797,170,-0.438884241233211,-3.63896204179795,0,0
"Glud1",0.616858237547893,87,0.649092838140872,8.46035454386622,1,1
"Glul",0.627659574468085,47,0.758991900496205,2.36630396786045,1,1
"Gm12216",0.25,83,-1.46394709975979,-7.46712760236252,0,0
"Gm12353",0.716666666666667,30,1.44745897697122,1.90905486095979,0.97,1
"Gm12940",0.506756756756757,74,0.158697746019058,4.31802712578704,1,1
"Gm15581",0.415032679738562,51,-0.341036917835067,2.45886510161351,1,1
"Gm20631",0.371980676328502,69,-0.69389687227432,4.67661494510857,1,1
"Gm20732",0.582051282051282,65,0.338801913451759,1.80710720088642,1,1
"Gm37376",0.5503300330033,101,0.247927513443585,21.0436721417706,1,1
"Gm56730",1,138,Inf,-5.70535974020459e-09,0,0
"Gmds",0.488309061488673,206,-0.0697089718114046,1.96686176630419,1,1
"Gna13",0.416666666666667,50,-0.526068811667588,2.47162242727463,1,1
"Gnaq",0.527807088744589,240,0.286051058558766,7.30085799498588,1,1
"Gnb1",0.479430379746835,158,0.0117771677763536,-8.66940263344515,0,0
"Gng12",0.445893719806763,69,-0.184424571137427,4.00458456650202,1,1
"Golga4",0.454761904761905,70,-0.14086253583985,2.80572688787424,1,1
"Golim4",0.482587064676617,67,-0.0995356735509141,1.50029011183233,1,1
"Golph3",0.431651376146789,109,-0.381870635343645,24.0874695584666,1,1
"Gpatch2",0.433333333333333,80,-0.549338590990435,3.3059659261281,1,1
"Gpatch8",0.386996336996337,91,-0.594743521513742,9.26388112202501,1,1
"Gpbp1",0.627604166666667,64,0.678071905112638,3.62817963351434,1,1
"Gpcpd1",0.480952380952381,70,-0.0310268956206246,1.67654291447343,1,1
"Gphn",0.540883075258075,176,0.321928094887362,-10.8063189148978,0,0
"Gpm6a",0.410805860805861,91,-0.360175564244326,17.4260950620191,1,1
"Gpr107",0.563218390804598,58,0.426264754702098,2.25968179457202,1,1
"Grb10",0.105504587155963,109,-3.12928301694497,-2.70394411990448,0,0
"Greb1l",0.792018779342723,71,1.88752527074159,-4.70562637667933,0,0
"Grk5",0.500912996777658,133,0.101283335837182,-17.1098144572043,0,0
"Gsk3b",0.375757575757576,55,-0.367731784500487,2.33152983543724,1,1
"Gtdc1",0.521666666666667,50,0.222392421336448,2.66574254730756,1,1
"Gucy1a1",0.337209302325581,43,-0.700439718141092,1.70932657993027,1,1
"Gucy1a2",0.456989247311828,31,-0.37851162325373,8.44092714173861,1,1
"Gulp1",0.486532738095238,96,0.0369942074822016,23.834143418632,1,1
"Gxylt2",0.561111111111111,30,0.176877762084079,3.49877636396672,1,1
"H3f3b",0.383647798742138,53,-0.552541023028779,-10.376073626602,0,0
"Hand2os1",0.465267175572519,131,-0.215728691055437,75.2208898261643,1,1
"Hbb-bs",0.467287234042553,47,-0.166009951438929,-9.43504790238525,0,0
"Hdac4",0.451612903225806,62,-0.362570079384708,3.67072329557773,1,1
"Hdac7",0.432471264367816,116,-0.349584437790228,12.8312804131731,1,1
"Hdac9",0.723660714285714,64,1.25298074116987,-22.0757947028485,0,0
"Hdgfl3",0.479166666666667,76,-0.113210610447991,4.04979273511024,1,1
"Heatr5a",0.494901960784314,85,-0.222392421336448,12.9028578749066,1,1
"Hectd1",0.444187044187044,111,-0.159478214007197,-13.2567673108778,0,0
"Hecw1",0.458333333333333,12,0.280107919192735,-1.76893291689574,0,0
"Hecw2",0.561781609195402,58,0.263034405833794,-13.0386201370032,0,0
"Heg1",0.503772697066392,337,0.0987697085523593,-0.510164210271228,0.06,0.202091503267974
"Helz",0.418859649122807,76,-0.648527629498622,2.33386746939358,1,1
"Herc1",0.45669099756691,137,-0.198779864114498,50.7663099101276,1,1
"Herc2",0.514797507788162,107,-0.0207585601667977,11.0040542149681,1,1
"Herc4",0.466735253772291,81,-0.400537929583729,-10.1906970340604,0,0
"Herc6",0.365885416666667,64,-0.51846708893425,3.70098696796306,1,1
"Hibadh",0.507246376811594,46,0.186413124230882,2.370275559775,1,1
"Hip1",0.533783783783784,111,0.278975949702815,-17.4879913060888,0,0
"Hipk1",0.404040404040404,66,-0.736965594166206,3.06054586122715,1,1
"Hipk3",0.456140350877193,76,-0.355094958822562,4.35065939796337,1,1
"Hivep1",0.457575757575758,55,-0.289506617194985,3.66914347247591,1,1
"Hivep2",0.526840977354797,166,0.119581615752673,-1.04471079517131,0,0
"Hltf",0.647058823529412,51,0.825970600224951,2.47163126290612,1,1
"Hmcn1",0.462650593186505,291,-0.457029128421993,2.23870399373192,0.15,0.504130434782609
"Hnrnpa2b1",0.52991452991453,117,0.187627003175771,26.6963094053015,1,1
"Hnrnpa3",0.57843137254902,51,0.374395514781498,4.15467924428351,1,1
"Hnrnpc",0.573170731707317,82,0.373458395527444,5.29522017259725,1,1
"Hnrnpf",0.589285714285714,56,0.450661409009565,3.7345373488774,1,1
"Hnrnph1",0.560763888888889,96,0.271302021817394,14.7128228017243,1,1
"Hpcal1",0.367647058823529,51,-0.51937415909358,-4.80742536952812,0,0
"Hs2st1",0.452727272727273,55,-0.633872101202102,1.81492764540054,1,1
"Hs3st1",0.408805031446541,53,-0.438121112391885,1.36793116475337,1,1
"Hsp90ab1",0.522798742138365,106,0.0968615392525889,27.8388038952695,1,1
"Hsp90b1",0.366666666666667,55,-0.601450623509725,2.74187826940607,1,1
"Hspa12b",0.530054644808743,61,0.197939377611909,1.36935897101689,1,1
"Hspa4",0.589147286821705,43,0.459431618637297,3.72422277596822,1,1
"Hspa4l",0.617021276595745,47,0.724365557386572,3.09085407084767,1,1
"Hspb1",0.580808080808081,66,0.598637437618233,3.06074292522108,1,1
"Hspg2",0.487784679089027,115,-0.084888897586513,-26.5711515510541,0,0
"Hsph1",0.490566037735849,53,-0.0443941193584534,2.13137639171363,1,1
"Htra3",0.314393939393939,22,-1.37851162325373,-1.23049320349799,0,0
"Hycc1",0.435446009389671,71,-0.352301743930881,-10.3282065178376,0,0
"Ica1",0.726950354609929,47,1.28950661719498,-7.549847707662,0,0
"Id1",0.440842490842491,91,-0.317190175880699,-17.4558133260571,0,0
"Ier2",0.542452830188679,53,0.0874628412503391,3.10578652260904,1,1
"Ifitm10",0.320261437908497,51,-0.874469117916141,0.98032903264388,1,1
"Ifrd1",0.380952380952381,62,-0.506959988719883,3.84993949644962,1,1
"Igf1r",0.580333951762523,154,0.617752435838826,-3.7517845345339,0,0
"Igf2r",0.657291666666667,80,0.856635824828822,4.92584578383278,1,1
"Igfbp4",0.338983050847458,59,-0.975752453753323,4.15373433699519,1,1
"Igfbp5",0.528584508615802,116,0.150779952175609,-3.84504901282045,0,0
"Igfbp6",0.69187675070028,34,1.24792751344359,-3.71927352010654,0,0
"Igfbp7",0.356193320061933,137,-0.744538813871007,-6.29145483107956,0,0
"Ikzf2",0.633333333333333,45,0.84799690655495,0.77811585276487,0.99,1
"Il15",0.581410256410256,52,0.472068444315223,-5.57138902282864,0,0
"Il1r1",0.592740046838408,61,0.497499659470817,-10.0425746529101,0,0
"Il6st",0.537347294938918,191,0.102810805583775,-5.36733667503816,0,0
"Inhba",0.492965367965368,22,0.208586621811418,-8.42140126067757,0,0
"Ino80",0.529279279279279,74,0.0874628412503395,3.80649330300706,1,1
"Ino80d",0.354166666666667,56,-0.758991900496205,3.79015292728761,1,1
"Insr",0.691,100,1.19930880822341,-16.5744899670957,0,0
"Ints6",0.534615384615385,65,0.251538766995964,3.29700432815264,1,1
"Ints8",0.524691358024691,81,0.180572245641821,2.98043329774477,1,1
"Ipo11",0.494366197183099,71,-0.0951572330403403,3.23533808367137,1,1
"Ipo8",0.575471698113208,53,0.362570079384708,1.65092766615394,1,1
"Iqgap1",0.607583774250441,108,0.661831264105427,-19.0518007254782,0,0
"Iqsec1",0.354575163398693,51,-0.841302253980942,-4.58310595081455,0,0
"Irak2",0.422885572139304,67,-0.405256478486258,3.94877358478534,1,1
"Ireb2",0.47953216374269,57,-0.0801703486839833,2.7671846067426,1,1
"Irf2",0.4736,125,-0.28317205140487,42.6754186496071,1,1
"Itga1",0.54954954954955,74,0.074000581443777,-12.8130009831993,0,0
"Itga5",0.595724003887269,49,0.736965594166206,3.22850885646703,1,1
"Itga6",0.678743961352657,69,0.857980995127572,2.64283904621847,1,1
"Itga9",0.558510918179426,181,0.393821013369148,-7.7373792976048,0,0
"Itgb1",0.587843137254902,85,0.520832163301441,6.6295201968852,1,1
"Itgbl1",0.490340909090909,88,-0.15200309344505,17.1340064713442,1,1
"Itpkb",0.542753623188406,69,0.303392143449935,5.74324360984129,1,1
"Itpr1",0.554087301587302,210,0.413075982945558,-0.0587199460955219,0,0
"Itpr2",0.449558312822415,223,-0.358191638874134,0.611270516338806,1,1
"Itsn2",0.432763532763533,117,-0.342105976824993,35.7931997150249,1,1
"Jak1",0.377564102564103,104,-0.242570303274078,27.1218799359059,1,1
"Jam2",0.473577235772358,82,-0.0259952085329442,9.75202972022653,1,1
"Jarid2",0.593532338308458,67,0.475338009546658,5.59551866352625,1,1
"Jcad",0.527777777777778,111,0.216317906926764,23.7474509015451,1,1
"Jmjd1c",0.625602409638554,166,0.580700473866997,-5.98943562109272,0,0
"Kalrn",0.47037037037037,45,0,2.57990762181912,1,1
"Kank1",0.402014652014652,91,-0.447458976971221,17.6145267944219,1,1
"Kansl1",0.46355116514691,188,-0.138328156547973,5.53468137284628,1,1
"Kansl1l",0.64,75,0.812914447399505,-9.71723357897054,0,0
"Kat2b",0.477358490566038,106,-0.187085552600495,15.1598869580154,1,1
"Kat6a",0.513930348258706,67,0.137503523749935,2.39536287392187,1,1
"Kat6b",0.533816425120773,69,0.0324214776923775,4.15647130796792,1,1
"Kcnc2",0.989128036533697,106,5.34182765232507,-7.85393478323695,0,0
"Kcnq1ot1",0.902255639097744,133,2.66051353372833,-2.62963313113911,0,0
"Kcnt2",0.595892853491538,220,0.511363616353868,1.30508760914182,0.98,1
"Kdm2a",0.554347826086957,46,0.415037499278844,3.92198363722085,1,1
"Kdm4c",0.493827160493827,81,-0.0911478880581953,2.33475995238865,1,1
"Kdm5a",0.44,75,-0.308122295362332,3.43177169527378,1,1
"Kdr",0.429078014184397,47,-0.133266530863464,2.6652310683927,1,1
"Khdc4",0.488095238095238,91,0,8.40879586830748,1,1
"Kidins220",0.632850241545894,69,0.683526335204746,2.9607704420747,1,1
"Kif13a",0.458892276422764,164,-0.0931094043914815,-11.7512154360679,0,0
"Kif13b",0.563888888888889,60,0.263034405833794,2.25911959113466,1,1
"Kif1b",0.482291666666667,112,-0.0671141958585366,-4.6036348474934,0,0
"Kif26b",0.307926829268293,41,-0.765534746362977,2.30957457708099,1,1
"Kif5b",0.39,100,-0.540568381362703,19.2774415355021,1,1
"Kirrel1",0.526315789473684,38,0.321928094887362,1.73799646313348,1,1
"Kitl",0.54,70,0.164386817900882,-7.0738583259475,0,0
"Klf12",0.442636469221835,205,-0.290128066716069,6.23720477624255,1,1
"Klf13",0.481684981684982,91,-0.137503523749935,13.0807184635266,1,1
"Klf3",0.463203463203463,77,0,-11.8107145745577,0,0
"Klf4",0.518041237113402,97,0.139403056665417,15.2430065579864,1,1
"Klf6",0.391139240506329,79,-0.584962500721157,7.96245362281451,1,1
"Klf7",0.603508030431107,169,0.520473774269443,-14.5568336634646,0,0
"Klhdc10",0.576719576719577,63,0.584962500721156,3.67139679435742,1,1
"Klhl2",0.501572327044025,53,-0.106915203916512,3.23746890069597,1,1
"Klhl5",0.578333333333333,100,0.408805545567329,12.8309590391433,1,1
"Kmt2a",0.511904761904762,98,0.0497530351970998,6.28666935691236,1,1
"Kmt2c",0.497179487179487,130,0.119052671643763,-27.7051664660691,0,0
"Kmt2e",0.456552706552707,117,-0.144389909335175,27.37196977338,1,1
"Kpna4",0.472527472527473,91,-0.189477798863713,14.1454780846549,1,1
"Kras",0.488505747126437,87,-0.106915203916512,5.3487314500549,1,1
"Krit1",0.537545787545788,91,0.096215315259303,8.74186707833539,1,1
"Ksr1",0.4256038647343,69,-0.514573172829758,4.04711043099707,1,1
"Ktn1",0.437893081761006,106,-0.299560281858908,24.4677107824723,1,1
"Lama2",0.385034013605442,63,-0.572889668420581,-21.3075744795417,0,0
"Lamc1",0.516772748703442,101,0.153474480661718,-19.7077115254188,0,0
"Lats1",0.637254901960784,34,0.857980995127572,7.49296880053581,1,1
"Lats2",0.5042194092827,79,0.0297473433940518,3.04317098436823,1,1
"Ldb2",0.576203505706161,109,0.520832163301441,-10.5086980480496,0,0
"Ldlrad4",0.499915966386555,170,0.0318840610197859,2.53969897404494,1,1
"Lhfpl6",0.463666666666667,100,-0.241008099503795,-14.1720312478095,0,0
"Lifr",0.625892857142857,112,0.643856189774725,31.1301299710317,1,1
"Lima1",0.578623188405797,92,0.402759169500407,17.2947853482326,1,1
"Limch1",0.49447983014862,157,0.230119783361059,-11.7626981454874,0,0
"Lims1",0.490202702702703,148,-0.0388192488905279,6.02111147017868,1,1
"Lims2",0.537558685446009,71,0.308122295362332,3.43073570249202,1,1
"Lin52",0.471153846153846,52,-0.0874628412503391,2.58641235410252,1,1
"Litaf",0.584791059280855,49,0.381870635343645,-7.50805542743831,0,0
"Lmbr1",0.607142857142857,42,0.887525270741588,0.738283541486247,1,1
