gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
Suclg2,F1_Young,1.44060231602024e-19,0.1395,shared,1.20166999865888e-36,0.0479,Mesothelial
Tmtc1,F1_Young,2.03067077358623e-5,0.7002,shared,3.978509223332e-4,0.715,Mesothelial
Ube4b,F1_Young,6.23649970204624e-13,0.8874,shared,6.91048155279425e-5,0.7873,Mesothelial
Usp25,F1_Young,0.0506202392454103,0.3302,shared,0.0584616515053125,0.3556,Mesothelial
Zeb1,F1_Young,7.5944068249825e-4,0.7083,shared,6.03786701612557e-5,0.7335,Mesothelial
Adgrd1,F1_Aged,9.7628517745151e-4,0.2567,aged_only,0.835960490155789,0.534,Mesothelial
Adk,F1_Aged,0.00102004525116808,0.3975,aged_only,0.33623027854692,0.471,Mesothelial
Adra1a,F1_Aged,0.00312376439021619,0.1273,aged_only,0.22993571517535,0.3121,Mesothelial
Aldh1a2,F1_Aged,0.0996079328829345,0.7023,aged_only,0.578566419776803,0.6376,Mesothelial
Ankrd12,F1_Aged,0.0082382367576105,0.6364,aged_only,0.410919140440617,0.5932,Mesothelial
App,F1_Aged,0.0901790230212693,0.3915,aged_only,0.103610566188678,0.4296,Mesothelial
Arhgap29,F1_Aged,0.0916155637950739,0.7084,aged_only,1,0.5617,Mesothelial
Bmpr1b,F1_Aged,0.0407696317410246,0.6839,aged_only,0.590778860927754,0.5992,Mesothelial
Btbd9,F1_Aged,0.0287876751969908,0.403,aged_only,0.340980003781715,0.4222,Mesothelial
Cobll1,F1_Aged,0.0207303794632007,0.6629,aged_only,0.193811120037175,0.6022,Mesothelial
Corin,F1_Aged,0.0644149217778977,0.6648,aged_only,1,0.5668,Mesothelial
Cp,F1_Aged,0.0243425826906829,0.7293,aged_only,0.716465344726399,0.6015,Mesothelial
Creb5,F1_Aged,0.0535684515252801,0.7127,aged_only,1,0.4321,Mesothelial
Crtc3,F1_Aged,0.0362013359598009,0.6942,aged_only,0.91291165621934,0.5648,Mesothelial
Csgalnact1,F1_Aged,0.0812442678318238,0.3041,aged_only,0.963642949362851,0.4599,Mesothelial
Dcn,F1_Aged,0.0228844925793055,0.6057,aged_only,0.395419254259213,0.5762,Mesothelial
Dnm1l,F1_Aged,0.0283606098709164,0.3153,aged_only,0.820100313690085,0.5625,Mesothelial
Dst,F1_Aged,0.0988161034542078,0.447,aged_only,1,0.5173,Mesothelial
Fbxl7,F1_Aged,0.0343449726217036,0.6777,aged_only,0.816884567697812,0.5508,Mesothelial
Fhl2,F1_Aged,0.0114140538387888,0.6487,aged_only,0.30014840208585303,0.6001,Mesothelial
Flnb,F1_Aged,0.0911125823810322,0.6114,aged_only,1,0.507,Mesothelial
Frmd4b,F1_Aged,0.0348982556105024,0.5984,aged_only,0.544304778330874,0.5662,Mesothelial
Gli2,F1_Aged,5.0010437497622e-4,0.2329,aged_only,0.33623027854692,0.4204,Mesothelial
Gpr39,F1_Aged,6.5733908430316e-4,0.2674,aged_only,0.72327290066832,0.4414,Mesothelial
Hadhb,F1_Aged,0.0501376439859327,0.6826,aged_only,0.340980003781715,0.3976,Mesothelial
Itpr2,F1_Aged,7.3943762465139e-4,0.2653,aged_only,0.150809440593882,0.2998,Mesothelial
Kcnd3,F1_Aged,0.0771225798785414,0.3706,aged_only,0.485664292764729,0.3925,Mesothelial
Lrp6,F1_Aged,0.00730536189116718,0.6761,aged_only,1,0.5057,Mesothelial
Lrrfip2,F1_Aged,0.0916155637950739,0.6353,aged_only,0.374364034525433,0.429,Mesothelial
Man1a,F1_Aged,0.0688174413504408,0.379,aged_only,0.143492166981407,0.3816,Mesothelial
