gene,sex,ratio,celltype,condition
Airn,M,0.9285714285714286,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9230769230769231,Cardiomyocyte,F1_Aged
Airn,M,0.95,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8888888888888888,Cardiomyocyte,F1_Aged
Airn,M,0.9090909090909091,Cardiomyocyte,F1_Aged
Airn,M,0.95,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8888888888888888,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.5714285714285714,Cardiomyocyte,F1_Aged
Airn,M,0.8181818181818182,Cardiomyocyte,F1_Aged
Airn,M,0.9,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9473684210526315,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.7241379310344828,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.875,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.75,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.896551724137931,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9375,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.875,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.6153846153846154,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9411764705882353,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.7777777777777778,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8181818181818182,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.5714285714285714,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,0.8,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9285714285714286,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.525,Cardiomyocyte,F1_Aged
Airn,M,0.4666666666666667,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9090909090909091,Cardiomyocyte,F1_Aged
Airn,M,0.6666666666666666,Cardiomyocyte,F1_Aged
Airn,M,0.9375,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9285714285714286,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.875,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9333333333333333,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
Airn,M,0.9629629629629629,Cardiomyocyte,F1_Aged
Airn,M,0.5,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9285714285714286,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.2,Cardiomyocyte,F1_Aged
Airn,M,0.9473684210526315,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.5555555555555556,Cardiomyocyte,F1_Aged
Airn,M,0.9285714285714286,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8888888888888888,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8,Cardiomyocyte,F1_Aged
Airn,M,0.8888888888888888,Cardiomyocyte,F1_Aged
Airn,M,0.5833333333333334,Cardiomyocyte,F1_Aged
Airn,M,0.75,Cardiomyocyte,F1_Aged
Airn,M,0.8888888888888888,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.7142857142857143,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9285714285714286,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8823529411764706,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8888888888888888,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8461538461538461,Cardiomyocyte,F1_Aged
Airn,M,0.9411764705882353,Cardiomyocyte,F1_Aged
Airn,M,0.4666666666666667,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9333333333333333,Cardiomyocyte,F1_Aged
Airn,M,0.6666666666666666,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
