"","N","AR","tot_gene_mean","tot_gene_variance","alpha","beta","bb_mu","bb_theta","phi","id","theta_smoothed","thetaCorrected","theta_common","resid","AR.1","N.1","log2FC","loglik0_mean","loglik1_mean","llr_mean","pval_mean"
"Syvn1",17,0.666666666666667,2.05882352941176,0.0588235294117647,5.39400598181109,2.81426399051718,0.657142857142293,0.12182835157362,1.11642290159084,6710,26.470549585172,17.3774836506447,26.470549585172,-26.3487212335984,0.473029045643153,17,-0.116324117967213,-179.677380475963,-196.360480529168,16.6831000532044,1
"Szrd1",55,0.574242424242424,2.14545454545455,0.163636363636364,0.177724033599831,0.135282473337191,0.567796610169481,3.19482176196805,1.868557798038,6711,13.5669949865431,10.0960224411728,13.5669949865431,-10.3721732245751,0.619047619047619,55,0.670692374747036,-314.471171976125,-306.270513358746,-8.20065861737908,5.12496021820321e-05
"Tab1",160,0.435416666666667,2.2,0.249056603773585,0.310889939961513,0.395131084983342,0.440340909090909,1.41638841432251,1.70323101317062,6712,8.80437288964077,6.3024082299964,8.80437288964077,-7.38798447531826,0.44344870210136,160,-0.287768430188474,-639.715402698136,-633.022461641564,-6.69294105657241,0.000253525388021327
"Tab2",307,0.476167209554832,2.25732899022801,0.413957548274467,0.347068150185735,0.39071782551545,0.470418470418721,1.35540662595221,1.72336357085659,6713,5.72718282557479,4.26450371145378,5.72718282557479,-4.37177619962258,0.481596549234219,307,-0.146422061181741,-1022.39935297535,-1020.92186067905,-1.47749229630199,0.0856131224004508
"Tacc1",1051,0.278478168939634,2.74976213130352,1.41065470526934,0.352321781549827,0.87443719264268,0.287197231861896,0.815156050240621,1.78660270541575,6714,1.24803665625512,1.12668736276387,1.24803665625512,-0.432880606014498,0.275050363700278,1051,-1.35989594508637,-2134.12590605039,-1836.14778306449,-297.978122985906,1.2686815654279e-131
"Tacc2",4210,0.602694449186961,4.95961995249407,11.5022892354297,3.65707963487761,2.26182764178671,0.617863984674314,0.168950104006962,1.5686987524123,6715,0.421279280258467,0.33998494582006,0.421279280258467,-0.252329176251505,0.604034991383211,4210,0.672804738772352,-7193.24187108119,-7013.32654728158,-179.915323799613,3.06520822090918e-80
"Taco1",17,0.470588235294118,2,0,0.000471059295469906,0.000529941705531096,0.470588236174436,998.999999999999,2.43473000035049,6716,42.6925375824191,407.319426614416,42.6925375824191,956.30746241758,0.481081081081081,17,-0.258068152940446,-128.420280061787,-128.172902456005,-0.247377605781196,0.481813746746293
"Tada1",15,0.488888888888889,2.13333333333333,0.123809523809524,0.281841112389236,0.281841112387422,0.50000000000161,1.77404920014325,1.70239219119483,6717,14.8766823654684,10.4139879320503,14.8766823654684,-13.1026331653251,0.471048513302034,15,-0.160464672193238,-156.885042975446,-156.633914771445,-0.251128204000537,0.478510350429944
"Tada2a",100,0.581666666666667,2.16,0.155959595959596,0.31809560090033,0.23157359745544,0.578703703703704,1.81927603546153,1.74800142349214,6718,12.1351160826425,8.63616074850076,12.1351160826425,-10.3158400471809,0.51328689370485,100,0.0470682536567799,-496.667724913281,-502.404768313684,5.73704340040354,1
"Tada3",30,0.538888888888889,2.1,0.0931034482758621,0.000556111667193734,0.000444889333807268,0.55555555552654,998.999999999999,2.12076602059184,6719,19.1681450298038,391.917161739286,19.1681450298038,979.831854970195,0.470767888307155,30,-0.176619654016319,-290.600916902538,-294.998529366321,4.39761246378265,1
"Taf11",18,0.564814814814815,2.05555555555556,0.0555555555555556,0.226368372419809,0.172471140956845,0.567567567474269,2.50727414526661,1.75653677826327,6720,27.1694851715754,18.7409673783261,27.1694851715754,-24.6622110263088,0.533255086071988,18,0.111892880070895,-167.148831105364,-167.598870461386,0.450039356021932,1
"Taf12",70,0.419047619047619,2.12857142857143,0.113664596273292,0.241088228863094,0.311560172682084,0.436241610740252,1.80946872768301,1.72991082040854,6721,15.4236751168182,10.7855741895729,15.4236751168182,-13.6142063891352,0.451041666666667,70,-0.29589023398584,-356.178231731526,-353.415371316051,-2.76286041547439,0.0187388806740472
"Taf13",28,0.282738095238095,2.35714285714286,0.608465608465608,0.200213163043811,0.42902820636646,0.318181818260697,1.58921528147014,1.88900770593031,6722,3.26852628804555,2.74352105060993,3.26852628804555,-1.67931100657541,0.430094786729858,28,-0.513261035366976,-158.260622372591,-160.509500664524,2.24887829193344,1
"Taf15",377,0.518435013262599,2.27055702917772,0.352136125063492,0.667849253235777,0.602548437364119,0.525700934579322,0.787155083324961,1.5596184862222,6723,5.24314108681267,3.73179247172052,5.24314108681267,-4.4559860034877,0.518388770936542,377,0.0861566437497125,-1161.97322546599,-1161.86529561741,-0.107929848579033,0.642212893285868
"Taf1a",29,0.64367816091954,2.06896551724138,0.0665024630541871,0.881844698676739,0.510541670042568,0.633333332247316,0.718191460693329,1.4474681072452,6724,24.4219067132573,16.2626305721035,24.4219067132573,-23.7037152525639,0.569066147859922,29,0.362570079384706,-198.941453434359,-199.433464279835,0.492010845476074,1
