"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"Ncoa3",0.4894,0.54077380952381,56,0.1081,0.0935700863754026,0.0802147119240316,-0.14086253583985,-0.0432982331543101,0.768549474242023,1
"Ncoa6",0.5178,0.491869918699187,41,0,0.0653706460451193,0.0998427667262455,0.0962153152593033,-0.0254233658115055,0.821596393735885,1
"Ncor1",0.4595,0.465202702702703,74,3e-04,0.0503886483031109,0.0767862621749514,-0.236440195822081,-0.0710442499114095,0.706213525605056,1
"Ndel1",0.5361,0.547619047619048,35,0.3796,0.236718810312383,0.141380529617112,0.184424571137427,-0.000815543321234458,0.967784822549492,1
"Ndfip1",0.473,0.468253968253968,57,0.2941,0.164101078543525,0.0800590472954766,-0.0641303374197155,-0.172687600250903,0.556742865304421,1
"Ndrg2",0.6316,0.550925925925926,36,1e-04,0.0696676948661908,0.106347792625629,0.777607578663552,-0.563004802626313,0.288628100593283,1
"Ndrg3",0.3947,0.385135135135135,37,1.0787,0.480895114976046,0.108841138940081,-0.415037499278844,-0.0413529720393839,0.773663347706096,1
"Ndufa10",0.4045,0.396825396825397,42,0.5535,0.279819593600368,0.106347792625629,-0.563900885193326,-0.465649960709897,0.334525368976806,1
"Ndufab1",0.5651,0.555555555555556,33,2e-04,0.0959984591497416,0.146505646608039,0.37851162325373,0.255705277304479,1,1
"Ndufaf4",0.5722,0.572445225968146,62,0.0967,0.0879638706309132,0.0782641517436148,0.485426827170242,0.0720186455306617,1,1
"Ndufb3",0.6005,0.647222222222222,30,0.3645,0.22787841932964,0.13663630578947,0.362570079384708,0.0416984036264125,1,1
"Ndufs4",0.5257,0.54782321503633,61,0.0584,0.0738384056973423,0.0789038583017407,0.10383581098454,-0.592036115729449,0.276528526752067,1
"Ndufv2",0.5624,0.573611111111111,24,0.1701,0.172394624648225,0.164646056712723,0.337034987277571,-0.0733575849150725,0.701694433978856,1
"Neat1",0.5083,0.53418308573399,112,0.0523,0.0622477999055051,0.0647391397223415,0.0355142866129383,-1.71429822239853,0.0640765357915453,1
"Nebl",0.501,0.475303454715219,51,0.7403,0.334219882440425,0.0810911671140088,0.070389327891398,-0.166816928682515,0.563527135253181,1
"Nedd4",0.4781,0.47591849473872,89,0.1424,0.105558802476069,0.0786314776484488,-0.0852472866185109,0.0394001407257178,1,1
"Nedd4l",0.568,0.556737588652482,47,2e-04,0.0527063361951026,0.0803841441486534,0.394278939112046,-0.00951420361865729,0.890285076580384,1
"Nedd9",0.5283,0.552657004830918,46,0.0962,0.0902393270185596,0.0820295321330134,0.103093492964104,-0.442810670714621,0.346666647676837,1
"Nek1",0.4697,0.468468468468468,37,0.2834,0.168566484688315,0.093085210947286,-0.090197808971578,0.0444609947040107,1,1
"Nek7",0.5332,0.540357142857143,60,1e-04,0.0518754134412023,0.0791730481291963,0.189824558880017,-0.0369649669803067,0.785698453159217,1
"Nek9",0.6207,0.615740740740741,36,0.1684,0.147847391627238,0.128140249478669,0.70626879694329,0.0150363069209547,1,1
"Nemf",0.6162,0.617117117117117,37,0.4767,0.254039174958886,0.111516499887205,0.695145418471579,-0.0870504780967991,0.676492582213095,1
"Neo1",0.6062,0.584832702020202,48,0.1661,0.11662416447723,0.0817859738782226,0.73039294024272,-0.0899960500235295,0.671380029722654,1
"Nexn",0.5557,0.556833642547928,77,0.0273,0.0624754925340482,0.0795869022636697,0.297266040653093,-0.522137706249637,0.306829204617329,1
"Nf1",0.5289,0.52250566893424,84,0.1264,0.0983485030215269,0.076898946948212,0.217905030344134,-1.45815700026277,0.0876879613174473,1
"Nf2",0.5024,0.51965811965812,39,0.7973,0.369463092270151,0.101859296260611,-0.146841388329271,-2.10575618438159,0.040150524665386,1
"Nfat5",0.4813,0.493219791904002,76,0.1226,0.0968780977329047,0.0768571479373898,-0.145850866463455,0.0482241219467028,1,1
"Nfe2l2",0.5596,0.568604651162791,43,0.0027,0.0534031963965175,0.0799984819629476,0.345135486048687,-0.00494825449967351,0.920756214689924,1
"Nfia",0.5106,0.489060292164867,108,0.0693,0.0771862991304724,0.0776952075386082,0.0793434313662227,-0.421716424917236,0.358416816171808,1
"Nfib",0.4898,0.489051365301365,110,0.0722,0.0779559649695394,0.0771887438301431,-0.0427848664967965,-1.02278169847006,0.152650461748741,1
"Nfix",0.4799,0.485714285714286,35,2.3197,0.964796758715846,0.128140249478669,-0.231325546106456,-0.506994174752258,0.313949246239476,1
"Nfkb1",0.4506,0.471479229989868,47,5e-04,0.0526599795249275,0.0801393420610726,-0.286304185156641,-0.182274836237177,0.545990257236063,1
"Nfkbia",0.5383,0.565900383141762,29,1e-04,0.0791138842934853,0.120775272610917,0.222392421336448,-0.0705247555055273,0.707239877603355,1
"Nfkbiz",0.4958,0.490909090909091,22,0.1689,0.16369585466479,0.152056135358022,-0.0641303374197157,-0.772129600050498,0.213984943512748,1
"Nfx1",0.4544,0.392753623188406,46,0.1173,0.107541909097242,0.0962183424945206,-0.186413124230881,-0.0141344889969943,0.866478011581209,1
"Nfyc",0.5151,0.539160839160839,66,0.0187,0.0578968989790649,0.0775818637073585,0.0769619818148841,0.0548317115649013,1,1
"Nherf2",0.4509,0.448275862068966,29,0.8264,0.417325538180107,0.15808320531375,-0.263034405833794,-0.253224491564929,0.476680117846686,1
"Nhlrc2",0.4667,0.446078431372549,51,1e-04,0.0524555089232714,0.0800590472954766,-0.192645077942396,-0.0937306405704916,0.665038024157161,1
"Nhsl1",0.4679,0.475378787878788,44,0.2329,0.145444102099087,0.0870596252726716,-0.20945336562895,-0.0356942239008617,0.789325826303225,1
"Nipbl",0.5878,0.589094650205761,81,0.2357,0.139722354830011,0.076696609943703,0.480328959530563,0.069795576571309,1,1
"Nipsnap2",0.5199,0.527236794825728,66,0.0753,0.0786102685259641,0.0763900834619892,0.174029399775049,-0.734940317602934,0.225364527719796,1
"Nktr",0.5858,0.549152542372881,59,0.0795,0.0829352430969541,0.0805597612900813,0.57550217147209,0.0527024486994065,1,1
"Nlk",0.4255,0.423564425770308,68,0.068,0.0776602235677846,0.0791730481291963,-0.445799753049531,-0.101691727891719,0.65200356778281,1
"Nnt",0.5936,0.556320450885668,69,0.0707,0.0775479410501682,0.0774355552972903,0.567888987362215,-0.00418547756569865,0.927100928532098,1
