gene,pval,padj,celltype,condition,chromosome
4930522O17Rik,6.76018318286319e-13,5.2683889845542395e-12,Cardiomyocyte,F1_Aged,4
4930544I03Rik,0.0131768715937891,0.0644437378967384,Cardiomyocyte,F1_Aged,12
4930557K07Rik,0.0476513624031205,0.213486862235973,Cardiomyocyte,F1_Aged,6
5031425E22Rik,1.2284871639556399e-199,6.92701585726246e-198,Cardiomyocyte,F1_Aged,5
5830417I10Rik,1.7103540032431199e-12,1.3176205926247199e-11,Cardiomyocyte,F1_Aged,3
9330159M07Rik,3.87602103867461e-103,6.26701233000159e-102,Cardiomyocyte,F1_Aged,9
9330162G02Rik,2.01145826122988e-5,1.2474015649586e-4,Cardiomyocyte,F1_Aged,7
9430037G07Rik,1.17639303495187e-13,9.31947728987843e-13,Cardiomyocyte,F1_Aged,9
9530026P05Rik,4.69141143652198e-142,1.0968421860300498e-140,Cardiomyocyte,F1_Aged,6
A330102I10Rik,9.56892095123757e-10,6.90402791212947e-9,Cardiomyocyte,F1_Aged,13
A730017L22Rik,1.5822389337213e-13,1.24903802885528e-12,Cardiomyocyte,F1_Aged,2
A930029G22Rik,3.35513084337251e-8,2.33294590249011e-7,Cardiomyocyte,F1_Aged,17
AI839979,2.04849401799026e-10,1.5121446491435202e-9,Cardiomyocyte,F1_Aged,5
AW011738,2.8426232728222e-4,0.00163444748591577,Cardiomyocyte,F1_Aged,4
Aaas,0.00116900806681141,0.00638246064141951,Cardiomyocyte,F1_Aged,15
Aak1,1.1470096761163598e-214,8.846476927288269e-213,Cardiomyocyte,F1_Aged,6
Aasdh,0.0532246137111586,0.234034834863614,Cardiomyocyte,F1_Aged,5
Abca8a,0.0268019474950728,0.12515036025883,Cardiomyocyte,F1_Aged,11
Abcb4,0.00109716709883252,0.00599999285506619,Cardiomyocyte,F1_Aged,5
Abcc5,2.2784723775334e-4,0.00131911558699306,Cardiomyocyte,F1_Aged,16
Abcc9,0.00650712095108635,0.033052824815889,Cardiomyocyte,F1_Aged,6
Abcd3,2.19643469467786e-62,2.65550933356549e-61,Cardiomyocyte,F1_Aged,3
Abhd18,2.2507269625498396e-231,2.43586740624346e-229,Cardiomyocyte,F1_Aged,3
Abhd2,1.52311232067805e-14,1.21667662758925e-13,Cardiomyocyte,F1_Aged,7
Abhd6,1.2607521096578402e-9,9.05743753298086e-9,Cardiomyocyte,F1_Aged,14
Abi2,0.07731969239652,0.32124776221712,Cardiomyocyte,F1_Aged,1
Abra,2.6240599087961598e-104,4.29449804585909e-103,Cardiomyocyte,F1_Aged,15
Abtb2,1.8918786448853002e-74,2.47456251601957e-73,Cardiomyocyte,F1_Aged,2
Abtb3,0.00762791377770523,0.0384547719371916,Cardiomyocyte,F1_Aged,10
Acaa2,0.00938069070711498,0.046625507144253,Cardiomyocyte,F1_Aged,18
Acaca,0.0204141058828129,0.0975631413630163,Cardiomyocyte,F1_Aged,11
Acacb,7.88226135588032e-134,1.72280044618752e-132,Cardiomyocyte,F1_Aged,5
Acad12,1.5455774408778e-4,9.0416954039149e-4,Cardiomyocyte,F1_Aged,5
Acadl,1.45463907735735e-52,1.62406459385488e-51,Cardiomyocyte,F1_Aged,1
Acadsb,0.0343657057424227,0.158157671832412,Cardiomyocyte,F1_Aged,7
Acat1,1.19547098055431e-42,1.2340938891568399e-41,Cardiomyocyte,F1_Aged,9
Aco2,9.25667855194745e-105,1.51863846170091e-103,Cardiomyocyte,F1_Aged,15
Acox1,1.69542139214795e-196,8.618392076752079e-195,Cardiomyocyte,F1_Aged,11
Acsf2,0.0516004331696407,0.228088871257107,Cardiomyocyte,F1_Aged,11
Acsl1,2.79578582951361e-243,4.0782006339209395e-241,Cardiomyocyte,F1_Aged,8
Acsl6,0.0349185250482102,0.160481714433897,Cardiomyocyte,F1_Aged,11
Acsm5,1.23716214616736e-119,2.3253103643649795e-118,Cardiomyocyte,F1_Aged,7
Acss1,7.04514468624226e-110,1.19376062739105e-108,Cardiomyocyte,F1_Aged,2
Acss3,0.00745962406282593,0.0376629627250278,Cardiomyocyte,F1_Aged,10
Actc1,1.9278161601232498e-91,2.83055720665798e-90,Cardiomyocyte,F1_Aged,2
Actc1dt,5.5942166036883805e-61,6.739172964227829e-60,Cardiomyocyte,F1_Aged,Unknown
Actg1,3.40905892829673e-47,3.65996566541937e-46,Cardiomyocyte,F1_Aged,11
Actr3b,0.0610315282839609,0.263632335121851,Cardiomyocyte,F1_Aged,5
Adam17,0.0296053808176128,0.137190680446258,Cardiomyocyte,F1_Aged,12
Adam19,1.3249301357195099e-159,3.7830983875224995e-158,Cardiomyocyte,F1_Aged,11
Adam22,3.7307054032112695e-75,4.9180811896950104e-74,Cardiomyocyte,F1_Aged,5
Adamts9,3.362948752872559e-171,1.16316423359664e-169,Cardiomyocyte,F1_Aged,6
Adamtsl5,2.31551991269832e-169,7.729919708560058e-168,Cardiomyocyte,F1_Aged,10
Adcy5,9.5046259617988e-4,0.00521898856003846,Cardiomyocyte,F1_Aged,16
Adcy8,4.0920861305546194e-84,5.6848649971059e-83,Cardiomyocyte,F1_Aged,15
Adh5,0.0067780854087242,0.0343252476170109,Cardiomyocyte,F1_Aged,3
Adprhl1,4.083224753576589e-205,2.7675189996463595e-203,Cardiomyocyte,F1_Aged,8
Adra1a,4.8047659441426594e-45,5.085170265803979e-44,Cardiomyocyte,F1_Aged,14
Adra1b,9.6953498489726e-11,7.18848591012223e-10,Cardiomyocyte,F1_Aged,11
Adss1,0.067390425739989,0.286196048554004,Cardiomyocyte,F1_Aged,Unknown
Aff1,1.07027442113216e-115,1.8998786682001998e-114,Cardiomyocyte,F1_Aged,5
Aff4,0.0220628316112728,0.104623038948156,Cardiomyocyte,F1_Aged,11
Afg1l,1.40394738471074e-80,1.9031286770523402e-79,Cardiomyocyte,F1_Aged,10
Afg3l2,1.33949030911302e-88,1.9328989191716897e-87,Cardiomyocyte,F1_Aged,18
Agbl3,1.95772171900421e-12,1.5064578823988798e-11,Cardiomyocyte,F1_Aged,6
Agfg1,0.0529628313017027,0.233189368788993,Cardiomyocyte,F1_Aged,1
Agl,2.6314643663441398e-166,8.212616696822869e-165,Cardiomyocyte,F1_Aged,3
Agtpbp1,5.09076005333133e-197,2.60755724869108e-195,Cardiomyocyte,F1_Aged,13
Aig1,1.15478456426046e-167,3.7074662326256793e-166,Cardiomyocyte,F1_Aged,10
Airn,0,0,Cardiomyocyte,F1_Aged,17
Akap13,1.6854030594470898e-201,1.0569209840084098e-199,Cardiomyocyte,F1_Aged,7
Alcam,9.83698295804783e-6,6.17457021969139e-5,Cardiomyocyte,F1_Aged,16
Alkbh3,0.0476607033725019,0.213486862235973,Cardiomyocyte,F1_Aged,2
Alpk2,1.71619288361621e-72,2.21454889405091e-71,Cardiomyocyte,F1_Aged,18
Alpk3,2.7887508311952796e-148,6.982282864671758e-147,Cardiomyocyte,F1_Aged,7
Alpl,0.00262935098765217,0.0139359756138595,Cardiomyocyte,F1_Aged,4
Amd1,2.00157099705898e-186,8.664865413074679e-185,Cardiomyocyte,F1_Aged,10
Ammecr1l,0.00228549681773298,0.0121905275413261,Cardiomyocyte,F1_Aged,18
Amph,8.53918605595334e-5,5.0796044712275e-4,Cardiomyocyte,F1_Aged,13
Angpt1,1.59556685453779e-86,2.27308993502093e-85,Cardiomyocyte,F1_Aged,15
Ank,5.265761960368e-12,4.01971134858581e-11,Cardiomyocyte,F1_Aged,15
Ank3,9.6992996896103e-48,1.04465972579912e-46,Cardiomyocyte,F1_Aged,10
Ankhd1,1.02731574782875e-33,9.83350737222672e-33,Cardiomyocyte,F1_Aged,18
Ankra2,2.0139161623812801e-53,2.26354731148716e-52,Cardiomyocyte,F1_Aged,13
Ankrd1,4.99308940060279e-8,3.43979772875203e-7,Cardiomyocyte,F1_Aged,19
Ankrd11,1.8155353054754599e-177,6.92172835212521e-176,Cardiomyocyte,F1_Aged,8
Ankrd17,6.29451637859402e-110,1.06927101013585e-108,Cardiomyocyte,F1_Aged,5
Ankrd23,1.02766166521654e-74,1.34943439796536e-73,Cardiomyocyte,F1_Aged,1
Ankrd55,6.5140434770559e-4,0.0036424359775871,Cardiomyocyte,F1_Aged,13
Anks6,1.68805467824195e-12,1.3019364242532799e-11,Cardiomyocyte,F1_Aged,4
Ano4,3.28316952527308e-199,1.82175093462997e-197,Cardiomyocyte,F1_Aged,10
Ano5,9.25362579866318e-7,6.04006119737645e-6,Cardiomyocyte,F1_Aged,7
Aopep,1.44038572585346e-51,1.60016361266171e-50,Cardiomyocyte,F1_Aged,13
Aox1,1.6420144016255999e-180,6.51947729876201e-179,Cardiomyocyte,F1_Aged,1
Ap3s1,0.0868516628543931,0.352769163288727,Cardiomyocyte,F1_Aged,18
Apbb2,1.38876067223695e-48,1.5054255429256702e-47,Cardiomyocyte,F1_Aged,5
Apc,2.05697090739839e-50,2.27011098497421e-49,Cardiomyocyte,F1_Aged,18
Appbp2,0.0109519697632663,0.0540350861114094,Cardiomyocyte,F1_Aged,11
Appl2,2.2510902290867096e-30,2.09789103294053e-29,Cardiomyocyte,F1_Aged,10
Arhgap1,0.0511823003257567,0.226539073341575,Cardiomyocyte,F1_Aged,2
Arhgap10,1.01251356680325e-111,1.7420425726281602e-110,Cardiomyocyte,F1_Aged,8
Arhgap15,0.00552230412399561,0.0282428816097642,Cardiomyocyte,F1_Aged,2
Arhgap20,1.9750935633948098e-55,2.2693283921882198e-54,Cardiomyocyte,F1_Aged,9
Arhgap21,1.4463799528967998e-169,4.901620951483609e-168,Cardiomyocyte,F1_Aged,2
Arhgap24,1.05020456267916e-16,8.69984273528048e-16,Cardiomyocyte,F1_Aged,5
Arhgap32,0.099420943547619,0.398039696422747,Cardiomyocyte,F1_Aged,9
Arhgef12,9.26176631911315e-117,1.66612471853215e-115,Cardiomyocyte,F1_Aged,9
Arid1b,4.58391776092781e-131,9.61190255494549e-130,Cardiomyocyte,F1_Aged,17
Arid5b,4.2277130611761e-84,5.86114765299414e-83,Cardiomyocyte,F1_Aged,10
Arih1,8.46780934298075e-108,1.41340797739803e-106,Cardiomyocyte,F1_Aged,9
Arl5b,0.0688697804573819,0.291740042215298,Cardiomyocyte,F1_Aged,2
Art1,1.92285043845204e-239,2.4812166234640796e-237,Cardiomyocyte,F1_Aged,7
Art3,8.35146857468595e-185,3.4806431140461294e-183,Cardiomyocyte,F1_Aged,5
Asap1,3.7166528388559697e-150,9.591823287970608e-149,Cardiomyocyte,F1_Aged,15
Asb14,1.8735870408515002e-54,2.13080831256163e-53,Cardiomyocyte,F1_Aged,14
Asb18,1.3545304278280399e-101,2.1436082949825797e-100,Cardiomyocyte,F1_Aged,1
Asb2,1.38666242236176e-109,2.34370399346283e-108,Cardiomyocyte,F1_Aged,12
Asb8,0.0447735337143367,0.201631148471946,Cardiomyocyte,F1_Aged,15
Ash1l,3.05132995108774e-149,7.755463625681339e-148,Cardiomyocyte,F1_Aged,3
Asph,1.17452371849307e-101,1.8631333690516496e-100,Cardiomyocyte,F1_Aged,4
Asrgl1,0.0108319273193204,0.0534821429820748,Cardiomyocyte,F1_Aged,19
Atad2,1.8160449848186502e-10,1.34203324318647e-9,Cardiomyocyte,F1_Aged,15
Atcayos,1.33036166437559e-293,4.05760307634555e-293,Cardiomyocyte,F1_Aged,10
Atf3,0,0,Cardiomyocyte,F1_Aged,1
Atf6,1.0158280212001598e-94,1.5248783047546e-93,Cardiomyocyte,F1_Aged,1
Atg10,5.19831911932212e-184,2.1139831085243298e-182,Cardiomyocyte,F1_Aged,13
Atosa,2.8426698294784894e-154,7.691255869274468e-153,Cardiomyocyte,F1_Aged,9
Atp10d,1.03036731755319e-35,1.00783741993905e-34,Cardiomyocyte,F1_Aged,5
Atp11b,1.6614084466221e-4,9.6939571102907e-4,Cardiomyocyte,F1_Aged,3
Atp1a1,1.3897726937075997e-90,2.0228578687153897e-89,Cardiomyocyte,F1_Aged,3
Atp1b1,9.98097680170673e-45,1.0530244392995597e-43,Cardiomyocyte,F1_Aged,1
Atp5f1a,3.972178445477249e-226,3.86279961871773e-224,Cardiomyocyte,F1_Aged,Unknown
Atp5f1c,1.5428581003543196e-156,4.33162253279393e-155,Cardiomyocyte,F1_Aged,Unknown
Atp5pb,3.5184386898150804e-17,2.91826002579223e-16,Cardiomyocyte,F1_Aged,3
Atp6v1g1,0.0349979894371057,0.16062688722502,Cardiomyocyte,F1_Aged,4
Atp8a1,7.213922569103479e-18,6.0355885833771e-17,Cardiomyocyte,F1_Aged,5
Atrnl1,8.257326459562601e-86,1.1713881721705097e-84,Cardiomyocyte,F1_Aged,19
Atxn1,1.03254205749054e-74,1.3531947667502901e-73,Cardiomyocyte,F1_Aged,13
Atxn2,1.0726752075547599e-75,1.41965495911093e-74,Cardiomyocyte,F1_Aged,5
Atxn7l1,0.0200987283093156,0.0961929150895204,Cardiomyocyte,F1_Aged,12
Auh,2.41040511119564e-27,2.20051949607112e-26,Cardiomyocyte,F1_Aged,13
Azin1,2.13697939154931e-169,7.169565858647928e-168,Cardiomyocyte,F1_Aged,15
B230110C06Rik,0.0718742879037403,0.301989024316905,Cardiomyocyte,F1_Aged,14
B4galt1,1.0491469884914198e-165,3.229255180173129e-164,Cardiomyocyte,F1_Aged,4
BB218582,2.15985009761119e-27,1.97716154910929e-26,Cardiomyocyte,F1_Aged,2
BC005537,2.9206521363511602e-58,3.41421181792966e-57,Cardiomyocyte,F1_Aged,13
Babam2,3.0094929211711397e-122,5.81950936629924e-121,Cardiomyocyte,F1_Aged,5
Bach1,6.06058747799083e-36,5.936721456542839e-35,Cardiomyocyte,F1_Aged,16
Bag3,3.0807965686492097e-145,7.38290891987007e-144,Cardiomyocyte,F1_Aged,7
Bank1,7.16282233042662e-6,4.52140525279046e-5,Cardiomyocyte,F1_Aged,3
Bcap29,0.0577692541426359,0.251056797472206,Cardiomyocyte,F1_Aged,12
Bcas3,3.314626196373069e-171,1.15239076568204e-169,Cardiomyocyte,F1_Aged,11
Bckdhb,1.58101342369193e-65,1.93587592572497e-64,Cardiomyocyte,F1_Aged,9
Bcl2,0.0052372398713729,0.0269617575785719,Cardiomyocyte,F1_Aged,1
Bcl2l11,0.00725839168491076,0.036729870441743,Cardiomyocyte,F1_Aged,2
Bcl2l13,3.72936329033946e-135,8.23158805203216e-134,Cardiomyocyte,F1_Aged,6
Bdnf,0.00233499942236652,0.0124446752375531,Cardiomyocyte,F1_Aged,2
Bdp1,1.82272793647509e-18,1.53456768553926e-17,Cardiomyocyte,F1_Aged,13
Best3,4.83052214097867e-8,3.33808481626848e-7,Cardiomyocyte,F1_Aged,10
Bicc1,0.0229334549593784,0.108292387598472,Cardiomyocyte,F1_Aged,10
Blcap,9.212140542632019e-154,2.46268777056019e-152,Cardiomyocyte,F1_Aged,2
Bmpr1a,9.863134492188218e-43,1.02290003775244e-41,Cardiomyocyte,F1_Aged,14
Bnc2,2.13271001848102e-31,1.9986709810066598e-30,Cardiomyocyte,F1_Aged,4
Bnip3,4.876157123509049e-222,4.362535239832759e-220,Cardiomyocyte,F1_Aged,7
Brd7,0.0470152480609412,0.210877215567457,Cardiomyocyte,F1_Aged,8
Bri3,0.0863800716555206,0.351705267480912,Cardiomyocyte,F1_Aged,5
Brwd1,2.6448202809496192e-107,4.392758436923749e-106,Cardiomyocyte,F1_Aged,16
Bsdc1,7.19389611365055e-20,6.164884153588139e-19,Cardiomyocyte,F1_Aged,4
Btbd9,3.10794369439622e-47,3.3420356072754202e-46,Cardiomyocyte,F1_Aged,17
Btg2,3.247318926848389e-203,2.09514519222622e-201,Cardiomyocyte,F1_Aged,1
C030013E06Rik,0.0834168463185543,0.341505209760524,Cardiomyocyte,F1_Aged,11
Cab39,1.00409789894475e-129,2.06039660609151e-128,Cardiomyocyte,F1_Aged,1
Cab39l,4.46997332636713e-5,2.7192675448706e-4,Cardiomyocyte,F1_Aged,14
Cabin1,0.078746399572461,0.325964430062439,Cardiomyocyte,F1_Aged,10
Cacna2d1,1.33220062981874e-14,1.06671434678803e-13,Cardiomyocyte,F1_Aged,5
Cacnb2,2.04360800491758e-46,2.1835365785026997e-45,Cardiomyocyte,F1_Aged,2
Calm2,0.00645624329073502,0.032819236727903,Cardiomyocyte,F1_Aged,17
Camk1d,1.92425538791786e-22,1.69445585996442e-21,Cardiomyocyte,F1_Aged,2
Camk2d,1.715515451098e-7,1.1568953444088e-6,Cardiomyocyte,F1_Aged,3
Canx,0.00539391960347112,0.027691813725548,Cardiomyocyte,F1_Aged,11
Cap2,6.4186651379067e-127,1.29337066292354e-125,Cardiomyocyte,F1_Aged,13
Casq2,3.31796158737171e-200,1.9529405483565098e-198,Cardiomyocyte,F1_Aged,3
Cav3,1.82408839137863e-22,1.60836177478983e-21,Cardiomyocyte,F1_Aged,6
Cbl,0.0711208954061179,0.299573890882016,Cardiomyocyte,F1_Aged,9
Cblb,1.88882489900764e-124,3.73864751396497e-123,Cardiomyocyte,F1_Aged,16
Ccbe1,4.59995205844741e-169,1.5056428444966898e-167,Cardiomyocyte,F1_Aged,18
Ccdc141,1.33703750671087e-13,1.05796246108844e-12,Cardiomyocyte,F1_Aged,2
Ccdc146,0.0595635151864524,0.258185521253938,Cardiomyocyte,F1_Aged,5
Ccdc152,0.0610092216978813,0.263632335121851,Cardiomyocyte,F1_Aged,15
Ccdc159,1.06713793175383e-9,7.682935109515251e-9,Cardiomyocyte,F1_Aged,9
Ccdc171,8.5136893589709e-4,0.00470179881470739,Cardiomyocyte,F1_Aged,4
Ccdc50,1.16403037541083e-19,9.937205876598789e-19,Cardiomyocyte,F1_Aged,16
Ccdc6,5.29109929507212e-7,3.50130929683766e-6,Cardiomyocyte,F1_Aged,10
Ccn1,7.851661257938649e-211,5.726592069648729e-209,Cardiomyocyte,F1_Aged,3
Ccn2,3.85008566096186e-21,3.3334290045231e-20,Cardiomyocyte,F1_Aged,10
Ccnd3,5.43243762697163e-5,3.2928325634128e-4,Cardiomyocyte,F1_Aged,17
Ccng1,0.00515847019023964,0.02660517676903,Cardiomyocyte,F1_Aged,11
Ccnl1,1.8309659697615297e-139,4.20735748701352e-138,Cardiomyocyte,F1_Aged,3
Ccnt2,6.42749707315716e-46,6.845794501727699e-45,Cardiomyocyte,F1_Aged,1
Cd163,6.69943564808838e-8,4.61058596909467e-7,Cardiomyocyte,F1_Aged,6
Cd28,2.3878520498696796e-31,2.2346565208682798e-30,Cardiomyocyte,F1_Aged,1
Cd47,0.0314520219255989,0.145346464959207,Cardiomyocyte,F1_Aged,16
Cd59a,1.67524038973514e-16,1.3758706260860202e-15,Cardiomyocyte,F1_Aged,2
Cdc14a,0.0926106855830413,0.374348012206149,Cardiomyocyte,F1_Aged,3
Cdc26,0.0842259631961624,0.343978218530889,Cardiomyocyte,F1_Aged,4
Cdc37l1,6.100945715679619e-131,1.27134614137299e-129,Cardiomyocyte,F1_Aged,19
Cdcp3,2.22893565561144e-55,2.5566082477184197e-54,Cardiomyocyte,F1_Aged,7
Cdh2,3.36294550070915e-39,3.35794111752357e-38,Cardiomyocyte,F1_Aged,18
Cdh4,1.90887018289897e-167,6.04175421096797e-166,Cardiomyocyte,F1_Aged,2
Cdh8,0.0029749780604589,0.0156565512044543,Cardiomyocyte,F1_Aged,8
Cdk12,1.91833250683233e-52,2.13820782738288e-51,Cardiomyocyte,F1_Aged,11
Cdk13,1.1908321489008e-4,7.0153500606887e-4,Cardiomyocyte,F1_Aged,13
Cdk19,9.70692503743221e-57,1.12493034544335e-55,Cardiomyocyte,F1_Aged,10
Cdkal1,1.17612820187917e-127,2.3842357204257497e-126,Cardiomyocyte,F1_Aged,13
Cebpb,0,0,Cardiomyocyte,F1_Aged,2
Cebpd,0.0708392185273314,0.298574846933665,Cardiomyocyte,F1_Aged,16
Celf2,0.00113533482231501,0.00620366177339881,Cardiomyocyte,F1_Aged,2
Cenpa,0.00133029339939939,0.00722774794329546,Cardiomyocyte,F1_Aged,5
Cenpp,9.3644703631029e-4,0.00514624046981333,Cardiomyocyte,F1_Aged,13
Cep120,2.64520169191027e-5,1.6283764543777e-4,Cardiomyocyte,F1_Aged,18
Cep162,0.0585444918310171,0.254096727157907,Cardiomyocyte,F1_Aged,9
Cep295,5.8360478206688e-5,3.531356666932e-4,Cardiomyocyte,F1_Aged,9
Cep44,0.0206539349485742,0.0984988653197816,Cardiomyocyte,F1_Aged,8
Cep95,0.0893337697366932,0.362193108720974,Cardiomyocyte,F1_Aged,11
Ces1d,2.49529412357277e-293,7.97305884246346e-293,Cardiomyocyte,F1_Aged,8
Cfap58,7.9146006217221e-4,0.00438176321549139,Cardiomyocyte,F1_Aged,19
Cfap96,7.73851414937887e-11,5.756699550147701e-10,Cardiomyocyte,F1_Aged,Unknown
Chchd3,4.506364969858509e-43,4.688016891124129e-42,Cardiomyocyte,F1_Aged,6
Chd2,1.3996068647791698e-188,6.21944507461472e-187,Cardiomyocyte,F1_Aged,7
Chd6,9.27883553328195e-191,4.29386113298771e-189,Cardiomyocyte,F1_Aged,2
Chd9,1.6418655360008099e-147,4.0503374068255195e-146,Cardiomyocyte,F1_Aged,8
Chmp4c,0.00771324767111685,0.0388266255612859,Cardiomyocyte,F1_Aged,3
Chordc1,0.00638717874784283,0.0324927743730291,Cardiomyocyte,F1_Aged,9
Chpt1,5.638543783885819e-60,6.73214035407009e-59,Cardiomyocyte,F1_Aged,10
Ciapin1,6.1889598664354e-4,0.00346354634727124,Cardiomyocyte,F1_Aged,8
Cidea,1.42482837224209e-6,9.23729311859362e-6,Cardiomyocyte,F1_Aged,18
Cilk1,0.0542966879934027,0.237503765603476,Cardiomyocyte,F1_Aged,9
Cisd2,8.11772897062969e-27,7.390768167289709e-26,Cardiomyocyte,F1_Aged,3
Ckm,0.085187765980225,0.347272120125948,Cardiomyocyte,F1_Aged,7
Ckmt2,2.6870272624061e-13,2.10876642464853e-12,Cardiomyocyte,F1_Aged,13
Clasp2,3.1828786865798597e-96,4.842883443753029e-95,Cardiomyocyte,F1_Aged,9
Cldnd1,0.0758488797739091,0.316311984638241,Cardiomyocyte,F1_Aged,16
Clic4,8.94207037073456e-56,1.0291816841788799e-54,Cardiomyocyte,F1_Aged,4
Clic5,3.49909310911991e-246,5.5902178005225194e-244,Cardiomyocyte,F1_Aged,17
Clip1,2.9620180135664696e-31,2.7681254695029197e-30,Cardiomyocyte,F1_Aged,5
Clk4,3.9728519463113495e-42,4.08862523922533e-41,Cardiomyocyte,F1_Aged,11
Clock,0.0610414888630337,0.263632335121851,Cardiomyocyte,F1_Aged,5
Clpx,1.64120426765233e-35,1.6006512552248798e-34,Cardiomyocyte,F1_Aged,9
Clu,4.06733776227866e-10,2.9762089841755503e-9,Cardiomyocyte,F1_Aged,14
Clvs1,5.96241370314881e-10,4.3392403414456105e-9,Cardiomyocyte,F1_Aged,4
Cmss1,3.6406669252869503e-233,4.0714791781125696e-231,Cardiomyocyte,F1_Aged,16
Cmtm8,0.0839920513042617,0.343440989793782,Cardiomyocyte,F1_Aged,9
Cmya5,1.29319932588393e-48,1.4063804662368101e-47,Cardiomyocyte,F1_Aged,13
Cnot10,0.0220193364629952,0.104490627769942,Cardiomyocyte,F1_Aged,9
Cntn5,1.02701807200902e-15,8.33287939925091e-15,Cardiomyocyte,F1_Aged,9
Cntnap5b,3.4284062722088e-5,2.0989604093541e-4,Cardiomyocyte,F1_Aged,1
Cntrob,5.6611933010073906e-15,4.56021693274425e-14,Cardiomyocyte,F1_Aged,11
Coa7,0.0433377963541929,0.195954591331964,Cardiomyocyte,F1_Aged,4
Cobll1,2.4132029778927298e-91,3.5355004326768995e-90,Cardiomyocyte,F1_Aged,2
Cog5,7.908090322475691e-38,7.81491694606949e-37,Cardiomyocyte,F1_Aged,12
Col4a1,8.91146231284797e-26,8.047902034886929e-25,Cardiomyocyte,F1_Aged,8
Col4a2,5.75444823887976e-59,6.78600135024309e-58,Cardiomyocyte,F1_Aged,8
Col5a1,8.66218355815991e-10,6.2632814305229505e-9,Cardiomyocyte,F1_Aged,2
Colec12,5.31549177997573e-10,3.87263299062292e-9,Cardiomyocyte,F1_Aged,18
Commd10,0.0616653235033667,0.265921799940611,Cardiomyocyte,F1_Aged,18
Coq10b,0,0,Cardiomyocyte,F1_Aged,1
Coq5,0.0155858582706029,0.0756190231350295,Cardiomyocyte,F1_Aged,5
Corin,2.4417746767052997e-26,2.21709175652132e-25,Cardiomyocyte,F1_Aged,5
Coro6,3.94765663095504e-289,1.1516859127699299e-286,Cardiomyocyte,F1_Aged,11
Cox10,1.17172153780151e-114,2.06358307576066e-113,Cardiomyocyte,F1_Aged,11
Cox16,0.0660265864562602,0.282010436105351,Cardiomyocyte,F1_Aged,12
Cox6b1,0.0723421364068567,0.303574568661669,Cardiomyocyte,F1_Aged,7
Cp,4.4138404375945195e-176,1.64538162979218e-174,Cardiomyocyte,F1_Aged,3
Cped1,2.14651286284904e-51,2.38067790243257e-50,Cardiomyocyte,F1_Aged,6
