gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
Cdk12,0.580923031770489,1,0.56961738002594,0.00630639217364857
Cdkl1,0.591295116772824,0.87145498056018,0.663333333333333,0.01056421178847
Cebpd,0.327519379844961,0.417840805767805,0.285714285714286,6.6913850090883e-4
Cenpc1,0.598507462686567,1,0.581243628950051,0.0359802649261205
Cep112,0.420067264573991,0.31131416170321,0.399843505477308,2.5203032404487e-4
Cep290,0.51537216828479,0.485998049839184,0.610062893081761,0.0317039137976983
Cers4,0.602989821882952,0.129645532541641,0.587164750957854,0.00296101903262812
Cetn3,0.504211793020457,1,0.451070336391437,0.0270600783441257
Cfap20,0.489417989417989,0.727964822736163,0.403726708074534,0.0323390135204474
Cfap97,0.462055715658021,1,0.435129740518962,0.018172337231513
Cfl2,0.539997688395747,1,0.538457002613629,0.0944336591360305
Chpt1,0.505650057704852,0.170910239463734,0.491830335957853,0.0408280404126753
Chsy1,0.409635416666667,0.43882186207908,0.421530479896239,0.0283723761377527
Churc1,0.484177215189873,0.319878973703424,0.438181818181818,0.0794343619826827
Ciapin1,0.574880952380952,1,0.585267569310122,0.0847235262738372
Cipc,0.52650974025974,1,0.482905198776758,0.0385404175704346
Clcc1,0.485102420856611,1,0.438988095238095,0.0326209534011956
Clcn1,0.468531468531469,0.353967047629512,0.470064724919094,0.0594647641799075
Cmas,0.456730769230769,0.876045318444479,0.441919191919192,0.0377996748017506
Coa7,0.574186991869919,1,0.634854771784232,0.00135195921845099
Cog5,0.536353229117322,1,0.553919973544974,0.0431031725243507
Cog6,0.584235860409146,1,0.610953282828283,5.39966988593169e-5
Col5a1,0.253812636165577,0.744036716365355,0.212121212121212,3.0121250168307e-4
Colec12,0.39541499330656,1,0.29047619047619,1.16521620645914e-5
Commd10,0.556233279828785,1,0.623161512027491,1.2939173438075e-4
Comt,0.594213469486992,0.318229908564603,0.605808477237049,1.38245099095704e-6
Coro6,0.570579035396665,0.142888836270075,0.570804150330529,2.85496014434262e-6
Cpq,0.559618026547851,0.171530751658097,0.577002427390298,4.90496102218888e-5
Crbn,0.486111111111111,0.673471651684615,0.44994994994995,0.0761725022227864
Crebzf,0.430438842203548,0.103962146136471,0.454911433172303,0.0112111534236419
Ctnna1,0.56278328611898,0.298991154731009,0.571085011185682,0.0164918930962298
Ctnnb1,0.546747967479675,0.703545631235297,0.566123188405797,0.0195711485599558
Ctr9,0.459883296863603,0.396083925063943,0.444761904761905,0.0180172640226949
Cyp4f13,0.471358024691358,0.253020708567942,0.399280575539568,1.39132213757088e-5
Cyth1,0.534198048847046,1,0.566824304958441,0.0930044974365818
D3Ertd751e,0.601822079314041,1,0.633879781420765,0.00146062287358415
D6Wsu163e,0.474747474747475,0.254592374442909,0.41958041958042,0.00474674299947712
Dag1,0.511710170426415,1,0.492875267233213,0.0246583462131935
Dap3,0.5,0.755024505991316,0.431547619047619,0.0651217621194778
Dazap1,0.485599622285175,0.246367421744464,0.457883597883598,0.0542520478478821
Dcp1a,0.458535926526202,0.14437459204396,0.45187338501292,0.0952763106016323
