"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj"
"Mkln1os",NA,315,0.00018083871862379,0.312681251688708,0.00018083871862379,1.06650284167938,1.33567146800306,0.00124250533273762
"Mknk1",NA,234,0.289900693279647,0.825819693842711,0.289900693279647,1.03095965592576,1.32615538816561,0.422091332918776
"Mknk2",NA,349,0.0249129694645339,0.729012045262788,0.0249129694645339,1.0077141003555,1.32741864930865,0.0800518057137776
"Mkrn2",NA,187,0.33985802576721,0.116680789808854,0.116680789808854,1.02569724065265,1.26416248352261,0.238542702634048
"Mlf1",NA,755,0.000140696562855604,0.740278645188147,0.000140696562855604,1.11162703321261,1.36190151892758,0.000997007670493016
"Mlh1",NA,234,1.79269949523975e-05,0.476293466126814,1.79269949523975e-05,1.02295038859516,1.32914229610687,0.000162060034369673
"Mlh3",NA,254,0.00191979964675478,0.277437280223999,0.00191979964675478,1.09713838343128,1.34396083157754,0.00984183534785538
"Mlip",NA,3784,0.0831228504528767,0.237188301805873,0.0831228504528767,1.43909847572732,1.81529556594185,0.188668301169271
"Mllt10",NA,2796,0.0111965941339847,0.402711961415523,0.0111965941339847,1.13613453846915,1.57876222737415,0.0428627027706323
"Mllt3",NA,865,0.000110136682632505,0.0163567777625964,0.000110136682632505,1.16133300030142,1.382365238308,0.000808520797794071
"Mllt6",NA,309,0.383055614647529,0.896514787345499,0.383055614647529,1.00376882308539,1.33953384964495,0.498222880875158
"Mlxip",NA,642,0.156582939700406,0.402251032301682,0.156582939700406,1.09002860885049,1.34390489754951,0.292892947804957
"Mlxipl",NA,972,0.400536893695972,0.68150242653552,0.400536893695972,1.05458126467387,1.38156552495897,0.51357409370329
"Mlycd",NA,243,0.701322396944342,0.425865321146262,0.425865321146262,1.04093996180239,1.33436353453377,0.534273543262004
"Mm2pr",NA,999,0.111636161314352,0.00416589057154785,0.00416589057154785,1.08320236376782,1.39101042018745,0.0191786635516344
"Mmaa",NA,867,0.231550443242244,0.329868651744448,0.231550443242244,1.0459861754751,1.36563215553952,0.371231620176569
"Mmadhc",NA,465,0.077203085257194,0.753060438460001,0.077203085257194,1.06717980707878,1.31973671537046,0.180074133250101
"Mmd",NA,299,0.736857359316658,0.511927254734353,0.511927254734353,1.07681793956207,1.3390285933139,0.599405917719483
"Mme",NA,259,2.41364978764465e-09,0.954526250401083,2.41364978764465e-09,1.08882176783047,1.34257517543402,4.10579996134821e-08
"Mms19",NA,342,0.232672619672458,0.898354531000043,0.232672619672458,1.07044821112843,1.32823562320706,0.372370343269426
"Mmut",NA,453,0.119613535590006,0.468615954577148,0.119613535590006,1.07612590993755,1.31968674010681,0.243089281121568
"Mn1",NA,267,0.42208093213543,0.0276968098494097,0.0276968098494097,1.04283596213313,1.34297365651271,0.085956553568938
"Mnat1",NA,1423,0.0181717010938244,0.417223885627061,0.0181717010938244,1.11011294677336,1.43824604027663,0.0626993045374703
"Mob1b",NA,665,0.224070486829171,0.70123307979974,0.224070486829171,1.06279294995799,1.34552602070748,0.364808005877521
"Mob2",NA,628,0.656535705206513,0.737879062985163,0.656535705206513,1.0437713716049,1.34124551195719,0.713106409637284
"Mob4",NA,238,0.661535777991423,0.638910347776676,0.638910347776676,1.05600406940802,1.34016222945645,0.700063941555201
"Mocs2",NA,256,0.658633675339987,0.421958962062302,0.421958962062302,1.05324357146394,1.3438455005724,0.530635197124453
"Mon1a",NA,165,0.999999999999999,0.483863336604199,0.483863336604199,1.0602763361692,1.2211986825643,0.578709727133442
"Mon2",NA,1449,0.258149344584867,0.23887750411972,0.23887750411972,1.05374035888867,1.43818828104617,0.378693412766816
"Morc2a",NA,508,0.411309588571146,0.492717945903152,0.411309588571146,1.04675994195082,1.32422834708865,0.522329335034761
"Morc3",NA,647,0.558166414337743,0.374618833738771,0.374618833738771,1.03151304333688,1.34396923814344,0.491925291533294
"Morf4l1",NA,624,0.0295978766167715,0.302182181114158,0.0295978766167715,1.04283998745357,1.34288590309846,0.0905245834852247
"Mosmo",NA,546,0.126307190716389,0.195248593353552,0.126307190716389,1.05205060871615,1.32851253094997,0.252854129343028
"Mov10",NA,267,0.145180597750847,0.138471592054244,0.138471592054244,1.09476027156446,1.34338967010944,0.269697825336798
"Mov10l1",NA,135,0.36017950537076,0.550506636284036,0.36017950537076,0.978945045849552,1.13250856740809,0.480359323240365
"Mpc1",NA,2243,3.68724196339706e-05,0.10564876067226,3.68724196339706e-05,1.07989084312754,1.53204449406275,0.000312354312508388
