gene,theta_glm,theta_asp,log2_ratio,underdisp,celltype,condition,chromosome
Gm13481,1e-6,0.103957156581134,-15.66564343126226,TRUE,Cardiomyocyte,F1_Aged,2
Gm13483,1e-6,0.304460520505163,-17.21590037848198,TRUE,Cardiomyocyte,F1_Aged,2
Gm14221,1e-6,0.895015056473894,-18.771554038810883,TRUE,Cardiomyocyte,F1_Aged,2
Gm14964,1e-6,0.312913138312336,-17.255407319376417,TRUE,Cardiomyocyte,F1_Aged,19
Gm16316,1e-6,1.46375710382023,-19.481245727281337,TRUE,Cardiomyocyte,F1_Aged,2
Gm19299,1e-6,0.376126261301004,-17.52086134959579,TRUE,Cardiomyocyte,F1_Aged,9
Gm20186,1e-6,0.97139766867445,-18.889703983551087,TRUE,Cardiomyocyte,F1_Aged,6
Gm20618,1e-6,0.909084835624607,-18.794056994140632,TRUE,Cardiomyocyte,F1_Aged,6
Gm24474,1e-6,0.264546861788556,-17.013169231628243,TRUE,Cardiomyocyte,F1_Aged,12
Gm26760,1e-6,0.475968111908828,-17.860508427083776,TRUE,Cardiomyocyte,F1_Aged,15
Gm26779,1e-6,0.578762397928015,-18.142614160478068,TRUE,Cardiomyocyte,F1_Aged,5
Gm26782,1e-6,0.488033271562796,-17.896622937138087,TRUE,Cardiomyocyte,F1_Aged,14
Gm26881,1e-6,0.429347572983248,-17.711789871163827,TRUE,Cardiomyocyte,F1_Aged,4
Gm26901,1e-6,0.586090027186297,-18.160765224871998,TRUE,Cardiomyocyte,F1_Aged,1
Gm28403,1e-6,5.88471156273452,-21.488540518242118,TRUE,Cardiomyocyte,F1_Aged,1
Gm30735,1e-6,1.41385947945979,-19.431208330544596,TRUE,Cardiomyocyte,F1_Aged,3
Gm32027,1e-6,0.594358406978787,-18.180976061796823,TRUE,Cardiomyocyte,F1_Aged,19
Gm32828,1e-6,3.67072795921895,-20.807635161389847,TRUE,Cardiomyocyte,F1_Aged,12
Gm34240,1e-6,0.501894580221222,-17.937027715969577,TRUE,Cardiomyocyte,F1_Aged,3
Gm35212,1e-6,3.8881128048236002,-20.89063901647048,TRUE,Cardiomyocyte,F1_Aged,5
Gm35268,1e-6,1.21020424241139,-19.206820308641593,TRUE,Cardiomyocyte,F1_Aged,19
Gm35533,1e-6,0.202126457061527,-16.624905785644394,TRUE,Cardiomyocyte,F1_Aged,10
Gm35992,1e-6,0.492626746548912,-17.91013836228421,TRUE,Cardiomyocyte,F1_Aged,1
Gm36235,1e-6,0.404298342777905,-17.625064332827947,TRUE,Cardiomyocyte,F1_Aged,12
Gm37184,1e-6,0.64035056072463,-18.2885046540189,TRUE,Cardiomyocyte,F1_Aged,1
Gm39214,1e-6,0.699977459766977,-18.416951001543698,TRUE,Cardiomyocyte,F1_Aged,8
Gm40124,1e-6,0.176166568748539,-16.426588832792177,TRUE,Cardiomyocyte,F1_Aged,3
Gm40528,1e-6,0.586697808646578,-18.162260536905578,TRUE,Cardiomyocyte,F1_Aged,9
Gm40652,1e-6,0.839424343097846,-18.679042494736702,TRUE,Cardiomyocyte,F1_Aged,10
Gm43597,1e-6,0.430544915611436,-17.715807576617788,TRUE,Cardiomyocyte,F1_Aged,5
Gm45037,1e-6,0.358527048207201,-17.451726462057362,TRUE,Cardiomyocyte,F1_Aged,7
Gm45670,1e-6,0.50856284547144,-17.956069376863812,TRUE,Cardiomyocyte,F1_Aged,7
Gm47200,1e-6,3.48328643611976,-20.732018096384486,TRUE,Cardiomyocyte,F1_Aged,10
Gm56602,1e-6,0.641398794000795,-18.290864364864206,TRUE,Cardiomyocyte,F1_Aged,16
Gm56646,1e-6,0.179075919834808,-16.45021988330987,TRUE,Cardiomyocyte,F1_Aged,19
Gm56707,1e-6,0.851945116290628,-18.70040266049988,TRUE,Cardiomyocyte,F1_Aged,15
Gm56730,1e-6,0.875851877152926,-18.740329025510192,TRUE,Cardiomyocyte,F1_Aged,15
Gm56843,1e-6,0.917116652326608,-18.806747296087426,TRUE,Cardiomyocyte,F1_Aged,8
Gm57127,1e-6,0.990664943341429,-18.918039131109964,TRUE,Cardiomyocyte,F1_Aged,4
Gm57283,1e-6,0.182300702811221,-16.47596851154524,TRUE,Cardiomyocyte,F1_Aged,5
Gm57414,1e-6,1.73442481811864,-19.726026706794244,TRUE,Cardiomyocyte,F1_Aged,11
Gm5860,1e-6,4.08567528965268,-20.96214347241313,TRUE,Cardiomyocyte,F1_Aged,4
Gm6994,1e-6,0.709863507815678,-18.43718415742552,TRUE,Cardiomyocyte,F1_Aged,14
Gm7933,1e-6,0.424236498448285,-17.694512621081817,TRUE,Cardiomyocyte,F1_Aged,1
Gm8189,1e-6,0.237282396844511,-16.856251630476066,TRUE,Cardiomyocyte,F1_Aged,19
Gramd1a,1e-6,0.366599250340823,-17.483848245490115,TRUE,Cardiomyocyte,F1_Aged,7
Grm1,1e-6,0.0775348776949172,-15.242576413746182,TRUE,Cardiomyocyte,F1_Aged,10
Gsap,1e-6,0.288459016254935,-17.138011833694463,TRUE,Cardiomyocyte,F1_Aged,5
Gsdma3,1e-6,0.320287779636353,-17.28901373290992,TRUE,Cardiomyocyte,F1_Aged,11
Gsta5,1e-6,4.03159346025108,-20.942919094171454,TRUE,Cardiomyocyte,F1_Aged,9
Hdnr,1e-6,0.591004336094162,-18.172811630764883,TRUE,Cardiomyocyte,F1_Aged,8
Hebp1,1e-6,2.09775303600746,-20.000414099558323,TRUE,Cardiomyocyte,F1_Aged,6
Hhat,1e-6,0.624328270585316,-18.251947580049187,TRUE,Cardiomyocyte,F1_Aged,1
Iigp1,1e-6,0.304190127195086,-17.214618546834082,TRUE,Cardiomyocyte,F1_Aged,18
Inhca,1e-6,0.838087097861144,-18.676742379061928,TRUE,Cardiomyocyte,F1_Aged,9
Ino80c,1e-6,0.329663533859787,-17.330639161030085,TRUE,Cardiomyocyte,F1_Aged,18
Ip6k3,1e-6,0.780483289487428,-18.574010066657042,TRUE,Cardiomyocyte,F1_Aged,17
Iqub,1e-6,1.27317673022215,-19.280002396742837,TRUE,Cardiomyocyte,F1_Aged,6
Kcnq5,1e-6,0.661321876071728,-18.334995281688585,TRUE,Cardiomyocyte,F1_Aged,1
Kcnv2,1e-6,1.06870747930515,-19.02743693985916,TRUE,Cardiomyocyte,F1_Aged,19
Kitl,1e-6,0.624247315191897,-18.25176049684969,TRUE,Cardiomyocyte,F1_Aged,10
Klhl32,1e-6,0.601334377535209,-18.197810311555894,TRUE,Cardiomyocyte,F1_Aged,4
Lin28b,1e-6,0.588474401407149,-18.166622585521054,TRUE,Cardiomyocyte,F1_Aged,10
Lrrc69,1e-6,1.6595068337364,-19.662324009024196,TRUE,Cardiomyocyte,F1_Aged,4
Lyrm4,1e-6,0.481190426450012,-17.87625141219552,TRUE,Cardiomyocyte,F1_Aged,13
Mfsd4b1,1e-6,0.404543812415151,-17.625939996791004,TRUE,Cardiomyocyte,F1_Aged,10
Mtor,1e-6,0.607266666451348,-18.2119730303659,TRUE,Cardiomyocyte,F1_Aged,4
Muc4,1e-6,0.515631383518317,-17.975983347279463,TRUE,Cardiomyocyte,F1_Aged,16
Myh6,0.0657513339614088,0.0740878397638867,-0.1722141356025971,TRUE,Cardiomyocyte,F1_Aged,14
Myo16,1e-6,0.416035052571665,-17.666349028314333,TRUE,Cardiomyocyte,F1_Aged,8
Myo3b,1e-6,1.13929487232256,-19.119711029365188,TRUE,Cardiomyocyte,F1_Aged,2
Nbr1,1e-6,0.278206867739731,-17.085803694419738,TRUE,Cardiomyocyte,F1_Aged,11
Ndrg4,1e-6,0.327913252102237,-17.322959081231474,TRUE,Cardiomyocyte,F1_Aged,8
Neat1,0.0694762982205607,0.0761912692810501,-0.1331029718167203,TRUE,Cardiomyocyte,F1_Aged,19
Nek10,1e-6,0.500188205295334,-17.93211439713975,TRUE,Cardiomyocyte,F1_Aged,14
Nim1k,1e-6,0.646305230701646,-18.301858374390953,TRUE,Cardiomyocyte,F1_Aged,13
Nle1,1e-6,0.302061556591721,-17.204487834380192,TRUE,Cardiomyocyte,F1_Aged,11
Ntng1,1e-6,0.599267648270323,-18.192843373344196,TRUE,Cardiomyocyte,F1_Aged,3
Ogdhl,1e-6,0.278754514289236,-17.08864081887441,TRUE,Cardiomyocyte,F1_Aged,14
Or5m3b,1e-6,0.295302768049511,-17.171840239685043,TRUE,Cardiomyocyte,F1_Aged,2
Orm3,1e-6,0.947214841149892,-18.85333368310351,TRUE,Cardiomyocyte,F1_Aged,4
Pah,1e-6,0.374130167797071,-17.513184632127846,TRUE,Cardiomyocyte,F1_Aged,10
Pak5,1e-6,1.24293532740642,-19.245320961862728,TRUE,Cardiomyocyte,F1_Aged,2
Parg,1e-6,2.36858214098691,-20.175592882993246,TRUE,Cardiomyocyte,F1_Aged,14
Pcolce2,1e-6,0.779177178649307,-18.571593748885743,TRUE,Cardiomyocyte,F1_Aged,9
Pdlim5,0.0821593222488092,0.083894669706642,-0.030154507367879706,TRUE,Cardiomyocyte,F1_Aged,3
Pik3cd,1e-6,0.535618871710215,-18.030849960651615,TRUE,Cardiomyocyte,F1_Aged,4
Pkd2l2,1e-6,0.553057753080639,-18.077073224834614,TRUE,Cardiomyocyte,F1_Aged,18
Pla2g4e,1e-6,0.266155462391129,-17.02191507036937,TRUE,Cardiomyocyte,F1_Aged,2
Plet1os,1e-6,1.75740992437006,-19.745020136444854,TRUE,Cardiomyocyte,F1_Aged,9
Ppp1r3c,1e-6,1.69212450467579,-19.690405146209002,TRUE,Cardiomyocyte,F1_Aged,19
Proser2,1e-6,0.400059200650324,-17.609857586048598,TRUE,Cardiomyocyte,F1_Aged,2
Ptcd1,1e-6,0.286569819331633,-17.128532186099434,TRUE,Cardiomyocyte,F1_Aged,5
Ptx4,1e-6,0.455932636334831,-17.79846432185704,TRUE,Cardiomyocyte,F1_Aged,17
Pus7l,1e-6,0.398491203165525,-17.604191971389138,TRUE,Cardiomyocyte,F1_Aged,15
Pyroxd2,1e-6,0.551865042924925,-18.073958591691397,TRUE,Cardiomyocyte,F1_Aged,19
Rbm20,0.054348295752757,0.0678056192608317,-0.31916477445052654,TRUE,Cardiomyocyte,F1_Aged,19
Rec114,1e-6,0.603277215481412,-18.20246396168376,TRUE,Cardiomyocyte,F1_Aged,9
Redic1,1e-6,0.558004468636253,-18.08991973544422,TRUE,Cardiomyocyte,F1_Aged,Unknown
Rgs6,1e-6,0.302174743451205,-17.205028330150718,TRUE,Cardiomyocyte,F1_Aged,12
Rmdn2,1e-6,4.23515871388044,-21.013984945984014,TRUE,Cardiomyocyte,F1_Aged,17
Rnf17,1e-6,1.4280333576258,-19.445599259461545,TRUE,Cardiomyocyte,F1_Aged,14
Rnf180,1e-6,0.46821207075891,-17.83680568410213,TRUE,Cardiomyocyte,F1_Aged,13
Rusc2,1e-6,0.808176759918316,-18.624313125268962,TRUE,Cardiomyocyte,F1_Aged,4
Ryr2,0.0551311833716162,0.0559279342318079,-0.02070010206593291,TRUE,Cardiomyocyte,F1_Aged,13
