N,AR,tot_gene_mean,tot_gene_variance,alpha,beta,bb_mu,bb_theta,phi,id,theta_smoothed,thetaCorrected,theta_common,resid,AR.1,N.1,log2FC,loglik0_disp,loglik1_disp,llr_disp,pval_disp,padj_disp
38,0.4603070175438596,2.473684210526316,3.553342816500712,0.33958890898141403,0.5004468132357683,0.40425531914893603,1.1904255659040421,1.8011728181740407,23,0.6280055747784554,0.8632381512458316,0.6280055747784554,0.5624199911255867,NA,38,-0.5594274086140187,-43.305006085449506,-44.37044003948755,1.065433954038042,0.88,1
40,0.44583333333333336,1.95,4.202564102564104,0.5239300997984451,0.6112517830981858,0.46153846153846156,0.8809161025793604,1.4448997804528385,24,1.4967710113375323,1.3145148521389534,1.4967710113375323,-0.615854908758172,NA,40,-0.2223924213364481,-41.76204608919548,-41.16435000123416,-0.5976960879613173,0,0
42,0.5602607709750567,3.238095238095238,5.649245063879207,0.3375760944438616,0.3580352518269224,0.4852941175465699,1.4375843714468757,2.316029710339678,25,0.3690405008036418,0.7875421887229354,0.3690405008036418,1.068543870643234,NA,42,-0.08488889758651325,-55.191735054746204,-55.583045669981736,0.39131061523553257,0.38,0.6466174298375185
43,0.33403805496828753,3.186046511627907,5.726467331118495,1.8693662744047075,3.821815494337915,0.32846715328470605,0.17571043073905093,1.3340067318770805,26,0.37960868709103873,0.31526892421629527,0.37960868709103873,-0.2038982563519878,NA,43,-1.0317088597273385,-51.06688484081762,-50.39228911906187,-0.6745957217557503,0.02,0.04027972027972029
31,0.3387096774193548,1.5483870967741935,0.7892473118279569,0.1114428453821141,0.24517425928641223,0.3125000004856739,2.8041279762211477,1.3951506829343319,27,31.24672490741217,21.5232120036799,31.24672490741217,-28.44259693119102,NA,31,-1.1375035237499342,-38.96706636209226,-37.198184671365226,-1.768881690727035,0,0
55,0.5350953642388473,8.49090909090909,79.43973063973061,6.136242129437053,5.608122929772497,0.5224839400428217,0.08514721698094972,1.587722174627319,28,0.10492696822357728,0.10103384160139335,0.10492696822357728,-0.019779751242627555,NA,55,0.12983743764258127,-98.36440252593977,-98.27412007023923,-0.09028245570053173,0.14,0.25043478260869567
55,0.4764472648563558,7.345454545454547,38.97104377104379,2.366435145641564,2.4377849486376224,0.49257425746574135,0.20815033041279463,2.093281868111011,29,0.12048894048698205,0.15793286695312284,0.12048894048698205,0.08766138992581257,NA,55,-0.04285547896179742,-99.86205212091721,-99.92063963539111,0.058587514473899205,0.42,0.7094428152492669
33,0.5114478114478115,2.484848484848485,3.320075757575756,1.755269211668355,1.935296823121357,0.47560975609758194,0.27096114541057925,1.31661895361315,30,0.6227772460216623,0.5106512726057169,0.6227772460216623,-0.35181610061108304,NA,33,-0.14086253583984948,-38.70418558517675,-37.82028470065929,-0.883900884517459,0,0
28,0.37896825396825395,2.357142857142857,3.9417989417989396,1.3950028978036564,1.8932182182662989,0.42424242426584385,0.30411580143223116,1.318770606766083,31,0.6960416485339743,0.5712104845250994,0.6960416485339743,-0.39192584710174316,NA,28,-0.4405725913859809,-30.591816285854126,-29.964230489665393,-0.6275857961887326,0.02,0.04027972027972029
22,0.5189393939393939,1.9545454545454544,2.7121212121212124,0.16677167750104774,0.21065896105393797,0.44186046511629906,2.649493437598378,1.686515731697833,32,1.4715297970473178,1.9696001686082785,1.4715297970473178,1.1779636405510603,NA,22,-0.33703498727757064,-23.34313945168405,-24.037208319573285,0.6940688678892357,0.94,1
35,0.42653061224489797,1.7428571428571429,1.25546218487395,0.3868305438116846,0.5207334242618605,0.42622950824369604,1.1018507071437242,1.3901825386508977,33,4.81570509560456,3.5714394406904755,4.81570509560456,-3.713854388460836,NA,35,-0.4288432988038743,-44.2333131330241,-42.02281897108632,-2.210494161937774,0,0
26,0.5096153846153846,1.7307692307692308,2.044615384615384,0.036472908165236156,0.02665327904387064,0.577777777777373,15.841286227021431,1.6490902050192202,34,5.28127475464082,9.473518616093354,5.28127475464082,10.560011472380612,NA,26,0.4525122046975065,-27.92902275368893,-29.763058028348663,1.8340352746597333,1,1
55,0.49155270991634625,7.981818181818182,49.05521885521885,16.510978003767047,14.73177778811102,0.528473804095709,0.032007419789132754,1.2165096609499249,35,0.11111236841483069,0.08490397548615955,0.11111236841483069,-0.07910494862569793,NA,55,0.16449403762824688,-93.12607632615463,-91.84859528445905,-1.2774810416955802,0,0
35,0.4109523809523809,2.6,4.482352941176472,1.033751705219822,1.1539553918732908,0.4725274725274723,0.45709958217383717,1.5023654398154966,36,0.5735908768870719,0.5491326721177854,0.5735908768870719,-0.11649129471323472,NA,35,-0.15869774601905845,-40.566072587522626,-40.39415727133293,-0.1719153161896969,0,0
38,0.2908312447786132,3.1315789473684212,8.603840682788045,2.2018125191823716,5.076401083893211,0.30252100848647023,0.137396352255645,1.2644269206428786,37,0.391438565354533,0.3084647204252338,0.391438565354533,-0.25404221309888797,NA,38,-1.2051144299046124,-42.338252687874544,-41.57786681903036,-0.7603858688441818,0.02,0.04027972027972029
37,0.4637182637182637,3.1621621621621627,5.584084084084087,2.1166485272240405,2.7391922117017016,0.4358974358974357,0.20593756133386493,1.3709782751276083,38,0.384693222484674,0.3300766093790805,0.384693222484674,-0.1787556611508091,NA,37,-0.37196877738695744,-46.58550175285252,-46.000567729081126,-0.584934023771396,0,0
34,0.33431372549019606,2.0294117647058822,3.241532976827093,0.36055189284566186,0.6760347990856135,0.34782608695652256,0.9647046482305206,1.5040896615108044,39,1.1693351839732005,1.131949288485532,1.1693351839732005,-0.20463053574267986,NA,34,-0.9068905956085184,-34.53681238669788,-34.40184863368956,-0.13496375300832142,0,0
