"gene","p_intercept","p_sex","pvalue","padj_intercept","padj_sex","padj"
"Cdh13",0.514669861177605,0.326069181347102,0.514669861177605,0.812443138001791,0.945133964079178,0.812443138001791
"Cdh4",0.0120585424827079,0.834502783223977,0.0120585424827079,0.0946131794797085,0.974472826842096,0.0946131794797085
"Cdh5",0.693485744880737,0.0726264874793069,0.693485744880737,0.911989130970406,0.723214033960903,0.911989130970406
"Cdk13",0.418852712738548,0.847912995123554,0.418852712738548,0.755024280433078,0.974797945787176,0.755024280433078
"Cdk14",0.299916723710958,0.354123991553421,0.299916723710958,0.643510640195357,0.945133964079178,0.643510640195357
"Cdk19",0.589362830531612,0.0340537634004326,0.589362830531612,0.857220022667514,0.68588425184842,0.857220022667514
"Cdk6",0.165035193160842,0.189306702600885,0.165035193160842,0.463637004515416,0.923371426236429,0.463637004515416
"Cdk8",0.802801526047973,0.190305958018692,0.802801526047973,0.947812861374163,0.923371426236429,0.947812861374163
"Cdkal1",0.160265595960075,0.415084622251532,0.160265595960075,0.456034721551629,0.948521967776687,0.456034721551629
"Cebpd",0.242255592654817,0.446453885427265,0.242255592654817,0.579839198303767,0.956200348187158,0.579839198303767
"Celf1",0.148888751663597,0.944402598865862,0.148888751663597,0.444039371456079,0.991044365647678,0.444039371456079
"Celf2",0.325971772232793,0.545524281563915,0.325971772232793,0.669648522929995,0.956200348187158,0.669648522929995
"Cemip2",0.921762768433131,0.286616123649511,0.921762768433131,0.983256724990586,0.941609392632768,0.983256724990586
"Cep350",0.779964295250369,0.125029775457779,0.779964295250369,0.947812861374163,0.798824202569936,0.947812861374163
"Cep85l",0.270068493738665,0.992007438566814,0.270068493738665,0.62185481442392,0.999485771413649,0.62185481442392
"Cert1",0.151916862294257,0.0161236079126914,0.151916862294257,0.447183347734172,0.68588425184842,0.447183347734172
"Cfdp1",0.852053524848713,0.118292169747341,0.852053524848713,0.961647134559485,0.798824202569936,0.961647134559485
"Cflar",0.698364158112284,0.698364137814186,0.698364158112284,0.913980984981457,0.974472826842096,0.913980984981457
"Cgnl1",0.5525399419961,0.964257533977266,0.5525399419961,0.836378953295466,0.996158821194939,0.836378953295466
"Chaserr",0.494255487392746,0.302479845289007,0.494255487392746,0.804150645745743,0.943720329734589,0.804150645745743
"Chchd3",0.82527477922078,0.0447334198797871,0.82527477922078,0.956568494096813,0.723214033960903,0.956568494096813
"Chd2",0.233643309270639,0.667109122801601,0.233643309270639,0.573724126097903,0.971738535628677,0.573724126097903
"Chd6",0.15319765357616,0.387866904408267,0.15319765357616,0.447445129167375,0.948521967776687,0.447445129167375
"Chd7",0.00712207683015353,0.0567302655252243,0.00712207683015353,0.0642440399781196,0.723214033960903,0.0642440399781196
"Chd9",0.288328196525218,0.210360763045556,0.288328196525218,0.635540582873259,0.929386625233838,0.635540582873259
"Chic2",0.969339879969191,0.130027149777774,0.969339879969191,0.99197217566996,0.798824202569936,0.99197217566996
"Chn1",0.925718903130453,0.825041124895109,0.925718903130453,0.98391961707867,0.974472826842096,0.98391961707867
"Chordc1",0.916133227517401,0.526660652600059,0.916133227517401,0.983256724990586,0.956200348187158,0.983256724990586
"Chrm3",0.818297312859639,0.584901726561505,0.818297312859639,0.953729698041649,0.959412349996437,0.953729698041649
"Chst11",0.122116041035032,0.0163923418539049,0.122116041035032,0.40481467603113,0.68588425184842,0.40481467603113
"Chst15",0.0682061489089397,0.15510640240022,0.0682061489089397,0.286206814725488,0.864827434532361,0.286206814725488
"Clasp2",0.489937161534577,0.929700784155971,0.489937161534577,0.803479537116013,0.990890180436652,0.803479537116013
"Clec1a",0.490438033572558,0.351477077394742,0.490438033572558,0.803479537116013,0.945133964079178,0.803479537116013
