"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj"
"Nfatc1",NA,104,0.577785835279189,0.820499912534409,0.577785835279189,1.05052770011314,1.41396356317884,0.688160764790881
"Nfatc2",NA,164,0.0082505474772529,0.974590449356847,0.0082505474772529,1.18936067519261,1.48578937453655,0.0878769249530322
"Nfe2l2",NA,172,0.834851286917033,0.638989516860597,0.638989516860597,1.04368037384748,1.48490450974403,0.724601651981687
"Nfia",NA,237,0.209231677412359,0.316727496377247,0.209231677412359,1.18141404420309,1.53923081121127,0.46234158621573
"Nfib",NA,73,0.653916868878076,0.423753982663381,0.423753982663381,1.20342025999371,1.48243097864168,0.600813554080527
"Nfkb1",NA,168,0.582251531316624,0.121583180636247,0.121583180636247,1.05517537150822,1.48205714181471,0.37786869969776
"Nfkbiz",NA,115,0.791204227945857,0.909684021462256,0.791204227945857,1.14588187506227,1.43550326643142,0.823416104910574
"Nfx1",NA,74,0.823303990626173,0.67004986825442,0.67004986825442,1.12094948049149,1.47441032810338,0.74737224166558
"Nfxl1",NA,128,0.447875749086332,0.65092848399548,0.447875749086332,1.04591138224368,1.41755378005848,0.614577870145731
"Nhlrc2",NA,86,0.0343820627720317,0.160565347992721,0.0343820627720317,1.09172785451411,1.44444570134772,0.201465095612621
"Nhsl1",NA,58,0.00658194564807481,0.166081658794947,0.00658194564807481,1.4038648671911,1.47144218665734,0.0740565942478877
"Niban1",NA,182,0.159866385020665,0.0145124106609778,0.0145124106609778,1.11355372871312,1.49421468106231,0.12682854616111
"Niban2",NA,70,0.256656008222762,0.53129730924966,0.256656008222762,1.09478458321733,1.46929290466811,0.491741121939819
"Nin",NA,79,0.603061793232692,0.0129164726201972,0.0129164726201972,1.04524795636921,1.45270556166401,0.118449266853378
"Nipa2",NA,79,0.0400153454289159,0.568856508782531,0.0400153454289159,1.05735926330306,1.46929290466811,0.221165895681441
"Nipbl",NA,294,0.784174979809506,0.95921989774023,0.784174979809506,1.08205131648892,1.53522474327277,0.817348539098083
"Nisch",NA,126,0.00659085582059441,0.235685481811264,0.00659085582059441,1.0491905730484,1.4108486589633,0.0740565942478877
"Nktr",NA,157,0.831109287397793,0.049257751620023,0.049257751620023,1.17205412861068,1.48243097864168,0.237011923264864
"Nlk",NA,150,0.0217987248549162,0.227570846111801,0.0217987248549162,1.07390269315126,1.48205714181471,0.154786084473276
"Nlrc4",NA,87,0.701088327255122,0.950075786016457,0.701088327255122,1.13018642724183,1.45638347071278,0.766424561705736
"Nlrp3",NA,73,0.374504231206895,0.228075894254243,0.228075894254243,1.11210594621446,1.47345087299578,0.481347883774075
"Notch1",NA,64,0.293967767225806,0.497386019555568,0.293967767225806,1.06141971468299,1.48154487282271,0.525034134477532
"Npepps",NA,118,0.919484374551816,0.61180198900204,0.61180198900204,1.01896326578902,1.41222217719349,0.709662545382401
"Npl",NA,66,0.164739953164922,0.20022235795043,0.164739953164922,1.10177739240678,1.48154487282271,0.430324867065531
"Nptn",NA,151,0.716598105006882,0.834311379122089,0.716598105006882,1.08375236564298,1.46443318088699,0.774137942281603
"Nr1d2",NA,77,0.713188835152157,0.102163796949122,0.102163796949122,0.982137619923864,1.46814252333916,0.34705143647999
"Nr2c2",NA,78,1,0.384840801946908,0.384840801946908,1.05983232792309,1.46427541203012,0.578416138211303
"Nr3c1",NA,252,0.601380079105377,0.842884279211178,0.601380079105377,1.20206823876048,1.51898559832447,0.703559646321794
"Nr3c2",NA,125,0.52600293237065,0.0213983330735698,0.0213983330735698,1.31429060690822,1.46001648594878,0.152472442980663
"Nr6a1",NA,93,0.779873679105618,0.327833367059551,0.327833367059551,1.19117893680739,1.41360457587751,0.544664046057051
"Nrdc",NA,100,0.685041434228056,0.476035979775917,0.476035979775917,1.09878114260952,1.42035616156956,0.629685367814846
"Nrip1",NA,145,0.942700865360975,0.780685652297749,0.780685652297749,1.07556556061784,1.47248655592141,0.81460847114594
"Nrp1",NA,224,0.00202175886939193,0.251232717228276,0.00202175886939193,1.1256344059646,1.51623660147244,0.0350381092195465
"Nrp2",NA,139,0.496104749245596,0.906696655549348,0.496104749245596,1.08649261527905,1.48363640228274,0.642924088851232
"Nrros",NA,97,0.31318958825865,0.892928876189148,0.31318958825865,0.916420205088989,1.42035616156956,0.538292125385941
"Nsd1",NA,253,0.765973891919695,0.392736424045696,0.392736424045696,0.988161250048504,1.51273499000554,0.58241188337451
"Nsd3",NA,149,0.72079159578017,0.950685998007428,0.72079159578017,1.11152454743684,1.46530459792724,0.777026259025012
"Nsf",NA,146,0.762094452441637,0.791823025841805,0.762094452441637,1.13681224906556,1.473438992932,0.804823013208736
"Nsmce2",NA,212,0.166973173344294,0.864540973096756,0.166973173344294,1.113677802264,1.49518903245669,0.432228024669723
"Nt5c2",NA,114,0.245158799810591,0.424272245569418,0.245158799810591,1.0865222500695,1.41273997424608,0.488791452841561
"Nt5dc1",NA,131,0.00147083327181404,0.669947545688815,0.00147083327181404,1.22130781565698,1.45322084105471,0.028921673469805
"Ntm",NA,37,0.128248761361594,0.879491620788943,0.128248761361594,1.64275857779171,1.37878896970758,0.385122932429455
"Nuak2",NA,98,0.768778566190408,0.405415580112324,0.405415580112324,1.06590498423108,1.41792108942166,0.588460878476938
"Nudcd3",NA,93,0.0945502595304765,0.0128275459334277,0.0128275459334277,1.08734823672375,1.43746202810909,0.118449266853378
"Nufip2",NA,146,0.179167654906889,0.603746805022483,0.179167654906889,1.06672909082445,1.44988394191302,0.44090973241316
"Numb",NA,137,0.715981503658799,0.569625701573874,0.569625701573874,1.13570607844106,1.45723326174013,0.682016721146705
