"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"Abi1",0.56562860438293,0.557986870792229,86.348787225931,61.2329684400114,26.3171477763479,0.596605744125326,289,1.57502555854498,1.53305380533135,1.57055390471963
"Abl2",0.48375,0.506607929515419,998.999999999999,814.591885824507,539.442335538064,0.296344647519582,160,1.49969925266494,1.48477221835907,1.49707237139308
"Ablim1",0.508569538926682,0.482558139534324,0.7226892967035,283.871795040442,627.361086383383,0.224543080939948,84,1.4393905016975,1.44198816204888,1.44013849981402
"Ablim3",0.506565656565657,0.508474576314419,1.52987101239465,84.554162442328,185.2034197133,0.077023498694517,33,1.47612386996272,1.31151401327492,1.39015959394001
"Abr",0.632183908045977,0.657754010695187,998.999999999999,848.370814583545,614.203052865053,0.244125326370757,145,1.44445672167297,1.45910483837993,1.44722768695353
"Abtb2",0.385934744268078,0.409090909090958,41.3257492474596,247.979239032091,496.571485868356,0.114882506527415,54,1.67363436315628,1.47345087299578,1.59325410272634
"Acaca",0.448275862068966,0.40845070422537,998.999999999999,708.951991368882,305.636392662011,0.0926892950391645,58,1.55545431136358,1.47299656450515,1.52445637138833
"Acap2",0.565972222222222,0.571428571428571,998.999999999999,856.91238001289,633.107546940294,0.219321148825065,144,1.40085019019529,1.43550326643142,1.40740405690247
"Acbd3",0.69047619047619,0.697368421052631,998.999999999999,735.244036147488,363.826874120545,0.0992167101827676,63,1.28648251253229,1.48432574976712,1.35263237366543
"Acer3",0.512778782399036,0.51358695652166,998.999999999999,607.007838139005,80.0099947047108,0.480417754569191,237,1.57557486117787,1.5130848694784,1.56759535046188
"Acss1",0.677083333333333,0.714285714285569,998.999999999999,671.297746710712,222.29868941121,0.0822454308093995,48,1.57719079255321,1.37878896970758,1.49167848018459
"Actr2",0.496781115879828,0.509615384615302,998.999999999999,654.086264062695,184.205628550525,0.407310704960835,233,1.44670534252084,1.50091774590213,1.45349849043083
"Actr3",0.484263233190272,0.489489489489592,33.2527280361914,79.3716943106641,133.613314450625,0.434725848563969,233,1.41666827768058,1.50596224131499,1.42773809564614
"Acvr1",0.545833333333333,0.561224489795919,998.999999999999,834.068458920972,582.548574523624,0.127937336814621,80,1.428616575764,1.46133959172882,1.43829863853337
"Acvr2a",0.490909090909091,0.493150685078842,998.999999999999,873.552626311369,669.936327350898,0.190600522193211,110,1.6180649815366,1.41104308163601,1.56659887747073
"Acyp2",0.350213675213675,0.298387096774194,998.999999999999,878.105580638557,680.013086560337,0.161879895561358,78,1.62133547655866,1.41683737984679,1.55631643733895
"Adam10",0.404320987654321,0.414814815952629,998.999999999999,878.534208798362,680.961741531671,0.176240208877285,108,1.4229031111578,1.41319968955173,1.42057370727566
"Adam17",0.399206349206349,0.397058823529412,998.999999999999,878.259246121046,680.353184429668,0.177545691906005,105,1.48951384222175,1.41273997424608,1.47035760240264
"Adam19",0.568663194444444,0.580071174269056,998.999999999999,703.542418775705,293.663735672702,0.366840731070496,192,1.67706130244134,1.49325746335271,1.64802765097755
"Adam22",0.306034482758621,0.351851851867081,998.999999999999,861.766969888179,643.851896590751,0.211488250652742,116,1.74289628944347,1.42522330295972,1.66518870226394
"Adam9",0.42572706935123,0.42713567839196,998.999999999999,843.29548503486,602.970154378625,0.259791122715405,149,1.51265073065929,1.46972027726858,1.50458081053289
"Adamts6",0.686274509803922,0.693877551020176,998.999999999999,618.891345176187,106.310991897298,0.0639686684073107,34,1.71177581644403,1.17042000976283,1.41544928125108
"Adamts9",0.439102564102564,0.478260869404707,2.19534368338941,40.4251835133377,86.6939788527329,0.0600522193211488,26,1.5306611699807,1.13046713778426,1.28912123412657
"Adap2",0.576352530541012,0.593155892539865,998.999999999999,740.898643984259,376.341851759279,0.343342036553525,191,1.55981437347697,1.48930145224203,1.54894875415027
"Adarb1",0.25,0.292307692388365,998.999999999999,680.197243144263,241.995369017819,0.0848563968668407,50,1.54784459695917,1.40905030825353,1.49009076535542
"Adcy7",0.531152647975078,0.543307086455311,998.999999999999,878.944112563964,681.868955012892,0.16579634464752,107,1.45735310190174,1.41571193076366,1.44720124623051
"Adcy9",0.526006235827664,0.52863436123348,998.999999999999,814.591885824507,539.442335538064,0.296344647519582,168,1.43464828275406,1.48477221835907,1.44296496198169
"Add1",0.48943661971831,0.49438202247191,998.999999999999,799.633937921142,506.336877310765,0.116187989556136,71,1.43636655094215,1.47246259125718,1.44795685631516
"Adgre1",0.531818181818182,0.52293577981651,3.08565484040927,16.8725361251548,33.4404466258913,0.569190600522193,275,1.44216685913298,1.52793100467852,1.45136293808013
"Adgrf5",0.628205128205128,0.634615384615385,998.999999999999,628.619046352822,127.840683472056,0.0678851174934726,39,1.36596351123046,1.20239042364797,1.28718018099402
"Adgrg6",0.471350826044704,0.49747474747445,998.999999999999,595.625764125566,54.818786777909,0.516971279373368,245,1.68482491724347,1.51854754226087,1.66362525339861
