"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"Anks1",0.4103,0.458333333333333,22,1e-04,0.115525884426782,0.176388534147838,-0.523561956057013,0.144940378604051,1,1
"Ano6",0.3569,0.30982905982906,39,1e-04,0.0729542881877608,0.111367516158773,-0.84799690655495,0.0600007206670128,1,1
"Antxr2",0.3347,0.317543859649123,38,1.1734,0.517323584307074,0.109553554431671,-0.662965012722429,-0.282294891728995,0.452416837625293,1
"Anxa2",0.5473,0.555764411027569,38,0.2099,0.150945897531361,0.108802700829566,0.245112497836532,0.0085897063347673,1,1
"Aopep",0.5212,0.524848484848485,55,0.0601,0.10628957703298,0.127481613988371,0.145430439521564,-0.195668231665373,0.531597735239942,1
"Ap2a2",0.5624,0.532,25,0.0488,0.0958695536030651,0.118120764869748,0.362570079384708,-0.588393987557819,0.278010871339551,1
"Apaf1",0.5773,0.592592592592593,45,0.6538,0.321354192629934,0.11161097021012,0.403355694231209,0.0558340666569137,1,1
"Apbb2",0.5574,0.583928571428571,28,0.1353,0.122616783607311,0.108802700829566,0.245112497836532,-0.0697360462760521,0.708806388672818,1
"Apc",0.6815,0.722619047619048,42,0,0.0723983184747286,0.110576365083735,1.09953567355091,-0.340181725370982,0.409461599271519,1
"Aplp2",0.7081,0.693548387096774,31,0.5274,0.287880141166371,0.133796935608103,1.41503749927884,-0.293390917836948,0.443666268024196,1
"Apoe",0.4563,0.478817733990148,29,0.2584,0.17128192581779,0.111732594699037,-0.347923303420307,0.0173213764775824,1,1
"App",0.4922,0.487491373360939,69,0.021,0.0931799960586824,0.130136913980294,-0.0320612092322986,-0.186623191149181,0.54124000763127,1
"Arb2a",0.4665,0.445205479452055,73,0.3577,0.216441748070489,0.123112696552993,-0.113656781795567,-0.553739601559528,0.292630570945368,1
"Arfgef1",0.4814,0.509009009009009,37,0.3838,0.217828876657888,0.110093304282148,-0.163498732282879,-2.13099443471211,0.0389742654452976,1
"Arhgap24",0.463,0.40281746031746,20,0.108,0.113251550453965,0.110332868060022,-0.0443941193584532,-0.0496946187607215,0.752563807520726,1
"Arhgap26",0.4752,0.481587301587302,60,0.1922,0.149597768242331,0.117009658028787,-0.178970141045319,-0.0935214045228747,0.66538934352819,1
