"","AR","N","log2FC","llr_var","pval_var"
"Tspan5",0.592261904761905,28,0.17897014104532,3199.17049806481,1
"Tspan9",0.394202898550725,23,-0.796466605914868,-11.6987178632698,1.31754051224512e-06
"Ttc14",0.59469696969697,22,0.131244533278253,-379.544684865522,4.23702552542921e-167
"Ttc17",0.564583333333333,16,0.338801913451759,496.408011324721,1
"Ttc19",0.491666666666667,22,-0.0347654181606767,14.2891715593673,1
"Ttc28",0.430418719211823,58,-0.130060540564373,3120.54045224472,1
"Ttc3",0.666666666666667,18,0.570315724756755,3058.74233478321,1
"Ttc39b",0.45,10,-0.304854581528421,-3292.7421876837,0
"Ttc7b",0.474603174603175,21,0.0614005446641432,14.4621797964719,1
"Ttn",0.48965811319951,71,0.000492807875292378,8235.4794423222,1
"Tuft1",0.153846153846154,13,-3.1963972128035,-3068.51611655761,0
"Tulp4",0.417261904761905,28,-0.489805267680816,-15.0403403371101,4.14439456582003e-08
"Tut4",0.5,14,0.403355694231208,-3162.4460855916,0
"Tut7",0.68452380952381,14,0.332575339086871,-91.0094148160915,1.75647177908876e-41
"Txlnb",0.381190476190476,35,-0.448984831202181,3265.02072987294,1
"Txndc11",0.333333333333333,16,-0.12199052437861,-61.1326402535592,2.01947254447931e-28
"Txnl1",0.402777777777778,12,0.214124805352847,-3706.26547948423,0
"U2surp",0.615432098765432,27,0.462343214057201,-63.9922104898237,1.13127484657715e-29
"Uap1",0.453925619834711,22,-0.332575339086871,150.146561704225,1
"Ubac2",0.628787878787879,11,0.494764691749578,-3083.56907389642,0
"Ubap2l",0.43768115942029,23,-0.15200309344505,0.923565882872481,1
"Ubash3b",0.819365079365079,15,1.74723392962003,-2813.25666960774,0
"Ubc",0.566666666666667,10,0.695145418471579,-2249.32553161518,0
"Ube2b",0.540050198028921,47,0.175571564583454,3004.50272725598,1
"Ube2d3",0.492553191489362,47,0,3025.38944834058,1
"Ube2e2",0.465454144620811,54,-0.173331602885562,3085.94933362949,1
"Ube2h",0.48598661686897,51,0.177998301977995,2979.24329174759,1
"Ube2k",0.447008547008547,39,-0.181838322985813,4082.54316331382,1
"Ube2q2",0.7,10,0.295455883526171,-4061.10018630833,0
"Ube2r2",0.425490196078431,17,-0.571156701196126,-3012.88946309111,0
"Ube3a",0.55,24,0.362570079384708,61.513385722475,1
"Ube3c",0.680392156862745,17,0.550197082560479,105.379789157764,1
"Ube4a",0.464285714285714,14,0,-519.554939428326,5.66694682574003e-228
"Ube4b",0.46078431372549,17,-0.256339753259786,-61.6035657645343,1.25625372552018e-28
"Ubl3",0.341025641025641,13,-0.641546029087523,-735.0978983983,1.17093558064375e-321
"Ubn1",0.348484848484849,11,0,-3198.49519299905,0
"Ubn2",0.514300976800977,52,0.0883558744208468,2929.96531261749,1
"Ubr1",0.624074074074074,27,0.397335497545385,46.3649924065821,1
"Ubr2",0.412946428571429,40,-0.447458976971221,2914.01918075496,1
"Ubr3",0.513793103448276,58,0.245577208757248,2967.9867576775,1
"Ubr5",0.463203463203463,35,-0.0369942074822015,2944.91582945746,1
"Ubxn4",0.371794871794872,13,-0.402098443571345,-326.032857474261,7.94072148991629e-144
"Ugp2",0.68523606023606,39,1.26748031086499,3182.08612670173,1
"Ulk2",0.517361111111111,24,0.189033824390017,-27.3101827984888,1.46212560158647e-13
"Umad1",0.394791666666667,16,-0.186413124230882,-137.543536830522,8.835705802642e-62
"Unc13b",0.513265921474877,67,0.403896941673643,3190.62509599725,1
"Unc45b",0.563605442176871,21,0.249359468936718,70.591430617219,1
"Upf2",0.427083333333333,16,-0.447458976971221,28.162586859135,1
"Uqcc1",0.544117647058823,17,0.20945336562895,224.416028045121,1
"Urgcp",0.631578947368421,19,0.689659879387849,-68.6794003278724,1.00651687632409e-31
"Uri1",0.488461538461538,13,0.54432051622381,-3034.40223073988,0
"Uso1",0.583333333333333,15,0.280107919192735,452.659665324273,1
"Usp13",0.570386904761905,24,0.637429920615292,107.623904695689,1
"Usp15",0.517307692307692,26,0,2971.48322903532,1
"Usp24",0.579385964912281,38,0.271302021817394,2864.34518390717,1
"Usp25",0.351068376068376,39,-0.763932641766476,2967.20246698452,1
"Usp28",0.551282051282051,13,0.0995356735509141,20.3979996342782,1
"Usp3",0.724358974358974,13,0.478047296804644,-120.296844704601,2.9191431188077e-54
"Usp32",0.493333333333333,15,0.362570079384708,-3019.21667180807,0
"Usp34",0.534073679222933,67,0.182591413278473,3041.42167760431,1
"Usp37",0.25,10,-0.652076696579693,-3363.95206026889,0
"Usp4",0.475490196078431,17,0,-45.394429985196,1.59850809605817e-21
"Usp47",0.47719298245614,19,0.0310268956206246,69.1000124561651,1
"Usp53",0.533333333333333,10,-0.0824621601919726,-3525.02551117639,0
"Usp54",0.361904761904762,14,-0.646363045385299,-2953.70665239717,0
"Usp7",0.363636363636364,11,-0.206450877467426,-3288.07341876109,0
"Usp8",0.4,10,-0.15754127698648,-3379.22028249917,0
"Utrn",0.485819327731092,68,-0.0796171680633682,3298.33343206106,1
"Uvrag",0.544246031746032,28,-0.0671141958585368,-10.722533003413,3.64111745325179e-06
"Vapa",0.644736842105263,19,0.719892080807265,592.685471426845,1
"Vav3",0.402870806442235,42,-0.623436648535792,3248.89490118035,1
"Vcam1",0.456537780401417,44,-0.232977171977614,3428.585168336,1
"Vcl",0.561752136752137,39,0.333126301492226,3150.57223404248,1
"Vcp",0.588888888888889,15,0.53051471669878,-26.9610278146838,2.08602859472461e-13
"Vdac3",0.351190476190476,14,-0.855610090664825,57.5198475170182,1
"Vegfa",0.352579365079365,24,-0.697437229979569,3140.84048290347,1
"Vegfc",0.493344155844156,22,0.128324096975539,-189.618269265968,1.82464859113381e-84
"Vgll4",0.439506172839506,27,-0.511500338780135,39.9505475985848,1
"Vim",0.44833257020757,56,-0.544698630507429,3183.73911962618,1
"Vldlr",0.72156862745098,17,1.06711419585854,66.4577033431324,1
"Vmp1",0.583333333333333,18,0.426264754702098,-119.240663611733,8.43040171423447e-54
"Vps13a",0.529078014184397,47,0.121561979880913,2968.84061466013,1
"Vps13b",0.505832560296846,56,0.026472211361191,3014.24110787238,1
"Vps13c",0.523809523809524,14,0.090197808971578,-3259.57129985326,0
"Vps13d",0.50625,40,0.208946890271496,2971.66074695998,1
"Vps35",0.527777777777778,12,0.0544477840223765,-3368.40843342917,0
"Vps37a",0.525,10,-0.263034405833794,-3022.94638384077,0
"Vps4b",0.516666666666667,10,-0.061400544664143,-6703.69514858315,0
"Vps54",0.526785714285714,28,-0.0238467419543678,2971.46636344149,1
"Vti1a",0.544603174603175,50,0.2606517545228,3359.16227657647,1
"Vwa8",0.519166666666667,20,0.321928094887362,24.6642044212053,1
"Vwf",0.346491228070175,19,-0.765534746362977,133.666808253846,1
"Wac",0.478591954022988,58,-0.210217707390346,2939.86036347827,1
"Wapl",0.409722222222222,24,-0.314873337353412,-198.762242181347,1.90470367339692e-88
"Wasf2",0.487619047619048,35,-0.123735368422245,2348.47887878811,1
"Washc4",0.578985507246377,23,0.280107919192735,-106.726701742066,2.42359231977946e-48
"Wasl",0.5625,16,0.371968777386958,-76.1926990525503,5.21909208638178e-35
"Wbp1l",0.455246913580247,27,-0.20163386116965,-8.51787845991203,3.66824879561085e-05
"Wdfy2",0.573148148148148,18,0.567040592723894,112.421323683468,1
"Wdfy3",0.446412337662338,40,-0.245112497836531,2972.72875882793,1
"Wdr26",0.516666666666667,28,-0.15200309344505,-492.618222588486,2.90639329331851e-216
"Wdr33",0.469727891156463,35,-0.364996816779248,3014.01713624708,1
"Wdr37",0.461538461538462,13,-0.440572591385981,-84.1534993015107,1.73358632938781e-38
"Wdr7",0.549019607843137,17,0.341036917835067,1375.79033033438,1
"Wdr70",0.528703703703704,18,0.228268987673117,-198.316091690729,2.97902161446615e-88
"Wipf1",0.512666666666667,25,-0.234465253637023,3111.99563462378,1
"Wipf3",0.380952380952381,14,-0.229481846122767,-3091.36083382842,0
"Wls",0.53030303030303,11,-0.310340120612151,-5115.00938525029,0
"Wnk1",0.478541305186042,52,-0.165737204478879,3071.04612817266,1
"Wnk2",0.612155388471178,19,0.478047296804644,38.4576925584811,1
"Wsb1",0.368055555555556,12,0.142019004872428,-2997.08701538907,0
"Wwc2",0.633236151603499,49,0.533432200081074,3022.53079846762,1
"Wwox",0.457859608340378,52,-0.0255350921071376,3220.78473632989,1
"Wwp1",0.628,25,0.415037499278844,30.986992716269,1
"Wwtr1",0.41161686896981,51,-0.292450893810529,3116.83557007448,1
