gene,padj_Aged,padj_Young
Dse,0.0384974632903225,6.9722950313067e-4
Dsg2,8.8028612950868e-4,0.095088170221845
Dtnbp1,0.0111976323238834,0.0445177367883082
Efemp1,4.78089842064222e-33,1.3409483346141202e-9
Eif1,1.27308628124555e-7,0.0329376342436879
Eif4a2,5.56051144837231e-9,0.0078794458192344
Elf2,3.52161682491554e-14,0.0543035404236212
Emsy,0.0288835361360675,6.48544795944093e-7
Fam13a,1.2092867807633e-4,6.9169409509352395e-12
Fam210a,0.00450769333722803,3.2124794937731e-4
Fblim1,2.11716291709948e-10,0.0793029351639951
Fbxl20,2.58624598310625e-10,1.5758480892351398e-11
Fbxo28,0.0662582116990588,0.0914676926236786
Fermt2,0.00110181159473751,6.80429335752298e-9
Foxo3,5.47766140347582e-14,8.97866195060059e-6
Frs2,3.9320879922331195e-23,0.0214387591468449
Gas1,1.61725131404164e-5,0.00961700192598874
Gm20647,0.00592126448005419,0.0704294856187593
Gpam,2.69735443807492e-34,7.2393710243485e-4
Gpatch2,2.01524932945454e-12,4.39261863575887e-8
Gpbp1,0.00611371845135588,1.22993905643105e-13
Grb10,0.00245412380706383,4.1038442536629894e-11
Gsk3b,0.00975091923814519,7.12592757452512e-7
Hmbox1,6.01386799476038e-5,1.23827168746564e-6
Hpcal1,1.05719881176856e-7,0.096450507374197
Hsp90ab1,1.02285483597109e-10,0.0575191867922927
Hspa4l,1.7919365517927101e-9,9.419825179674061e-9
Ide,0.0747000511305053,5.9430758041801e-8
Il15,6.32599600370765e-13,2.27238500501793e-9
Ino80d,0.00674195519415183,0.0580893534765557
Ints8,0.0611635529432969,0.0766185398032578
Invs,0.0467251573538721,0.00193969794214221
Ipo7,1.0274012872082399e-12,5.83303712315699e-17
Iqgap1,4.85029203551962e-15,5.383608349075561e-9
Itfg1,6.43855018919829e-22,7.71255503979497e-6
Itgb1,2.35550762537125e-22,9.45938998278803e-10
Itgb5,8.95444803364949e-16,1.2778176725783702e-9
Jph1,1.44162402440014e-17,5.04418989427904e-8
Junb,1.5525410736087102e-9,0.00305943878880851
Kank1,1.9205515235539e-4,5.5351963839452e-9
Kank2,5.0631814810440694e-20,7.2736146294655e-4
Kansl2,5.29218708204262e-8,6.80429335752298e-9
Kcmf1,0.0134817094110188,1.63979701546142e-10
Kdm1a,0.0925716447934032,0.085203774950069
Kdm4c,5.34979369689096e-14,4.89701243647662e-23
