gene,padj_Aged,padj_Young
Lnx1,1,9.90629247732095e-13
Lrpprc,0.724521389843542,2.66856652681009e-8
Lvrn,1,6.87063612661666e-6
Map3k14,0.477676296642596,0.0774376459742711
Mapk10,1,9.903887012161e-7
Mat2a,1,1.5384914282902002e-11
Mccc1,0.393596686825234,0.00795052587118378
Meis1,1,1.91559414406532e-5
Mettl15,0.502494652385078,1.87307903739394e-6
Mfhas1,1,5.0955114738595793e-11
Mlxip,0.586162225784008,0.0497243990435994
Mlxipl,0.476779044134222,0.0638192243088621
Mmaa,0.104919559917694,3.5129994376503e-4
Mon2,0.136043198539648,4.89701243647662e-23
Mprip,0.153803309034572,4.90170909765626e-6
Mrpl3,1,0.00115730411703668
Mrps9,0.323021237386408,9.242676792808139e-13
Msra,1,1.5346236530336e-4
Mt2,0.706934448543603,0.00661767916825492
Myh9,1,0.0649565414679297
Mylk4,0.703804639170982,8.83172939951665e-8
Myo10,1,8.65608551570669e-7
Naa15,1,4.02194290833679e-22
Naa50,0.38407868102926,6.190546929084e-5
Nck2,0.464520667489739,0.00339867074134294
Ndfip2,0.41885461661055,0.0384685026329785
Ndrg2,0.262322739559298,0.00465147445582944
Ndrg3,0.596546241517347,0.0202625212620546
Ndufa10,0.142214875737296,0.0020860720540857
Ndufb1,0.727461815827082,0.00241443798995942
Ndufv1,0.497149744694537,1.13226078553175e-5
Nek1,0.159627226190602,1.5346236530336e-4
Ngf,1,9.0744840166146e-4
Nhsl1,1,7.65989286105634e-19
Noct,1,0.0300598268876837
Nos1ap,1,2.2150834052976e-4
Nploc4,1,8.2784131978732e-4
Nr4a3,1,5.1842449472784e-4
Nsmaf,0.26465632986339,1.6593587720915e-4
Nt5c2,0.231241882471189,0.00626309022809077
Osbpl2,0.682921008860061,0.0386388726841963
Pak1,1,0.0956872807370666
Palmd,1,2.71630832364681e-10
Patl1,0.210655831377087,0.0579964193698876
Pcsk7,0.339320925291241,0.00437252085161243
Pcx,0.663378951660138,0.0020860720540857
Pcyt2,1,0.0309066184871283
Peak1,0.370228133456508,0.0092315864907039
Pex14,0.27158037523882,1.59935395194053e-6
Pgm5,1,5.52852682507075e-12
Phldb1,1,2.0983242872999502e-17
Pi4ka,1,2.34014494470343e-8
Piezo1,0.149520083365469,8.77690456308481e-8
Pip4p2,0.391842758340509,0.0592304835016092
Pkp4,0.168241292528499,1.2479297236229599e-22
Plce1,1,1.25187361086501e-13
Plekhg2,0.115187632747965,0.00510321158444657
Plod2,1,3.4363573774518505e-15
Plpp1,1,4.0637473413582896e-19
Plxna4,1,5.0810593994920805e-17
Pmm2,0.64241968126175,0.0024559175246707
Pon2,1,0.0070180938144958
Ppm1a,1,9.903887012161e-7
Ppp4r2,0.127104320754009,0.0401968733741267
Prrc2c,1,1.5639349413797298e-25
Ptges3,0.525820999491629,0.0868729618578103
Ptp4a2,1,1.3878544678919902e-9
Ptpn14,1,7.06182076132649e-13
Ptpn3,0.788055728064873,6.3459472809116e-5
Ptpn9,0.124913349531512,5.2982091652543e-8
Pxk,1,0.0041644865319601
Rab21,0.107555248033502,5.14829164881487e-5
Rabep1,1,1.1998202485102e-11
Rabgap1,1,1.3488469444551598e-19
Rap1gds1,1,2.56044305767391e-8
Rasa1,1,5.77720748576692e-21
Rassf3,0.293428955273756,0.022557371514394
Rassf8,1,0.0199660352394035
Rb1,1,0.00613937317139165
Rbm28,0.107555248033502,9.5516898859104e-7
Rc3h1,0.110061551223839,3.1659403086923e-4
Rin2,0.303491051413813,7.5429353989777e-9
Rin3,1,1.85144103318958e-8
Ripor2,1,3.2462118992699e-8
Rnf14,0.474064207058282,0.0615063234674932
Rnf169,1,4.31810589441753e-6
Rnls,0.263609670258648,3.1807953180548205e-15
Rps6ka2,1,2.51369378206451e-6
Rps6ka5,0.28480954465238,3.1457518466743e-4
Rptor,1,0.0886307461629042
Rrbp1,1,1.9459843902278801e-10
Rsbn1l,1,0.0430852805083492
Rsrc1,1,2.38506555691119e-14
