"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"Plxdc2",0.502302942605906,0.498181121960573,0.697246453045531,0.667205482127566,0.603546409550409,1.79793459552496,1869,1.73727578703781,1.75420724689796,1.75420724689796
"Plxna2",0.555871212121212,0.545918367020216,998.999999999999,958.163804164231,870.489901304574,0.0674698795180723,176,1.48201144538047,1.4340353198707,1.4340353198707
"Plxna4",0.642415169660679,0.605577689242986,998.999999999999,950.399177675323,850.280486809608,0.0864027538726334,167,1.68394463591807,1.42316559529408,1.42316559529408
"Plxnc1",0.450381679389313,0.440789473684211,998.999999999999,953.745318460797,858.989668917562,0.0523235800344234,131,1.553653021279,1.4042042317717,1.4042042317717
"Pmepa1",0.458553791887125,0.469601677219271,998.999999999999,932.140149184664,802.756723036781,0.164199655765921,378,1.50306006870501,1.48620552224898,1.48620552224898
"Pmm2",0.467991169977925,0.469879518388091,998.999999999999,957.505429764607,868.77631454623,0.0571428571428571,151,1.43895631739301,1.41424334380613,1.41424334380613
"Pmp22",0.451114341085271,0.440092165915159,998.999999999999,935.847208658754,812.405287790848,0.149397590361446,344,1.41609620800485,1.47661802595642,1.47661802595642
"Pmvk",0.594017094017094,0.571428571428577,998.999999999999,794.267394462085,443.907826475999,0.0240963855421687,39,2.01727770528821,1.22666972905318,1.22666972905318
"Pnisr",0.562822497420021,0.568098159311358,998.999999999999,802.357350368342,464.963993490484,0.280550774526678,646,1.40726055685111,1.53696578967028,1.53696578967028
"Pnn",0.535460992907801,0.541935483729567,998.999999999999,954.853952166841,861.875169993571,0.0533562822719449,141,1.51795726564749,1.40648830212831,1.40648830212831
"Pnpla8",0.5,0.486301369863549,998.999999999999,950.905134706288,851.597368615839,0.0502581755593804,135,1.49869860748665,1.39918469113771,1.39918469113771
"Pnpt1",0.503240740740741,0.504629629817756,998.999999999999,956.319115315334,865.688629586628,0.074354561101549,180,1.46477461740638,1.43475810761471,1.43475810761471
"Poc1b",0.473076923076923,0.456953642400501,998.999999999999,953.332202976812,857.914430841131,0.0519793459552496,130,1.60483165782849,1.40341434499338,1.40341434499338
"Poc5",0.402439024390244,0.407407407407408,998.999999999999,943.014454371255,831.059866938745,0.0464716006884682,123,1.43717389925762,1.38951634139136,1.38951634139136
"Podn",0.382269503546099,0.391941391941392,998.999999999999,946.27345264358,839.542238501354,0.0939759036144578,235,1.37551604321649,1.42663075520424,1.42663075520424
"Podxl",0.552238805970149,0.568181818181819,11.2875492806583,236.810320887892,598.016798543455,0.0302925989672978,67,1.28771104781501,1.30791470474844,1.30791470474844
"Pogz",0.440298507462687,0.43859649122807,998.999999999999,954.525764675273,861.020978609267,0.0784853700516351,201,1.49690292587884,1.43084741560227,1.43084741560227
"Polb",0.463922764227642,0.481283422677793,998.999999999999,958.559292708058,871.519260787818,0.0643717728055078,164,1.43331315302759,1.42964126613706,1.42964126613706
"Pold3",0.565934065934066,0.553398058252425,998.999999999999,892.354504441467,699.204467598184,0.0354561101549053,91,1.44149870538084,1.35928348029412,1.35928348029412
"Polk",0.439153439153439,0.453333333333333,998.999999999999,952.896046314921,856.779222241274,0.0516351118760757,126,1.50051913982097,1.40260782459737,1.40260782459737
"Polr1a",0.379120879120879,0.386138613861386,998.999999999999,887.746764972755,687.211654171674,0.0347676419965577,91,1.35470990255604,1.35425109598273,1.35425109598273
"Polr2a",0.441747572815534,0.453846154412501,998.999999999999,937.99766942591,818.002408664685,0.044750430292599,103,1.55943670470732,1.3860594553574,1.3860594553574
"Pon2",0.508241758241758,0.524752473505034,998.999999999999,957.777668498255,869.484885063786,0.0695352839931153,182,1.49201384229715,1.43541313067372,1.43541313067372
"Por",0.61219739292365,0.619153674832924,998.999999999999,935.03886044532,810.301356053129,0.154561101549053,358,1.45410355852987,1.48016852674227,1.48016852674227
"Postn",0.780327787680729,0.702127659571531,2.06366332422175,325.373178130146,843.512965176285,0.0485370051635112,51,2.14243129088152,1.39446347227528,1.39446347227528
"Pot1a",0.527964205816555,0.547058823479694,998.999999999999,958.028701576045,870.138262470702,0.0585197934595525,149,1.49150813893472,1.41701226819394,1.41701226819394
"Pot1b",0.59535864978903,0.594444444444444,998.999999999999,958.605652134116,871.63992298043,0.0619621342512909,158,1.45295395439936,1.42430175894558,1.42430175894558
"Pou2f1",0.509936766034327,0.527027027027027,998.999999999999,935.360936301134,811.139640351576,0.152839931153184,369,1.5298336589257,1.47902426816978,1.47902426816978
"Ppard",0.357291666666667,0.358974358974419,998.999999999999,936.158447234292,813.215365312137,0.134251290877797,320,1.46676851366662,1.46253296299652,1.46253296299652
"Pparg",0.521131432669894,0.497607655498916,998.999999999999,957.154993846086,867.864215974401,0.0719449225473322,143,1.54489073562454,1.43569560772811,1.43569560772811
"Ppat",0.48015873015873,0.454545454694449,998.999999999999,882.96259818678,674.759643797584,0.03407917383821,84,1.48050234371523,1.34859900623196,1.34859900623196
"Ppfia1",0.567484662576687,0.549738219644462,998.999999999999,958.419626792632,871.155744734637,0.0657487091222031,163,1.39520365527045,1.43196819068814,1.43196819068814
"Ppfia2",0.49702380952381,0.501567398119122,998.999999999999,938.919291447804,820.401164287347,0.109810671256454,224,1.81069976082309,1.43928481705115,1.43928481705115
"Ppfibp1",0.380175983436853,0.388613861386139,998.999999999999,936.284768656137,813.544148928105,0.139070567986231,322,1.44505328129432,1.46785660988479,1.46785660988479
"Ppfibp2",0.749063670411985,0.757009345794297,998.999999999999,901.045861220876,721.825933283574,0.0368330464716007,89,1.22206444956101,1.36740102665645,1.36740102665645
