"gene","phi_hat","phi_trend","df","statistic","p_over","p_under","p_two","padj_over","padj_two"
"Dennd5b",1.75284848355468,1.60931083542962,28,30.4973759319957,0.339845141802581,0.660154858197419,0.679690283605161,0.726687550456449,0.999912566988752
"Dennd6a",1.95958955963889,1.60322325440195,23,28.1124664003873,0.211558558794351,0.788441441205649,0.423117117588703,0.726687550456449,0.999912566988752
"Dip2b",1.36132742259515,1.45050261535202,20,18.7704235509396,0.536790649474187,0.463209350525813,0.926418701051626,0.726687550456449,0.999912566988752
"Dip2c",1.49918300506274,1.57018197444921,57,54.4226291468872,0.572366267915347,0.427633732084654,0.855267464169307,0.726687550456449,0.999912566988752
"Dlc1",1.32509938354692,1.51360329595599,31,27.1392649578036,0.665159825234608,0.334840174765392,0.669680349530783,0.742407517824395,0.999912566988752
"Dleu2",1.56903453302547,1.59978348159605,49,48.0581859999859,0.511263692336595,0.488736307663405,0.977472615326811,0.726687550456449,0.999912566988752
"Dlg1",1.61603021540989,1.58490661391851,45,45.8836874392551,0.435346345682567,0.564653654317433,0.870692691365134,0.726687550456449,0.999912566988752
"Dnajc1",1.28938748879791,1.46941518024241,37,32.4668873215617,0.681448201410387,0.318551798589613,0.637103597179226,0.742407517824395,0.999912566988752
"Dnajc13",1.15253278555678,1.40340957501053,18,14.7822777537102,0.67685854058913,0.32314145941087,0.64628291882174,0.742407517824395,0.999912566988752
"Dnm3",1.21282374903518,1.4398750030804,34,28.6386022251778,0.727678855071356,0.272321144928644,0.544642289857289,0.76124337790675,0.999912566988752
"Dock1",1.25414469515438,1.44534188571915,59,51.1951793172392,0.755136969916107,0.244863030083893,0.489726060167786,0.781667425669963,0.999912566988752
"Dock4",1.57349044528578,1.60453775381303,66,64.7229204436426,0.521420570978857,0.478579429021143,0.957158858042286,0.726687550456449,0.999912566988752
"Dock6",1.10086915139309,1.37388476538867,34,27.2435884655698,0.787723815294447,0.212276184705553,0.424552369411106,0.809129353753535,0.999912566988752
"Dock9",1.47975370207161,1.55457706561194,71,67.5826983242724,0.593011354948047,0.406988645051953,0.813977290103907,0.726687550456449,0.999912566988752
"Dpysl3",1.51633191858344,1.54116295525152,32,31.484419755438,0.492512423439274,0.507487576560726,0.985024846878548,0.726687550456449,0.999912566988752
"Dst",1.2043576798967,1.41061126411703,65,55.4959762371432,0.793546475874667,0.206453524125333,0.412907048250667,0.810877390239725,0.999912566988752
"Dyrk1a",1.1120784417582,1.37151300797881,32,25.9468994674036,0.765951135354501,0.234048864645499,0.468097729290998,0.791064287333337,0.999912566988752
"Dysf",1.7086387662432,1.60027617802521,32,34.166877736851,0.363929798791244,0.636070201208756,0.727859597582488,0.726687550456449,0.999912566988752
"Ebf1",1.93963653656945,1.76659840598732,64,70.2687933600095,0.275764902402823,0.724235097597177,0.551529804805646,0.726687550456449,0.999912566988752
"Ece1",1.60218212340825,1.61175494091051,51,50.6970918591758,0.485620600378823,0.514379399621177,0.971241200757647,0.726687550456449,0.999912566988752
"Ecpas",1.54940285752681,1.54239318705549,31,31.1408848187573,0.459129204629091,0.54087079537091,0.918258409258181,0.726687550456449,0.999912566988752
"Eeig2",1.41124006022908,1.47925534041725,26,24.8045354736434,0.530060224996801,0.469939775003199,0.939879550006397,0.726687550456449,0.999912566988752
"Efna5",2.04107539612817,1.75306205835219,37,43.0787885100474,0.227269297470572,0.772730702529428,0.454538594941143,0.726687550456449,0.999912566988752
"Egfr",1.89531864072056,1.59692328010577,18,21.3634154865038,0.26147626878646,0.73852373121354,0.52295253757292,0.726687550456449,0.999912566988752
"Ehbp1",1.56543036749944,1.55113109649874,35,35.3226513130669,0.452964807868356,0.547035192131644,0.905929615736712,0.726687550456449,0.999912566988752
"Eif4g3",1.51085743796847,1.52489704134054,28,27.742206271138,0.478169780316569,0.521830219683431,0.956339560633137,0.726687550456449,0.999912566988752
"Elk3",1.48165625024413,1.56096491356493,55,52.2055896678151,0.582071740582308,0.417928259417692,0.835856518835383,0.726687550456449,0.999912566988752
"Elmo1",1.59560779719046,1.61462892008478,70,69.1753655678776,0.505398609356548,0.494601390643452,0.989202781286903,0.726687550456449,0.999912566988752
"Eln",1.54880542477424,1.60157526910208,33,31.9126924619689,0.52110768580774,0.47889231419226,0.957784628384521,0.726687550456449,0.999912566988752
"Emcn",1.52244734517057,1.54052164801558,28,27.6714875897317,0.481954201422432,0.518045798577568,0.963908402844864,0.726687550456449,0.999912566988752
"Eml4",1.34267321022703,1.476577263928,41,37.2818971036199,0.636618098864499,0.363381901135501,0.726763802271002,0.732175379424282,0.999912566988752
"Erbin",1.20111343861152,1.4261669438442,27,22.7393174287833,0.698934696497519,0.301065303502481,0.602130607004962,0.746472933093483,0.999912566988752
"Errfi1",1.65251887892118,1.63087136567571,30,30.3982076152861,0.445401344772898,0.554598655227102,0.890802689545796,0.726687550456449,0.999912566988752
"Esyt2",1.41475996258509,1.51629915569258,41,38.2544290473436,0.593330256183429,0.406669743816571,0.813339487633141,0.726687550456449,0.999912566988752
"Etl4",2.47767076088313,1.92702579532503,47,60.430185233647,0.0902850932179804,0.90971490678202,0.180570186435961,0.726687550456449,0.999912566988752
"Ets1",1.43879507824055,1.51986118634176,44,41.6531351754311,0.572720951831422,0.427279048168578,0.854558096337156,0.726687550456449,0.999912566988752
"Etv6",1.53882521663682,1.58466267615897,41,39.814046756649,0.523272087723491,0.476727912276509,0.953455824553018,0.726687550456449,0.999912566988752
"Ext1",1.99053124655791,1.78512879398251,57,63.5585966885213,0.256527336785005,0.743472663214995,0.513054673570011,0.726687550456449,0.999912566988752
"Fabp4",1.76840653381625,1.59002097094345,20,22.2438139638743,0.327428552550106,0.672571447449894,0.654857105100211,0.726687550456449,0.999912566988752
"Faf1",1.59711004959773,1.58185193615279,43,43.4147663021661,0.453631188602096,0.546368811397904,0.907262377204192,0.726687550456449,0.999912566988752
"Fam168a",2.19663944309851,1.68933564162389,27,35.1080409969022,0.136150162315861,0.863849837684139,0.272300324631722,0.726687550456449,0.999912566988752
"Fam222b",1.47477777939166,1.51781749010343,33,32.0642416082637,0.513529313830541,0.486470686169459,0.972941372338917,0.726687550456449,0.999912566988752
"Farp1",1.50276818632485,1.56222655998588,42,40.4014791722747,0.541265776020959,0.458734223979041,0.917468447958081,0.726687550456449,0.999912566988752
"Fbn1",1.69264809174212,1.63508676007295,50,51.7601919688532,0.404958886271425,0.595041113728575,0.80991777254285,0.726687550456449,0.999912566988752
"Fbxl17",1.49261038576512,1.56563686310666,56,53.3879749337206,0.574351458160762,0.425648541839238,0.851297083678477,0.726687550456449,0.999912566988752
"Fbxl7",1.91459546653542,1.74388973904069,50,54.8943956625558,0.294416626390985,0.705583373609014,0.588833252781971,0.726687550456449,0.999912566988752
"Fbxo11",1.73943882936245,1.58507294055545,25,27.4346811565799,0.334524859251517,0.665475140748483,0.669049718503035,0.726687550456449,0.999912566988752
"Fcho2",1.69940144227754,1.61733734729675,39,40.9788695967482,0.383750557382535,0.616249442617465,0.767501114765071,0.726687550456449,0.999912566988752
"Fgl2",1.64538823559481,1.58988166117967,34,35.1870213841666,0.411755722189312,0.588244277810688,0.823511444378624,0.726687550456449,0.999912566988752
"Filip1",1.61930033095091,1.56702316656767,34,35.1342675889875,0.41418790340662,0.58581209659338,0.828375806813241,0.726687550456449,0.999912566988752
"Fli1",1.7355214401507,1.62951357515831,40,42.6021965476929,0.359766192680082,0.640233807319918,0.719532385360164,0.726687550456449,0.999912566988752
"Flnb",1.99762605345041,1.68898034082837,33,39.0304482357278,0.217000509145941,0.782999490854059,0.434001018291882,0.726687550456449,0.999912566988752
"Flrt2",1.68425178991855,1.61706398064283,33,34.3711255291317,0.401916300049329,0.598083699950671,0.803832600098659,0.726687550456449,0.999912566988752
"Flt1",1.76403422680632,1.60609812501837,16,17.5733644098354,0.34946437008465,0.65053562991535,0.698928740169299,0.726687550456449,0.999912566988752
"Flt4",1.48453614192531,1.55428804265404,52,49.6663921111427,0.56618369369236,0.43381630630764,0.867632612615281,0.726687550456449,0.999912566988752
"Fmnl2",1.70037510982376,1.66608826141073,69,70.4199683145813,0.429852594305699,0.570147405694301,0.859705188611399,0.726687550456449,0.999912566988752
