"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"Afg3l2_rep2",0.419594444444444,3000,-2483.12773383659,-2472.95981172071,-10.1679221158779,6.49719700909362e-06,1.80477694697045e-05
"Nppb",0.6247,3000,-2079.74183511455,-2026.95521003365,-52.7866250808986,9.14539757966356e-25,9.94064954311257e-24
"Birc6",0.573755555555556,3000,-2628.11297628546,-2598.63226333671,-29.4807129487581,1.60793433697638e-14,1.03072713908742e-13
"Irf2_rep5",0.33149484126984,3000,-2376.09583522195,-2358.29319798604,-17.8026372359109,2.41632401977155e-09,1.02386611007269e-08
"Clu",0.708166666666667,3000,-1873.83517808313,-1843.51216843145,-30.323009651682,6.83180817642766e-15,4.49461064238662e-14
"Idh3b",0.365596428571428,3000,-2672.78177362017,-2618.39274851812,-54.3890251020584,1.81514496207032e-25,2.06266472962537e-24
"Afg3l2_rep1",0.416019047619048,3000,-2467.08465960923,-2455.38739395015,-11.6972656590815,1.31953129496995e-06,4.07262745361097e-06
"Nppb_rep1",0.516166666666667,3000,-2157.29568333743,-2109.35422032499,-47.9414630124393,1.21882005744728e-22,1.17194236293008e-21
"Cdh19",0.943525396825397,3000,-1110.39585899399,-1065.90516865113,-44.4906903428616,3.98546064666289e-21,3.43574193677835e-20
"Birc6_rep1",0.472033333333332,3000,-2811.09322815852,-2751.52403437253,-59.5691937859829,9.76720397909827e-28,1.1911224364754e-26
"Abcd3_rep2",0.5968,3000,-2417.10324228043,-2406.79851542209,-10.3047268583441,5.63173288432215e-06,1.59088499557123e-05
"Zswim6_rep1",0.509111111111111,3000,-2154.68129336125,-2110.06603171793,-44.6152616433242,3.51385363316536e-21,3.08232774839067e-20
"Abcd3_rep1",0.566094444444445,3000,-2454.93802283277,-2444.01910741765,-10.9189154151218,2.96692288095667e-06,8.88300263759483e-06
"Abcd3",0.530408730158731,3000,-2458.89389436236,-2450.04792250931,-8.84597185304983,2.59724284955693e-05,6.79906505119614e-05
"Per3",0.40164365079365,3000,-2344.2043125248,-2339.85849838297,-4.34581414183731,0.0031967491599288,0.00574954884879281
"Afg3l2",0.419076984126984,3000,-2413.97605909875,-2405.10163083262,-8.87442826612914,2.52068955098101e-05,6.63339355521319e-05
"Mpped2_rep1",0.308038672438672,3000,-2095.8487072975,-2094.7295598443,-1.11914745320428,0.134629365923234,0.153686490779947
"Gm9895_rep1",0.799982419432419,3000,-2265.15006076691,-2184.64941021285,-80.5006505540687,6.83723079643605e-37,1.5539160900991e-35
"Rapgef4",0.499666666666667,3000,-2143.97440420811,-2104.55138633383,-39.4230178742846,6.71440424170315e-19,5.50361003418291e-18
"Gm9895_rep5",0.796199158249158,3000,-2223.0278940848,-2153.08835204054,-69.9395420442643,2.82914585135443e-32,4.4205403927413e-31
"Slc6a6_rep2",0.413999999999999,3000,-2090.87125658987,-2060.06375650714,-30.8075000827293,4.17624954169016e-15,2.78416636112677e-14
"D830024N08Rik_rep1",0.57475,3000,-2158.04041431902,-2141.18189125838,-16.8585230606463,6.37396986872176e-09,2.59104466208202e-08
"Gata6os",0.49225,3000,-2256.83629205248,-2258.86406480033,2.02777274784921,1,1
"Gm9895",0.803443939393939,3000,-2208.94529324923,-2136.87154215031,-72.0737510989197,3.29869231558401e-33,5.68740054411036e-32
"Fermt2_rep1",0.495882804232804,3000,-2179.13911209679,-2158.79605921174,-20.3430528850527,1.78753665527121e-10,8.4317766758076e-10
"Gm9895_rep2",0.797695526695527,3000,-2295.20959635903,-2212.8204702186,-82.3891261404356,1.02270522198872e-37,2.55676305497179e-36
"Gm9895_rep4",0.793337133237133,3000,-2247.02583594564,-2174.65639517947,-72.3694407661692,2.44933549833176e-33,4.37381338987815e-32
"Slc39a14_rep1",0.365883333333336,3000,-2227.42730557327,-2226.08485842752,-1.34244714574925,0.101303948098242,0.11806986957837
"Cdh8_rep1",0.0402566137566137,3000,-873.236843683496,-839.441921253457,-33.7949224300393,2.01301729189318e-16,1.50225171036804e-15
"Ppip5k1",0.440144444444444,3000,-2437.63110632115,-2426.98197601206,-10.6491303090843,3.93088012398214e-06,1.14269771045992e-05
"Per3_rep1",0.509797619047619,3000,-2397.69520661958,-2391.9992765818,-5.69593003777481,0.000737666293167513,0.00153042799412347
"Slc39a14",0.44062803030303,3000,-2356.44151433853,-2352.86166249503,-3.57985184349673,0.00745595126804535,0.0119870599164716
"Dennd4c",0.476777777777778,3000,-2186.24211472101,-2166.80735986608,-19.4347548549313,4.5310274049521e-10,2.02278009149647e-09
"Ube2k_rep3",0.48020873015873,3000,-2388.50132653007,-2384.06449746181,-4.43682906825643,0.00289314817728891,0.0052826546372834
"Tmem144",0.938981349206349,3000,-1204.54739773003,-1152.69511436741,-51.8522833626232,2.34849280955152e-24,2.49839660590587e-23
"Mpped2",0.241230952380952,3000,-1821.99046942863,-1821.88222876154,-0.10824066709074,0.641734144144707,0.682695898026284
"Gnaq_rep1",0.474183333333334,3000,-2208.81483441499,-2200.69620712788,-8.11862728710958,5.58842782594394e-05,0.000140412759445828
"Nos1ap",0.486894444444444,3000,-2332.7303421322,-2331.4286916597,-1.30165047250557,0.106641392825911,0.123427537992952
"Ankhd1",0.471065873015873,3000,-2427.98874013685,-2418.18496670077,-9.80377343608097,9.50928395493655e-06,2.6268740207007e-05
"Slc39a14_rep3",0.488378787878788,3000,-2396.83032509109,-2390.26990581874,-6.56041927234219,0.000292029297339265,0.000657723642656001
"Gnaq",0.487816666666666,3000,-2194.16000075736,-2183.18287043009,-10.977130327271,2.79226312454403e-06,8.41043109802418e-06
"Afg3l2_rep3",0.431283333333333,3000,-2488.93999749568,-2467.53488690979,-21.4051105858912,6.03161850282883e-11,3.01580925141441e-10
"D830024N08Rik",0.563474747474747,3000,-2197.18840874708,-2193.8679139805,-3.32049476658085,0.00996585643593575,0.0149189467603829
"Slc39a14_rep2",0.483561111111111,3000,-2377.99093357279,-2372.17046695662,-5.82046661616505,0.000645162270990595,0.00136686921820041
