"","N","AR","tot_gene_mean","tot_gene_variance","alpha","beta","bb_mu","bb_theta","phi","id","theta_smoothed","thetaCorrected","theta_common","resid","AR.1","N.1","log2FC","loglik0_mean","loglik1_mean","llr_mean","pval_mean"
"Abca8b",32,0.663194444444444,2.75,2.25806451612903,0.285805584323598,0.163317476756342,0.636363636363636,2.22656124046592,2.21946488615131,45,0.98002600128026,1.48718781367339,0.98002600128026,1.24653523918566,0.650684931506849,32,0.775293712825304,-68.1566485443953,-64.2169344171452,-3.93971412725008,0.00500002853871028
"Abca9",17,0.588235294117647,2.41176470588235,0.632352941176471,0.868310010859211,0.74990409981112,0.536585366011622,0.617965195956522,1.52344947194858,46,2.0479173309117,1.57551537182441,2.0479173309117,-1.42995213495518,0.412429378531073,17,-0.32930762525296,-48.3592270373772,-49.266614208045,0.907387170667818,1
"Abcc1",15,0.411111111111111,2.4,0.4,0.346077041525234,0.543835350968225,0.388888888888889,1.12370611807988,1.74585594877252,47,2.12814740302048,1.82009839688355,2.12814740302048,-1.0044412849406,0.410569105691057,15,-0.596103058326356,-64.3973844406449,-62.7161252528593,-1.68125918778554,0.0666960000398204
"Abcc5",59,0.491242937853107,2.54237288135593,0.666277030976038,0.541751609329109,0.571436629018375,0.486666666666667,0.898320666309311,1.72991098962307,48,1.42478209467327,1.27399045032694,1.42478209467327,-0.52646142836396,0.502347417840376,59,4.44089209850063e-16,-117.050547021594,-117.123108336043,0.0725613144485067,1
"Abcc9",144,0.425,2.84027777777778,1.11417055167055,5.48296743215102,7.40515715818996,0.425427873056118,0.0775908079558333,1.13250848145726,49,0.883294528743651,0.607789522495439,0.883294528743651,-0.805703720787818,0.473354828290451,144,-0.254220357063348,-280.045610126654,-280.349827132268,0.304217005614703,1
"Abcd3",56,0.625595238095238,2.48214285714286,0.690584415584416,1.17491798733462,0.702249831510348,0.625899280575539,0.532717421405246,1.51535866388206,50,1.66333625286734,1.29134375203997,1.66333625286734,-1.13061883146209,0.567750677506775,56,0.485426827170241,-107.85664443024,-107.357057670378,-0.499586759862169,0.317510574569613
"Abhd17b",20,0.3375,2.2,0.273684210526316,0.0642346742737057,0.137645730586264,0.318181818182209,4.953427751909,2.00043903712868,51,5.13123132011549,5.24064998879706,5.13123132011549,-0.177803568206489,0.439393939393939,20,-0.637429920615291,-47.823528571065,-49.0565596497654,1.23303107870041,1
"Abhd18",85,0.496134453781513,3.16470588235294,1.87731092436975,0.555152157858246,0.576180648685398,0.490706319702955,0.883913198853588,2.01568080279612,52,0.670498237162804,0.774662522368759,0.670498237162804,0.213414961690784,0.543483709273183,85,0.117183539370339,-145.988125374452,-146.357530907519,0.369405533066725,1
"Abhd2",14,0.285714285714286,2.35714285714286,0.554945054945055,0.301968699545478,0.694528008954595,0.303030303030304,1.00351560769849,1.67849344469779,53,2.47585739552243,2.0021146538548,2.47585739552243,-1.47234178782394,0.370056497175141,14,-0.704544116473828,-45.1243636293971,-43.7916842602088,-1.33267936918834,0.10255469954565
"Abhd5",10,0.55,2.1,0.1,0.000572000572000534,0.000429000429000468,0.571428571428533,998.999999999999,2.49572205878878,54,8.96884680630946,385.239314801163,8.96884680630946,990.03115319369,0.522727272727273,10,4.44089209850063e-16,-30.4970792675678,-30.6757086560301,0.178629388462252,1
"Abhd6",11,0.136363636363636,2.09090909090909,0.0909090909090909,0.104489584434632,0.696597229564203,0.130434782608697,1.24830415695927,1.58737593862355,55,9.46793378781476,6.67303592242545,9.46793378781476,-8.2196296308555,0.205128205128205,11,-1.67807190511264,-27.3867319012169,-20.8853798354418,-6.5013520657751,0.000311041470314379
"Abi1",96,0.679760950854701,2.83333333333333,2.56140350877194,1.04428338332163,0.412358055854967,0.716911763757002,0.686510745269798,1.7436269631671,56,0.889653303979297,0.84318826030278,0.889653303979297,-0.203142558709499,0.645953647416413,96,1.23067903252141,-190.502206015964,-179.636107055925,-10.8660989600395,3.13485356248568e-06
"Abi2",35,0.44047619047619,2.25714285714286,0.25546218487395,0.387016386725207,0.439315898428721,0.468354430388877,1.21016692433084,1.68790394476482,57,3.82824424679136,2.96604609094494,3.82824424679136,-2.61807732246052,0.472916666666667,35,-0.491388385408959,-86.1094870460368,-85.8757814381639,-0.233705607872949,0.494180547276783
"Abl2",15,0.491111111111111,2.4,0.828571428571429,1.29426473996754,1.44653117996373,0.472222222222222,0.364857519207441,1.3728232530883,58,2.12814740302048,1.53192804288136,2.12814740302048,-1.76328988381304,0.498792270531401,15,-0.231325546106457,-57.8217036315662,-57.8404342136206,0.0187305820544452,1
"Ablim1",262,0.477443511864207,10.263358778626,60.378652276915,4.92638845998019,5.07894278539403,0.492376348085208,0.0999467159532905,1.84180767688995,59,0.106885598958935,0.107936290404961,0.106885598958935,-0.00693888300564421,0.477526634615567,262,-0.0442064761194703,-486.200270319219,-485.50001779661,-0.70025252260848,0.236639027925107
"Ablim2",13,0.58974358974359,2.23076923076923,0.192307692307692,0.000552276413838007,0.000448724587162995,0.551724137424169,998.999999999999,3.11298380246098,60,4.36917308002079,382.227743177665,4.36917308002079,994.630826919978,0.529411764705882,13,0.371968777386957,-23.5610732884789,-23.5483939012476,-0.0126793872312554,0.873476335063828
"Ablim3",14,0.380952380952381,2.57142857142857,0.571428571428572,1.2660958921537,1.77253424901518,0.416666666666667,0.329095662697313,1.38677564942066,61,1.33281113406916,0.997612364753557,1.33281113406916,-1.00371547137184,0.480952380952381,14,-0.347923303420306,-37.0923269423676,-37.0739010607193,-0.0184258816483407,0.847767168939373
"Abr",14,0.517857142857143,2.42857142857143,0.417582417582418,0.142924073580963,0.127043620960856,0.529411764705881,3.70414690430709,2.12769854046354,62,1.9424554557281,2.67843343096434,1.9424554557281,1.76169144857899,0.469503546099291,14,-0.140862535839852,-40.4826673944178,-40.7393951202289,0.256727725811103,1
"Abra",85,0.346802272122341,4.24705882352941,11.06918767507,0.487779865491174,1.00449582469784,0.326869806094201,0.670117463264001,2.29848916415855,63,0.365773867359976,0.493960276769815,0.365773867359976,0.304343595904024,0.386914873846692,85,-1.05950101174866,-136.54831332867,-129.850445607103,-6.69786772156706,0.000252197036488769
