"","AR","N","log2FC","llr_var","pval_var"
"Plcb4",0.502083333333333,12,-0.176877762084079,-1144.0555850163,0
"Plcl1",0.518587301587302,25,-0.131244533278252,1323.2662259114,1
"Plekhg1",0.410714285714286,14,-0.169925001442313,-960.748497379715,0
"Plekhm2",0.5921875,16,0.426264754702098,29.1789174943015,1
"Pln",0.532913165266106,17,0.237039197300849,112.47918433951,1
"Plod2",0.483766233766234,11,0.137503523749935,-1126.40689714377,0
"Plpp1",0.468627450980392,17,-0.192645077942396,-1159.95624821148,0
"Plpp3",0.438888888888889,12,0.0740005814437768,-1431.37497610935,0
"Plxdc2",0.509669312169312,30,-0.103622631074157,1492.86125406675,1
"Plxna2",0.375,10,-0.222392421336448,-1152.19272516058,0
"Plxna4",0.403030303030303,11,0,-1188.25500025263,0
"Pnisr",0.477272727272727,11,0.506959988719883,-1122.67178518396,0
"Pou2f1",0.5,11,0,-1143.3129694427,0
"Pparg",0.495833333333333,10,0,-1305.89890685289,0
"Ppip5k2",0.633333333333333,10,0.857980995127572,-1314.79209497535,0
"Ppp1r12a",0.374861111111111,20,-0.465663572348812,-55.4514639960444,6.21401537362873e-26
"Ppp2r3a",0.347008547008547,15,-0.351472370501378,-1106.40467628059,0
"Prex2",0.404787895031797,41,-0.760534065304611,1437.84106959331,1
"Prkca",0.473420479302832,18,-0.0339473319233378,-27.9778914059104,7.41193999465031e-14
"Prkce",0.503140096618357,23,-0.249359468936717,53.6883011143298,1
"Prkch",0.451556776556777,21,-0.306661338234052,-42.1832548891223,4.11052018048959e-20
"Prkd1",0.584444444444444,15,0.321928094887362,-38.6699247588199,1.43932528791501e-18
"Prkg1",0.1114277789335,23,-2.83140039602426,2238.46864642614,1
"Prpf39",0.424242424242424,11,-0.321928094887362,-1187.40250896467,0
"Prrc2c",0.384722222222222,12,-0.770518153877233,-1134.65127754527,0
"Psme4",0.493944099378882,23,0.0242475462466774,1377.38668746942,1
"Ptbp2",0.568181818181818,11,0,-945.588560895238,0
"Ptbp3",0.474358974358974,13,-0.263034405833794,-1155.08089664916,0
"Pten",0.582380952380952,10,0.485426827170242,-1247.98271982416,0
"Ptpn12",0.407142857142857,15,-0.103093492964103,-1126.03991432288,0
"Ptpra",0.447222222222222,12,-0.719892080807265,-1119.37599960211,0
"Ptprb",0.495515151515152,25,0.0489096004809464,1201.42022324232,1
"Ptprg",0.53616077932589,44,0.43269616577535,1737.71111122706,1
"Ptprk",0.442685185185185,30,-0.347923303420307,1156.87985805295,1
"Ptprm",0.519675092259126,42,0.00790519808534618,1454.15911232325,1
"Qki",0.532819264069264,32,0.333737397176996,1273.9070578955,1
"Qrich1",0.547186147186147,11,-0.201633861169651,-1039.03522334126,0
"R3hcc1l",0.431818181818182,11,-0.15200309344505,-1123.29145427257,0
"Rab10",0.576388888888889,12,-0.176877762084079,-1141.2936867264,0
"Ralgapa1",0.509340659340659,26,-0.189033824390017,1130.19500112759,1
"Ralgapa2",0.61740465416936,17,0.387023123109247,-1281.97122540943,0
"Ranbp9",0.652380952380952,14,0.398549376490275,-1105.2586858316,0
"Rap1a",0.583333333333333,15,0.68805599368526,-833.332201280574,0
"Rap1gds1",0.601111111111111,15,0.347923303420307,-1131.80894910883,0
"Rapgef1",0.433106575963719,21,-0.371968777386958,-34.6650092023801,8.3292194882056e-17
"Rapgef2",0.474652777777778,24,-0.197036847059554,1198.30640348356,1
"Rapgef5",0.351792556102901,29,-0.700439718141092,1157.78803095953,1
"Rapgef6",0.590909090909091,11,0.144389909335175,-1867.35524098046,0
"Raph1",0.5,14,-0.605721060887954,-1771.53069073273,0
"Rasa1",0.448717948717949,13,-0.289506617194985,-1122.45329899629,0
"Rasal2",0.450574592671367,30,-0.0951572330403401,1362.78100347923,1
"Rasgrf2",0.483333333333333,10,-0.371968777386958,-1214.73783542766,0
"Rb1",0.523065476190476,16,0,-1162.36122296496,0
"Rbfox1",0.554220779220779,11,0.0443941193584534,-1306.46575445637,0
"Rbfox2",0.616666666666667,10,0.371968777386958,-1653.3538705813,0
"Rbm20",0.600610343884275,18,0.395137941841139,75.337889088808,1
"Rbm24",0.688888888888889,12,0.823122237915921,-1078.16825005248,0
"Rbm25",0.494318181818182,22,-0.0291463456595163,-89.1011230134691,1.19661270755093e-40
"Rbm39",0.458386752136752,24,-0.0534392589614604,1184.77086906398,1
"Rbm6",0.441666666666667,16,-0.186413124230881,-49.8209599803624,1.82598312995772e-23
"Rbms1",0.531873718386876,32,0.203091865377511,1182.4510904117,1
"Rbms3",0.41780753968254,24,-0.551015168797819,1261.43895524997,1
"Rbpms",0.480103995621237,29,-0.12199052437861,1176.4131581557,1
"Rcsd1",0.346666666666667,10,-0.612976876890753,-1135.17196637422,0
